"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"60","P","Olivier Pla","2","1:43.625","3:53.995","Green","Track","3.295","8.753","11.735","3.721","0.507","14.260","20.965","31.410","5.767","3.212","162.049"
"22","GTD","Gunnar Jeannette","2","1:51.092","3:56.072","Green","Track","3.368","9.396","12.807","3.962","0.510","14.924","22.661","33.837","6.144","3.483","161.096"
"73","GTD","Jorg Bergmeister","2","1:49.206","4:01.882","Green","Track","3.330","9.460","12.729","3.933","0.507","14.815","22.629","32.404","5.975","3.424","162.049"
"44","GTD","Andy Lally","2","1:49.332","4:03.791","Green","Track","3.407","9.296","12.669","3.970","0.512","15.064","22.368","32.550","6.048","3.448","160.467"
"2","P","Johannes van Overbeek","2","1:45.403","4:06.253","Green","Track","3.218","8.932","11.904","3.732","0.494","15.023","21.849","31.514","5.576","3.161","166.314"
"70","P","Ben Devlin","1","4:09.278","4:09.278","Green","Pit","857.708","14.369","20.443","5.807","0.903","21.241","29.493","40.031","9.410","16.021","90.985"
"4","GTLM","Tommy Milner","2","1:48.126","4:13.391","Green","Track","3.427","9.091","12.698","3.993","0.530","14.688","22.091","32.344","5.848","3.416","155.017"
"3","GTLM","Antonio Garcia","2","1:48.701","4:16.636","Green","Track","3.380","9.352","12.766","3.965","0.527","14.983","22.093","32.301","5.922","3.412","155.900"
"68","GTLM","Alessandro Pier Guidi","2","1:49.550","4:18.775","Green","Track","3.500","9.504","12.960","3.954","0.533","15.359","22.196","32.256","5.898","3.390","154.145"
"90","P","Ryan Dalziel","2","1:44.119","4:20.162","Green","Track","3.327","9.265","11.733","3.726","0.547","14.526","21.448","30.853","5.530","3.164","150.199"
"16","GTD","Corey Lewis","1","4:21.986","4:21.986","Green","Pit","15.003","10.999","15.382","4.236","0.589","16.724","23.922","34.110","7.346","48.400","139.489"
"38","PC","Kenton Koch","2","1:48.496","4:31.232","Green","Track","3.265","9.240","12.396","3.866","0.509","14.717","22.604","31.964","6.533","3.402","161.413"
"33","GTD","Jeroen Bleekemolen","2","1:51.923","4:32.785","Green","Track","3.308","9.540","12.911","3.922","0.501","15.368","23.782","32.962","6.202","3.427","163.990"
"67","GTLM","Ryan Briscoe","2","1:51.092","4:33.829","Green","Track","3.644","9.645","12.554","3.987","0.582","15.605","22.446","33.195","6.033","3.401","141.167"
"20","PC","Johnny Mowlem","2","1:47.235","4:36.271","Green","Track","3.429","9.401","12.038","3.807","0.528","14.843","22.441","31.800","5.711","3.237","155.604"
"52","PC","Robert Alon","2","2:02.711","4:42.125","Green","Pit","3.252","9.181","12.054","3.831","0.500","14.607","22.002","32.483","8.781","16.020","164.318"
"97","GTD","Markus Palttala","2","1:51.807","4:42.391","Green","Track","3.355","9.404","12.500","3.903","0.524","16.317","23.189","33.213","6.008","3.394","156.792"
"6","GTD","Andrew Davis","2","1:49.417","4:44.270","Green","Track","3.357","9.304","12.565","3.890","0.499","15.173","22.806","32.483","5.924","3.416","164.647"
"54","PC","Jonathan Bennett","2","2:08.339","4:44.207","Green","Pit","3.547","9.857","13.299","3.932","0.514","15.577","23.895","34.123","7.676","15.919","159.843"
"9","GTD","Matt Bell","2","1:49.788","4:45.048","Green","Track","3.444","9.203","12.656","3.885","0.498","15.439","22.537","32.738","5.960","3.428","164.978"
"25","GTLM","Dirk Werner","2","1:49.424","4:46.942","Green","Track","3.261","9.083","12.664","3.933","0.592","16.164","22.583","32.082","5.747","3.315","138.782"
"0","P","Sean Rayhall","2","2:01.055","4:49.403","Green","Track","4.013","10.177","12.567","4.552","0.718","17.000","24.770","37.939","6.059","3.260","114.428"
"10","P","Max Angelelli","2","2:34.089","4:52.415","Green","Track","38.334","11.689","13.550","3.938","0.618","16.470","28.337","32.144","5.788","3.221","132.944"
"23","GTD","Mario Farnbacher","2","2:09.054","4:52.865","Green","Pit","3.501","9.786","13.489","5.674","0.669","15.984","23.434","33.579","7.058","15.880","122.809"
"540","GTD","Andy Pilgrim","2","1:53.848","4:55.194","Green","Track","3.486","9.689","13.307","4.047","0.520","15.635","23.738","33.710","6.211","3.505","157.998"
"62","GTLM","Toni Vilander","2","1:48.255","5:01.055","Green","Track","3.344","9.104","12.648","3.950","0.511","14.735","22.470","32.226","5.862","3.405","160.781"
"66","GTLM","Joey Hand","2","1:48.619","5:08.229","Green","Track","3.375","9.387","12.916","3.940","0.510","15.060","22.197","32.012","5.849","3.373","161.096"
"96","GTD","Jens Klingmann","2","2:05.077","5:12.411","Green","Track","14.484","10.969","15.113","4.349","0.564","15.414","22.433","32.403","5.958","3.390","145.672"
"5","P","Christian Fittipaldi","3","1:39.732","5:20.436","Green","Track","3.067","8.443","11.618","3.625","0.469","13.209","20.821","30.029","5.324","3.127","175.179"
"31","P","Dane Cameron","3","1:42.310","5:23.666","Green","Track","3.049","8.534","11.599","3.632","0.469","13.181","20.604","32.627","5.463","3.152","175.179"
"912","GTLM","Earl Bamber","2","2:40.070","5:25.952","Green","Track","48.871","10.091","13.596","4.022","0.519","15.142","22.531","35.819","6.054","3.425","158.303"
"911","GTLM","Nick Tandy","2","2:37.554","5:26.681","Green","Track","47.710","9.294","13.102","4.117","0.622","16.079","23.384","33.742","6.060","3.444","132.089"
