"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"5","P","Christian Fittipaldi","4","2:14.276","1:23:18.385","Red","Pit","4.993","9.052","18.967","0.471","21.053","26.028","19.494","15.647","18.571","174.556"
"31","P","Eric Curran","4","2:13.979","1:23:21.584","Red","Pit","4.992","9.271","18.955","0.473","21.129","26.100","19.250","14.869","18.940","173.818"
"10","P","Ricky Taylor","4","2:18.583","1:23:33.497","Red","Pit","5.031","9.174","18.924","0.476","21.110","25.948","22.655","16.764","18.501","172.722"
"90","P","Marc Goossens","4","2:21.240","1:23:42.505","Red","Pit","5.017","9.213","19.117","0.472","21.342","28.623","24.112","14.820","18.524","174.186"
"55","P","Jonathan Bomarito","4","2:19.416","1:24:38.696","Red","Pit","5.044","9.165","19.443","0.481","22.447","27.847","22.234","14.203","18.552","170.927"
"0","P","Sean Rayhall","4","2:19.161","1:24:43.888","Red","Pit","5.011","9.283","20.203","0.477","22.207","27.713","20.478","14.840","18.949","172.360"
"70","P","Tom Long","4","2:16.908","1:24:46.466","Red","Pit","5.005","9.520","19.737","0.475","21.840","27.009","20.069","14.471","18.782","173.086"
"60","P","John Pew","4","5:59.531","1:27:28.171","Green","Pit","5.016","9.479","220.228","0.873","31.737","32.240","24.157","16.973","18.828","94.176"
"5","P","Christian Fittipaldi","5","4:30.962","1:27:49.347","Green","Track","152.293","13.657","19.697","0.484","22.770","27.108","19.433","11.043","4.477","169.868"
"31","P","Eric Curran","5","4:30.445","1:27:52.029","Green","Track","151.901","12.122","20.155","0.521","22.678","27.478","19.811","11.292","4.487","157.804"
"10","P","Ricky Taylor","5","4:21.279","1:27:54.776","Green","Track","144.195","11.887","19.921","0.478","21.723","26.951","19.754","11.876","4.494","172.000"
"90","P","Marc Goossens","5","4:14.695","1:27:57.200","Green","Track","138.369","12.191","19.866","0.476","21.843","26.718","19.402","11.310","4.520","172.722"
"0","P","Sean Rayhall","5","3:27.374","1:28:11.262","Green","Track","89.331","13.041","19.693","0.483","22.181","26.899","19.675","11.612","4.459","170.219"
"70","P","Tom Long","5","3:29.677","1:28:16.143","Green","Track","89.223","12.942","21.716","0.550","23.480","26.513","19.596","11.194","4.463","149.483"
"55","P","Jonathan Bomarito","5","4:23.575","1:29:02.271","Green","Track","148.100","12.051","19.741","0.483","21.773","26.463","19.438","11.059","4.467","170.219"
"5","P","Christian Fittipaldi","6","1:55.659","1:29:45.006","Green","Track","5.001","9.155","19.039","0.471","21.213","26.067","19.173","11.073","4.467","174.556"
"31","P","Eric Curran","6","1:56.735","1:29:48.764","Green","Track","5.002","9.405","19.276","0.472","21.340","26.346","19.274","11.154","4.466","174.186"
"10","P","Ricky Taylor","6","1:56.600","1:29:51.376","Green","Track","5.029","9.305","19.106","0.475","21.399","26.283","19.302","11.218","4.483","173.086"
"90","P","Marc Goossens","6","1:56.992","1:29:54.192","Green","Track","5.019","9.306","19.297","0.472","21.436","26.352","19.312","11.304","4.494","174.186"
"60","P","John Pew","5","2:40.562","1:30:08.733","Finish","Track","36.826","14.446","20.612","0.490","23.329","27.760","20.648","11.957","4.494","167.788"
"0","P","Sean Rayhall","6","1:57.624","1:30:08.886","Finish","Track","4.993","9.273","19.288","0.474","21.396","26.446","19.642","11.649","4.463","173.451"
"70","P","Tom Long","6","1:56.021","1:30:12.164","Finish","Track","5.005","9.389","19.270","0.474","21.173","26.028","19.112","11.122","4.448","173.451"
"55","P","Jonathan Bomarito","6","1:54.507","1:30:56.778","Finish","Track","5.037","9.286","18.917","0.480","20.874","25.478","19.050","10.919","4.466","171.283"
"5","P","Christian Fittipaldi","7","1:56.169","1:31:41.175","Finish","Track","4.990","9.473","19.155","0.470","21.200","26.118","19.235","11.062","4.466","174.927"
"31","P","Eric Curran","7","1:56.226","1:31:44.990","Finish","Track","4.985","9.390","19.114","0.469","21.340","26.122","19.232","11.115","4.459","175.300"
"10","P","Ricky Taylor","7","1:55.982","1:31:47.358","Finish","Track","5.008","9.292","19.016","0.475","21.224","26.120","19.154","11.207","4.486","173.086"
"90","P","Marc Goossens","7","2:18.294","1:32:12.486","Finish","Pit","4.999","9.302","19.269","0.472","21.404","29.342","19.611","15.366","18.529","174.186"
