"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"52","PC","Tom Kimber-Smith","7","16:10.213","26:50.039","Green","Track","716.394","14.938","0.656","15.877","11.489","9.537","0.633","14.887","10.991","11.162","2.358","4.331","120.565","128.178"
"38","PC","James French","9","1:42.051","26:57.899","Green","Track","9.663","15.243","0.589","15.194","10.816","9.305","0.569","13.942","10.307","9.992","2.242","4.189","134.280","142.595"
"88","PC","Ashley Freiberg","8","2:42.222","27:08.276","Green","Pit","9.843","18.423","0.854","17.618","12.731","9.860","0.753","16.894","11.891","11.714","7.443","44.198","92.612","107.751"
"60","P","Oswaldo Negri Jr.","9","1:26.311","27:10.389","Green","Track","3.176","11.684","0.530","13.042","9.959","9.026","0.530","12.915","9.770","9.417","2.179","4.083","149.228","153.087"
"5","P","Joao Barbosa","9","1:28.832","27:15.437","Green","Track","3.409","11.972","0.522","13.769","10.267","8.887","0.551","13.530","9.910","9.812","2.160","4.043","151.515","147.253"
"31","P","Dane Cameron","10","1:26.589","27:15.867","Green","Track","3.245","11.514","0.530","13.463","9.768","8.828","0.525","13.190","9.896","9.463","2.149","4.018","149.228","154.545"
"20","PC","Johnny Mowlem","8","15:30.444","27:17.152","Green","Pit","622.269","15.708","0.569","16.346","10.931","9.340","0.595","14.439","10.643","10.621","6.428","88.920","139.000","136.364"
"90","P","Ryan Dalziel","8","1:25.383","27:19.468","Green","Track","3.181","11.389","0.519","12.979","9.767","8.972","0.529","12.767","9.668","9.412","2.157","4.043","152.391","153.377"
"10","P","Jordan Taylor","9","1:24.933","27:23.084","Green","Track","3.043","11.366","0.524","12.804","9.801","8.989","0.532","12.636","9.618","9.367","2.173","4.080","150.937","152.512"
"23","GTD","Alex Riberas","9","1:32.731","27:34.167","Green","Track","3.388","12.639","0.570","13.963","10.589","9.814","0.572","13.716","10.264","10.293","2.438","4.485","138.756","141.847"
"44","GTD","Andy Lally","8","1:33.345","27:35.549","Green","Track","3.467","12.848","0.574","14.100","10.556","9.844","0.575","13.617","10.466","10.420","2.405","4.473","137.789","141.107"
"22","GTD","Leh Keen","9","1:32.336","27:35.998","Green","Track","3.342","12.671","0.562","13.787","10.679","9.676","0.563","13.435","10.456","10.340","2.406","4.419","140.731","144.114"
"33","GTD","Ben Keating","8","1:32.944","27:37.113","Green","Track","3.452","12.873","0.560","13.773","10.587","9.707","0.562","13.597","10.425","10.461","2.475","4.472","141.234","144.371"
"6","GTD","Andrew Davis","9","1:32.681","27:40.421","Green","Track","3.482","12.889","0.575","13.790","10.418","9.922","0.582","13.640","10.248","10.237","2.410","4.488","137.549","139.410"
"16","GTD","Corey Lewis","10","1:33.023","27:41.220","Green","Track","3.556","12.948","0.570","13.818","10.551","9.840","0.571","13.736","10.265","10.351","2.385","4.432","138.756","142.095"
"73","GTD","Jorg Bergmeister","9","1:32.776","27:43.566","Green","Track","3.572","12.875","0.567","13.822","10.706","9.757","0.566","13.560","10.226","10.303","2.403","4.419","139.490","143.350"
"48","GTD","Bryan Sellers","7","1:33.329","27:48.165","Green","Track","3.504","13.089","0.571","13.787","10.629","9.826","0.576","13.525","10.532","10.385","2.428","4.477","138.513","140.862"
"9","GTD","Lawson Aschenbach","9","1:33.582","27:52.675","Green","Track","3.409","13.230","0.582","14.074","10.593","10.017","0.585","13.543","10.415","10.239","2.405","4.490","135.895","138.695"
"97","GTD","Markus Palttala","9","1:31.465","27:58.897","Green","Track","3.314","12.680","0.564","13.606","10.451","9.743","0.568","13.431","10.306","10.053","2.363","4.386","140.232","142.846"
"55","P","Jonathan Bomarito","10","1:29.164","28:03.482","Green","Track","3.688","12.097","0.527","13.549","10.165","8.891","0.547","13.490","9.987","9.974","2.179","4.070","150.078","148.330"
"70","P","Joel Miller","9","1:31.102","28:14.417","Green","Track","3.487","12.044","0.563","14.456","10.648","8.963","0.539","13.574","10.253","10.233","2.225","4.117","140.481","150.531"
"27","GTD","Lawrence DeGeorge","7","1:43.550","28:17.694","Green","Track","4.599","13.900","0.581","15.324","11.519","10.118","0.601","15.077","11.694","12.519","2.573","5.045","136.129","135.002"
"96","GTD","Bret Curtis","9","2:28.547","28:23.857","Green","Track","46.489","16.588","0.781","17.473","12.335","10.017","0.576","15.031","11.252","11.048","2.477","4.480","101.269","140.862"
"52","PC","Tom Kimber-Smith","8","1:33.980","28:24.019","Green","Track","3.516","12.647","0.546","14.375","10.738","9.326","0.581","14.191","10.388","10.833","2.374","4.465","144.855","139.650"
"38","PC","James French","10","1:29.151","28:27.050","Green","Track","3.196","12.115","0.542","13.366","10.217","9.170","0.554","13.360","10.006","10.189","2.252","4.184","145.924","146.456"
"8","PC","Renger Van Der Zande","9","1:58.814","28:29.064","Green","Track","9.904","17.348","0.829","18.952","12.462","10.007","0.657","17.277","11.397","12.957","2.466","4.558","95.405","123.495"
"60","P","Oswaldo Negri Jr.","10","1:25.301","28:35.690","Green","Track","3.162","11.490","0.526","12.714","9.731","9.000","0.528","12.796","9.796","9.300","2.179","4.079","150.363","153.667"
"31","P","Dane Cameron","11","1:24.928","28:40.795","Green","Track","3.199","11.342","0.521","12.921","9.601","8.856","0.525","12.742","9.731","9.302","2.156","4.032","151.806","154.545"
"5","P","Joao Barbosa","10","1:28.795","28:44.232","Green","Track","3.222","11.979","0.687","14.317","10.066","8.843","0.541","13.323","9.784","9.797","2.183","4.053","115.125","149.975"
"90","P","Ryan Dalziel","9","1:25.226","28:44.694","Green","Track","3.093","11.295","0.516","13.019","9.741","8.942","0.522","12.806","9.650","9.404","2.176","4.062","153.277","155.434"
"10","P","Jordan Taylor","10","1:25.637","28:48.721","Green","Track","3.015","11.305","0.519","12.722","10.400","9.013","0.530","12.730","9.727","9.398","2.188","4.090","152.391","153.087"
"88","PC","Ashley Freiberg","9","1:45.562","28:53.838","Green","Track","9.575","15.898","0.599","14.927","11.563","9.705","0.651","14.745","10.833","10.518","2.311","4.237","132.038","124.633"
"23","GTD","Alex Riberas","10","1:32.722","29:06.889","Green","Track","3.383","12.480","0.566","13.809","10.966","9.794","0.571","13.671","10.264","10.362","2.406","4.450","139.737","142.095"
"44","GTD","Andy Lally","9","1:34.158","29:09.707","Green","Track","3.377","12.487","0.567","13.885","10.359","9.805","0.579","14.942","10.631","10.629","2.416","4.481","139.490","140.132"
"22","GTD","Leh Keen","10","1:34.428","29:10.426","Green","Track","3.370","12.568","0.558","13.740","11.581","9.610","0.562","13.847","10.768","11.023","2.393","4.408","141.740","144.371"
"33","GTD","Ben Keating","9","1:33.709","29:10.822","Green","Track","3.370","13.181","0.560","13.823","10.651","9.765","0.562","13.839","10.682","10.504","2.387","4.385","141.234","144.371"
"6","GTD","Andrew Davis","10","1:32.203","29:12.624","Green","Track","3.399","12.657","0.571","13.503","10.314","9.935","0.579","13.580","10.451","10.289","2.429","4.496","138.513","140.132"
"16","GTD","Corey Lewis","11","1:33.170","29:14.390","Green","Track","3.368","12.864","0.570","13.764","10.420","9.804","0.570","13.574","10.992","10.386","2.408","4.450","138.756","142.344"
"73","GTD","Jorg Bergmeister","10","1:32.564","29:16.130","Green","Track","3.484","12.720","0.565","13.905","10.571","9.697","0.565","13.491","10.478","10.251","2.406","4.431","139.984","143.604"
"20","PC","Tomy Drissi","9","2:00.510","29:17.662","Green","Track","12.435","17.227","0.568","15.762","12.453","10.067","0.601","18.130","15.235","11.196","2.363","4.473","139.245","135.002"
"48","GTD","Bryan Sellers","8","1:31.546","29:19.711","Green","Track","3.471","12.770","0.566","13.513","10.310","9.788","0.573","13.223","10.353","10.157","2.391","4.431","139.737","141.599"
"9","GTD","Lawson Aschenbach","10","1:32.239","29:24.914","Green","Track","3.332","12.794","0.573","13.504","10.270","9.909","0.583","13.532","10.626","10.212","2.413","4.491","138.030","139.170"
"97","GTD","Markus Palttala","10","1:31.068","29:29.965","Green","Track","3.247","12.592","0.563","13.560","10.329","9.764","0.569","13.356","10.280","10.050","2.365","4.393","140.481","142.595"
"70","P","Joel Miller","10","1:28.483","29:42.900","Green","Track","3.472","11.850","0.528","13.358","10.283","8.971","0.540","13.193","10.088","9.875","2.219","4.106","149.793","150.253"
"52","PC","Tom Kimber-Smith","9","1:32.518","29:56.537","Green","Track","3.992","12.939","0.548","13.991","10.605","9.278","0.552","13.691","10.272","10.092","2.301","4.257","144.326","146.986"
"38","PC","James French","11","1:33.309","30:00.359","Finish","Track","3.266","11.994","0.539","13.501","10.301","9.208","0.549","13.687","10.272","13.331","2.357","4.304","146.736","147.789"
"27","GTD","Lawrence DeGeorge","8","1:44.322","30:02.016","Finish","Track","4.142","13.644","0.579","15.061","11.567","10.068","0.591","14.584","11.672","13.875","2.888","5.651","136.599","137.287"
"96","GTD","Bret Curtis","10","1:39.320","30:03.177","Finish","Track","4.076","14.568","0.579","14.985","11.187","9.928","0.573","14.145","10.693","11.520","2.537","4.529","136.599","141.599"
"31","P","Dane Cameron","12","1:24.195","30:04.990","Finish","Track","3.108","11.152","0.511","12.778","9.528","8.922","0.528","12.614","9.600","9.307","2.144","4.003","154.777","153.667"
"5","P","Joao Barbosa","11","1:26.705","30:10.937","Finish","Track","3.252","11.551","0.515","13.243","9.987","8.828","0.546","13.262","9.705","9.634","2.156","4.026","153.575","148.601"
"90","P","Ryan Dalziel","10","1:26.975","30:11.669","Finish","Track","3.256","11.532","0.521","13.327","10.023","8.991","0.528","13.120","9.855","9.540","2.196","4.086","151.806","153.667"
"10","P","Jordan Taylor","11","1:24.765","30:13.486","Finish","Track","3.031","11.199","0.518","12.782","9.806","8.963","0.529","12.592","9.662","9.426","2.178","4.079","152.685","153.377"
"8","PC","Renger Van Der Zande","10","1:52.012","30:21.076","Finish","Pit","3.580","12.950","0.553","14.939","11.612","9.399","0.622","14.593","10.803","12.612","8.288","12.061","143.022","130.444"
"88","PC","Ashley Freiberg","10","1:32.926","30:26.764","Finish","Track","3.305","12.462","0.544","14.119","11.054","9.291","0.556","14.118","10.587","10.387","2.281","4.222","145.388","145.929"
"23","GTD","Alex Riberas","11","1:31.484","30:38.373","Finish","Track","3.385","12.596","0.570","13.513","10.456","9.770","0.570","13.474","10.254","10.103","2.372","4.421","138.756","142.344"
