"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"52","PC","Robert Alon","2","1:44.031","53:57.724","Green","Track","3.363","9.178","12.050","3.774","0.488","13.786","21.423","31.320","5.413","3.236","168.359"
"85","PC","Misha Goikhberg","2","1:50.072","54:15.331","Green","Track","3.573","9.484","12.834","3.895","0.552","15.303","22.011","32.585","6.465","3.370","148.839"
"88","PC","Mark Kvamme","2","1:53.989","54:15.924","Green","Track","3.455","9.526","13.524","3.932","0.519","16.030","23.167","33.289","7.100","3.447","158.303"
"20","PC","Johnny Mowlem","2","1:44.292","54:18.076","Green","Track","3.288","9.030","11.902","3.756","0.485","14.150","21.622","31.098","5.700","3.261","169.400"
"54","PC","Jonathan Bennett","2","1:42.278","54:45.009","Green","Track","3.209","8.596","11.879","3.787","0.490","13.454","21.205","30.888","5.520","3.250","167.672"
"38","PC","James French","2","1:44.308","55:13.492","Green","Track","3.289","8.744","11.892","3.784","0.490","13.679","21.885","31.781","5.517","3.247","167.672"
"52","PC","Robert Alon","3","1:40.396","55:38.120","Green","Track","3.168","8.405","11.841","3.774","0.488","13.012","20.783","30.371","5.351","3.203","168.359"
"8","PC","Renger Van Der Zande","1","55:54.660","55:54.660","Green","Track","2136.373","11.080","13.747","3.981","0.565","15.755","22.800","32.558","5.657","3.265","145.414"
"85","PC","Misha Goikhberg","3","1:43.499","55:58.830","Green","Track","3.285","8.784","12.132","3.868","0.494","13.658","21.239","31.187","5.603","3.249","166.314"
"20","PC","Johnny Mowlem","3","1:43.481","56:01.557","Green","Track","3.153","8.604","11.839","3.745","0.484","14.363","21.566","30.939","5.564","3.224","169.750"
"88","PC","Mark Kvamme","3","1:49.160","56:05.084","Green","Track","3.277","9.047","12.444","3.838","0.492","15.041","23.040","32.529","6.129","3.323","166.990"
"54","PC","Jonathan Bennett","3","1:41.062","56:26.071","Green","Track","3.150","8.346","11.879","3.788","0.490","13.418","20.817","30.512","5.445","3.217","167.672"
"38","PC","James French","3","1:41.563","56:55.055","Green","Track","3.174","8.422","11.873","3.773","0.488","13.314","21.054","30.820","5.433","3.212","168.359"
"52","PC","Robert Alon","4","1:40.536","57:18.656","Green","Track","3.142","8.568","11.969","3.781","0.489","12.947","20.475","30.521","5.413","3.231","168.015"
"8","PC","Renger Van Der Zande","2","1:43.085","57:37.745","Green","Track","3.213","8.775","11.936","3.783","0.489","14.027","21.193","30.933","5.515","3.221","168.015"
"85","PC","Misha Goikhberg","4","1:41.885","57:40.715","Green","Track","3.159","8.448","11.953","3.771","0.487","13.208","20.712","31.306","5.596","3.245","168.704"
"20","PC","Johnny Mowlem","4","1:41.213","57:42.770","Green","Track","3.152","8.669","11.891","3.770","0.487","13.167","20.751","30.563","5.556","3.207","168.704"
"88","PC","Mark Kvamme","4","1:48.135","57:53.219","Green","Track","3.192","8.801","12.542","3.832","0.492","14.857","22.757","32.415","5.965","3.282","166.990"
"54","PC","Jonathan Bennett","4","1:40.708","58:06.779","Green","Track","3.152","8.374","11.900","3.794","0.491","13.416","20.591","30.382","5.388","3.220","167.330"
"38","PC","James French","4","1:41.760","58:36.815","Green","Track","3.132","8.354","11.903","3.783","0.490","13.413","20.866","31.145","5.459","3.215","167.672"
"52","PC","Robert Alon","5","1:40.132","58:58.788","Green","Track","3.137","8.454","11.888","3.785","0.489","12.833","20.561","30.351","5.423","3.211","168.015"
"8","PC","Renger Van Der Zande","3","1:40.251","59:17.996","Green","Track","3.152","8.395","11.904","3.788","0.489","13.188","20.280","30.432","5.408","3.215","168.015"
"85","PC","Misha Goikhberg","5","1:41.576","59:22.291","Green","Track","3.138","8.349","11.865","3.767","0.485","13.799","20.740","30.789","5.436","3.208","169.400"
"20","PC","Johnny Mowlem","5","1:40.454","59:23.224","Green","Track","3.119","8.403","11.895","3.804","0.491","12.988","20.590","30.467","5.476","3.221","167.330"
"88","PC","Mark Kvamme","5","1:49.029","59:42.248","Green","Track","3.185","8.917","12.589","3.844","0.495","15.073","22.798","32.693","6.116","3.319","165.978"
"54","PC","Jonathan Bennett","5","1:40.663","59:47.442","Green","Track","3.133","8.356","11.971","3.823","0.496","13.243","20.624","30.343","5.439","3.235","165.643"
"38","PC","James French","5","1:40.695","1:00:17.510","Green","Track","3.174","8.368","11.875","3.799","0.492","13.270","20.549","30.529","5.414","3.225","166.990"
"52","PC","Robert Alon","6","1:40.133","1:00:38.921","Green","Track","3.144","8.333","11.853","3.808","0.494","12.906","20.557","30.453","5.369","3.216","166.314"
"8","PC","Renger Van Der Zande","4","1:39.805","1:00:57.801","Green","Track","3.136","8.339","11.879","3.818","0.494","13.127","20.266","30.137","5.392","3.217","166.314"
"85","PC","Misha Goikhberg","6","1:41.103","1:01:03.394","Green","Track","3.137","8.396","11.857","3.792","0.491","13.230","20.761","30.760","5.452","3.227","167.330"
"20","PC","Johnny Mowlem","6","1:40.697","1:01:03.921","Green","Track","3.138","8.411","11.875","3.810","0.494","13.082","20.616","30.495","5.545","3.231","166.314"
"54","PC","Jonathan Bennett","6","1:41.214","1:01:28.656","Green","Track","3.146","8.312","11.852","3.792","0.492","13.270","20.882","30.714","5.516","3.238","166.990"
"88","PC","Mark Kvamme","6","1:48.495","1:01:30.743","Green","Track","3.241","8.929","12.709","3.845","0.495","14.844","22.180","32.790","6.123","3.339","165.978"
"38","PC","James French","6","1:40.593","1:01:58.103","Green","Track","3.192","8.389","11.832","3.774","0.490","13.144","20.678","30.454","5.421","3.219","167.672"
"52","PC","Robert Alon","7","1:39.704","1:02:18.625","Green","Track","3.141","8.373","11.805","3.774","0.489","12.881","20.433","30.161","5.428","3.219","168.015"
"8","PC","Renger Van Der Zande","5","1:39.125","1:02:36.926","Green","Track","3.130","8.267","11.823","3.763","0.487","12.913","20.291","29.882","5.354","3.215","168.704"
"85","PC","Misha Goikhberg","7","1:40.746","1:02:44.140","Green","Track","3.149","8.570","11.825","3.750","0.485","13.238","20.582","30.511","5.393","3.243","169.400"
"20","PC","Johnny Mowlem","7","1:45.176","1:02:49.097","Green","Track","3.179","8.449","11.809","3.749","0.485","13.233","21.301","34.124","5.597","3.250","169.400"
"54","PC","Jonathan Bennett","7","1:40.422","1:03:09.078","Green","Track","3.149","8.288","11.854","3.780","0.489","13.287","20.654","30.286","5.392","3.243","168.015"
"88","PC","Mark Kvamme","7","1:47.391","1:03:18.134","Green","Track","3.200","8.719","12.350","3.796","0.491","14.888","22.158","32.376","6.069","3.344","167.330"
"38","PC","James French","7","1:39.987","1:03:38.090","Green","Track","3.154","8.295","11.813","3.748","0.485","13.032","20.416","30.496","5.336","3.212","169.400"
"52","PC","Robert Alon","8","1:39.372","1:03:57.997","Green","Track","3.143","8.332","11.769","3.746","0.484","12.786","20.319","30.268","5.324","3.201","169.750"
"8","PC","Renger Van Der Zande","6","1:39.129","1:04:16.055","Green","Track","3.129","8.285","11.813","3.752","0.485","12.936","20.130","30.124","5.279","3.196","169.400"
"85","PC","Misha Goikhberg","8","1:40.645","1:04:24.785","Green","Track","3.144","8.586","11.842","3.740","0.484","13.130","20.444","30.570","5.450","3.255","169.750"
"20","PC","Johnny Mowlem","8","1:41.401","1:04:30.498","Green","Track","3.165","8.509","11.854","3.759","0.487","13.142","20.639","31.030","5.569","3.247","168.704"
"54","PC","Jonathan Bennett","8","1:40.643","1:04:49.721","Green","Track","3.152","8.318","11.854","3.782","0.489","13.201","20.537","30.626","5.428","3.256","168.015"
"88","PC","Mark Kvamme","8","1:47.597","1:05:05.731","Finish","Track","3.250","8.998","12.483","3.815","0.489","14.728","22.179","32.397","5.947","3.311","168.015"
"38","PC","James French","8","1:39.363","1:05:17.453","Finish","Track","3.141","8.242","11.796","3.757","0.485","12.850","20.343","30.224","5.312","3.213","169.400"
"52","PC","Robert Alon","9","1:39.211","1:05:37.208","Finish","Track","3.131","8.335","11.748","3.739","0.485","12.650","20.378","30.236","5.311","3.198","169.400"
"8","PC","Renger Van Der Zande","7","1:38.407","1:05:54.462","Finish","Track","3.114","8.179","11.765","3.731","0.482","12.796","20.099","29.782","5.257","3.202","170.455"
"85","PC","Misha Goikhberg","9","1:40.059","1:06:04.844","Finish","Track","3.154","8.296","11.774","3.713","0.480","13.019","20.521","30.426","5.424","3.252","171.165"
"20","PC","Johnny Mowlem","9","1:40.028","1:06:10.526","Finish","Track","3.157","8.349","11.810","3.736","0.483","13.165","20.458","30.227","5.422","3.221","170.102"
"54","PC","Jonathan Bennett","9","1:41.437","1:06:31.158","Finish","Track","3.155","8.701","11.984","3.766","0.485","13.312","20.832","30.444","5.504","3.254","169.400"
"10","P","Ricky Taylor","1","1:16:54.026","1:16:54.026","Green","Track","3153.512","11.601","14.128","3.839","0.510","15.092","22.348","31.220","5.656","3.239","161.096"
"5","P","Christian Fittipaldi","1","1:16:56.765","1:16:56.765","Green","Track","1868.449","9.841","13.041","3.790","0.570","15.438","22.190","33.587","5.681","3.210","144.139"
"31","P","Eric Curran","1","1:17:02.151","1:17:02.151","Green","Track","3147.103","10.483","14.322","4.585","0.658","16.448","23.570","32.900","5.685","3.196","124.862"
"60","P","Oswaldo Negri Jr.","1","1:17:10.249","1:17:10.249","Green","Track","0.000","10.744","14.350","4.051","0.608","16.393","23.122","33.127","5.935","3.277","135.130"
"90","P","Ryan Dalziel","1","1:17:13.134","1:17:13.134","Green","Track","1851.194","12.736","16.476","5.023","0.695","17.270","22.938","34.506","5.748","3.215","118.215"
"0","P","Katherine Legge","1","1:17:14.640","1:17:14.640","Green","Track","14.842","10.859","14.130","3.999","0.623","16.141","23.064","33.890","5.887","3.224","131.877"
"55","P","Tristan Nunez","1","1:17:30.758","1:17:30.758","Green","Track","1342.627","11.083","19.647","4.433","0.596","16.365","24.483","35.228","5.643","3.205","137.851"
"70","P","Tom Long","1","1:17:33.949","1:17:33.949","Green","Track","1301.832","10.802","13.840","4.115","0.613","16.610","24.063","35.199","5.700","3.184","134.028"
"50","P","Jim Pace","1","1:17:37.725","1:17:37.725","Green","Track","15.320","12.212","16.723","4.838","0.689","17.750","25.235","35.376","6.103","3.344","119.244"
"2","P","Johannes van Overbeek","1","1:18:28.508","1:18:28.508","Green","Track","14.746","10.183","13.568","3.859","0.572","16.561","22.521","31.898","5.544","3.205","143.635"
"10","P","Ricky Taylor","2","1:39.152","1:18:33.178","Green","Track","3.114","8.327","11.504","3.635","0.470","13.078","20.496","29.911","5.435","3.182","174.807"
"5","P","Christian Fittipaldi","2","1:41.799","1:18:38.564","Green","Track","3.138","8.578","11.528","4.297","0.674","14.722","20.574","29.765","5.368","3.155","121.898"
"31","P","Eric Curran","2","1:41.420","1:18:43.571","Green","Track","3.197","8.618","11.512","3.607","0.486","13.907","21.089","30.384","5.468","3.152","169.052"
"60","P","Oswaldo Negri Jr.","2","1:41.257","1:18:51.506","Green","Track","3.159","8.584","11.538","3.638","0.475","13.845","20.877","30.629","5.352","3.160","172.967"
"90","P","Ryan Dalziel","2","1:41.337","1:18:54.471","Green","Track","3.149","8.488","11.509","3.622","0.470","13.573","20.611","31.147","5.596","3.172","174.807"
"0","P","Katherine Legge","2","1:42.785","1:18:57.425","Green","Track","3.140","8.547","11.510","3.617","0.466","13.567","21.504","31.487","5.747","3.200","176.307"
"55","P","Tristan Nunez","2","1:39.745","1:19:10.503","Green","Track","3.210","8.596","11.487","3.664","0.477","13.502","20.472","29.939","5.273","3.125","172.241"
"70","P","Tom Long","2","1:40.282","1:19:14.231","Green","Track","3.109","8.378","11.518","3.658","0.476","13.612","20.816","30.211","5.364","3.140","172.603"
"50","P","Jim Pace","2","1:46.152","1:19:23.877","Green","Track","3.292","9.010","12.222","3.799","0.497","14.513","21.993","31.858","5.706","3.262","165.310"
"2","P","Johannes van Overbeek","2","1:38.970","1:20:07.478","Green","Track","3.120","8.404","11.519","3.667","0.470","13.374","20.201","29.891","5.203","3.121","174.807"
"10","P","Ricky Taylor","3","1:37.499","1:20:10.677","Green","Track","3.065","8.228","11.484","3.635","0.470","12.654","19.929","29.543","5.330","3.161","174.807"
"5","P","Christian Fittipaldi","3","1:37.442","1:20:16.006","Green","Track","3.046","8.182","11.430","3.594","0.460","12.813","20.125","29.376","5.277","3.139","178.607"
"31","P","Eric Curran","3","1:38.576","1:20:22.147","Green","Track","3.054","8.370","11.460","3.592","0.463","12.888","20.373","29.808","5.410","3.158","177.449"
"60","P","Oswaldo Negri Jr.","3","1:38.032","1:20:29.538","Green","Track","3.058","8.194","11.438","3.629","0.471","13.056","20.031","29.836","5.192","3.127","174.435"
"90","P","Ryan Dalziel","3","1:37.859","1:20:32.330","Green","Track","3.085","8.326","11.459","3.615","0.468","12.873","20.034","29.541","5.320","3.138","175.554"
"0","P","Katherine Legge","3","1:40.072","1:20:37.497","Green","Track","3.065","8.305","11.417","3.602","0.465","13.355","20.824","30.270","5.589","3.180","176.686"
"70","P","Tom Long","3","1:38.226","1:20:52.457","Green","Track","3.047","8.205","11.407","3.647","0.474","13.063","20.278","29.658","5.313","3.134","173.331"
"55","P","Tristan Nunez","3","1:51.637","1:21:02.140","Green","Pit","3.053","8.214","11.479","3.665","0.476","12.664","20.075","29.850","6.375","15.786","172.603"
"50","P","Jim Pace","3","1:44.009","1:21:07.886","Green","Track","3.255","8.847","11.890","3.748","0.488","14.073","21.384","31.420","5.647","3.257","168.359"
"2","P","Johannes van Overbeek","3","1:36.212","1:21:43.690","Green","Track","3.046","8.027","11.469","3.642","0.472","12.547","19.605","29.233","5.064","3.107","174.066"
"10","P","Ricky Taylor","4","1:36.723","1:21:47.400","Green","Track","3.046","8.077","11.451","3.613","0.467","12.566","19.810","29.268","5.278","3.147","175.930"
