"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"85","PC","Misha Goikhberg","53","1:42.773","1:39:56.784","Green","Track","3.101","9.001","12.248","3.820","0.493","13.553","20.739","30.966","5.606","3.246","166.651"
"67","GTLM","Richard Westbrook","52","1:44.295","1:39:58.125","Green","Track","3.184","9.173","12.392","3.814","0.494","14.077","21.056","31.111","5.664","3.330","166.314"
"5","P","Joao Barbosa","54","1:37.788","1:40:01.185","Green","Track","3.028","8.114","11.491","3.612","0.468","12.833","20.217","29.510","5.376","3.139","175.554"
"55","P","Tristan Nunez","54","1:37.719","1:40:02.768","Green","Track","3.100","8.509","11.434","3.650","0.475","12.649","20.232","29.401","5.202","3.067","172.967"
"90","P","Ryan Dalziel","54","1:37.747","1:40:02.685","Green","Track","3.041","8.442","11.541","3.621","0.468","12.661","20.159","29.349","5.354","3.111","175.554"
"10","P","Max Angelelli","54","1:39.871","1:40:07.198","Green","Track","3.061","8.389","11.566","3.646","0.504","14.201","20.421","29.552","5.369","3.162","163.014"
"31","P","Dane Cameron","54","1:37.903","1:40:12.177","Green","Track","3.004","8.166","11.521","3.621","0.467","12.514","20.009","29.708","5.672","3.221","175.930"
"6","GTD","Robin Liddell","51","1:47.511","1:40:12.354","Green","Track","3.289","9.286","12.523","3.888","0.499","14.520","21.879","32.320","5.868","3.439","164.647"
"9","GTD","Lawson Aschenbach","51","1:47.806","1:40:12.894","Green","Track","3.273","9.227","12.499","3.902","0.538","14.865","21.686","32.277","6.113","3.426","152.712"
"23","GTD","Mario Farnbacher","51","1:48.365","1:40:13.258","Green","Track","3.248","9.607","12.705","3.910","0.524","14.811","21.859","32.399","5.876","3.426","156.792"
"2","P","Luis Felipe Derani","54","1:39.636","1:40:20.376","Green","Track","3.005","8.161","12.049","3.709","0.475","12.849","20.672","30.133","5.446","3.137","172.967"
"66","GTLM","Joey Hand","52","1:45.108","1:40:21.775","Green","Track","3.223","8.553","12.082","3.774","0.489","14.930","21.178","31.654","5.878","3.347","168.015"
"62","GTLM","Giancarlo Fisichella","52","1:43.784","1:40:22.146","Green","Track","3.203","8.700","12.346","3.862","0.499","13.443","21.195","31.460","5.729","3.347","164.647"
"70","P","Joel Miller","54","1:39.938","1:40:22.311","Green","Track","3.028","8.248","11.470","3.653","0.487","13.794","20.720","30.097","5.352","3.089","168.704"
"60","P","Olivier Pla","54","1:40.190","1:40:23.138","Green","Track","3.046","8.211","11.603","3.654","0.470","13.260","20.879","30.825","5.140","3.102","174.807"
"100","GTLM","John Edwards","52","1:44.661","1:40:24.464","Green","Track","3.179","8.547","12.375","3.841","0.496","13.811","21.147","32.218","5.726","3.321","165.643"
"16","GTD","Spencer Pumpelly","51","1:47.762","1:40:26.994","Green","Track","3.235","8.881","12.511","3.903","0.523","14.713","22.408","32.255","5.902","3.431","157.092"
"52","PC","Robert Alon","49","2:56.826","1:40:27.044","Green","Track","76.362","9.600","12.299","3.866","0.536","13.369","21.422","30.821","5.364","3.187","153.282"
"4","GTLM","Oliver Gavin","52","1:44.020","1:40:28.258","Green","Track","3.225","8.500","12.281","3.865","0.499","13.457","21.411","31.786","5.654","3.342","164.647"
"3","GTLM","Jan Magnussen","52","1:44.237","1:40:32.459","Green","Track","3.225","8.614","12.240","3.820","0.494","13.896","21.417","31.467","5.715","3.349","166.314"
"911","GTLM","Nick Tandy","52","1:44.096","1:40:33.476","Green","Track","3.213","8.757","12.259","3.819","0.492","13.703","21.444","31.374","5.687","3.348","166.990"
"68","GTLM","Daniel Serra","52","1:57.922","1:40:34.275","Green","Pit","3.233","8.507","12.345","3.909","0.000","14.121","21.184","31.539","6.670","15.909","0.000"
"63","GTD","Christina Nielsen","51","1:47.903","1:40:35.317","Green","Track","3.287","8.955","12.503","3.919","0.507","14.593","22.249","32.552","5.915","3.423","162.049"
"73","GTD","Matthew McMurry","51","1:47.008","1:40:36.216","Green","Track","3.277","9.035","12.565","3.877","0.497","14.145","21.932","32.409","5.879","3.392","165.310"
"22","GTD","Cooper MacNeil","51","1:47.194","1:40:39.646","Green","Track","3.288","8.961","12.431","3.881","0.500","14.190","22.070","32.560","5.906","3.407","164.318"
"912","GTLM","Frederic Makowiecki","52","1:45.806","1:40:39.870","Green","Track","3.210","8.711","12.240","3.818","0.496","14.356","21.718","31.978","5.909","3.370","165.643"
"44","GTD","John Potter","51","1:47.689","1:40:40.841","Green","Track","3.295","8.918","12.533","3.915","0.508","14.234","22.445","32.470","5.939","3.432","161.730"
"33","GTD","Ben Keating","51","1:46.957","1:40:44.355","Green","Track","3.241","8.993","12.384","3.825","0.491","14.335","22.047","32.269","5.972","3.400","167.330"
"54","PC","Jonathan Bennett","54","1:40.732","1:40:46.973","Green","Track","3.198","8.214","11.858","3.867","0.554","13.539","20.564","30.349","5.400","3.189","148.302"
"97","GTD","Michael Marsal","25","1:47.516","1:41:01.284","Green","Track","3.248","8.944","12.492","3.916","0.504","14.500","22.307","32.319","5.914","3.372","163.014"
