"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP1","SP4"
"20","PC","Tomy Drissi","20","5:36.101","57:12.569","Green","Pit","4.447","15.546","0.744","17.064","12.929","10.760","0.819","17.560","12.753","12.282","7.333","106.305","99.068"
"27","GTD","Cedric Sbirrazzuoli","22","10:34.771","57:22.907","Green","Pit","3.730","13.377","0.575","14.844","11.090","9.930","0.575","14.664","11.044","11.701","0.000","137.549","141.107"
"60","P","Katherine Legge","19","7:42.057","57:55.444","Green","Pit","4.598","13.574","0.571","16.986","11.291","9.150","0.541","14.685","11.107","11.960","8.924","138.513","149.975"
"48","GTD","Madison Snow","22","7:36.437","58:10.512","Green","Pit","3.437","12.818","0.562","14.123","10.545","9.767","0.571","13.709","10.588","11.175","6.503","140.731","142.095"
"10","P","Jordan Taylor","20","12:21.584","58:18.183","Green","Track","271.544","14.460","0.534","13.467","10.049","9.008","0.538","12.804","9.800","9.510","2.174","148.110","150.811"
"90","P","Marc Goossens","24","7:33.161","58:20.241","Green","Track","266.527","0.000","0.000","14.015","10.060","9.061","0.534","12.908","10.120","9.604","2.185","0.000","151.941"
"31","P","Eric Curran","27","7:01.548","58:24.047","Green","Track","223.714","13.903","0.647","14.702","10.500","9.030","0.570","13.463","9.987","9.929","2.181","122.243","142.344"
"55","P","Tristan Nunez","19","8:22.965","58:27.230","Green","Track","194.195","14.252","0.583","14.790","10.787","9.170","0.609","13.756","10.077","9.856","2.172","135.662","133.229"
"23","GTD","Alex Riberas","20","10:08.523","58:30.801","Green","Track","273.271","17.625","0.661","16.047","12.634","10.092","0.786","15.185","10.724","10.738","2.447","119.653","103.227"
"85","PC","Misha Goikhberg","21","7:23.615","58:31.257","Green","Track","227.860","16.531","0.648","15.582","11.645","9.400","0.656","14.755","10.925","10.481","2.300","122.054","123.683"
"5","P","Christian Fittipaldi","27","7:33.385","58:36.922","Green","Track","260.065","15.476","0.554","14.218","10.471","8.984","0.546","13.475","10.545","10.786","2.199","142.763","148.601"
"97","GTD","Markus Palttala","18","10:54.562","58:41.566","Green","Track","666.329","14.941","0.578","14.486","10.898","9.874","0.578","13.758","10.532","10.575","2.418","136.835","140.374"
"96","GTD","Jens Klingmann","20","7:08.394","58:48.024","Green","Track","210.611","15.660","0.587","14.647","10.871","9.991","0.580","15.158","10.767","10.838","2.416","134.737","139.890"
"54","PC","Colin Braun","26","1:44.222","58:51.472","Green","Track","422.450","14.719","0.549","14.222","10.771","9.408","0.578","14.690","11.185","11.561","2.334","144.064","140.374"
"22","GTD","Cooper MacNeil","22","7:25.728","58:52.106","Green","Track","233.056","16.804","0.600","15.534","11.292","9.836","0.593","15.482","11.223","12.031","2.578","131.818","136.824"
"52","PC","Tom Kimber-Smith","24","8:26.591","58:53.115","Green","Track","400.581","16.685","0.736","17.205","12.817","9.915","0.732","16.565","12.825","11.601","2.397","107.460","110.842"
