"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"912","GTLM","Frederic Makowiecki","12","1:17.856","17:15.567","Green","Track","2.978","20.845","23.885","11.577","0.434","7.563","4.024","6.550","157.363"
"27","GTD","Fabio Babini","6","1:34.514","17:18.820","Green","Track","9.772","27.817","25.434","11.701","0.438","8.143","4.387","6.822","155.926"
"911","GTLM","Patrick Pilet","11","1:17.386","17:20.204","Green","Track","3.032","20.290","23.716","11.686","0.439","7.519","4.102","6.602","155.571"
"63","GTD","Alessandro Balzan","11","1:28.729","17:22.382","Green","Pit","3.116","20.675","23.916","11.932","0.450","7.977","7.301","13.362","151.768"
"10","P","Jordan Taylor","12","1:14.172","17:26.022","Green","Track","2.774","18.954","23.650","10.821","0.410","7.506","3.926","6.131","166.574"
"52","PC","Tom Kimber-Smith","12","1:17.837","17:26.942","Green","Track","2.924","19.634","22.786","12.632","0.472","8.843","4.272","6.274","144.694"
"4","GTLM","Tommy Milner","12","1:17.062","17:27.768","Green","Track","3.001","19.792","23.775","11.704","0.442","7.729","4.118","6.501","154.515"
"66","GTLM","Joey Hand","11","1:21.264","17:29.989","Green","Track","3.063","21.063","24.234","12.663","0.499","8.745","4.400","6.597","136.865"
"96","GTD","Bret Curtis","10","1:19.995","17:32.853","Green","Track","3.161","21.249","24.376","11.564","0.437","7.838","4.591","6.779","156.283"
"97","GTD","Markus Palttala","12","1:18.536","17:33.145","Green","Track","3.092","20.541","24.143","11.529","0.435","7.712","4.353","6.731","157.001"
"9","GTD","Lawson Aschenbach","12","1:22.064","17:35.488","Green","Track","3.114","20.984","24.566","13.077","0.506","8.351","4.729","6.737","134.971"
"5","P","Joao Barbosa","12","1:13.260","17:36.475","Green","Track","2.758","18.351","23.091","10.861","0.421","7.712","3.825","6.241","162.222"
"38","PC","James French","12","1:15.365","17:37.412","Green","Track","2.856","18.791","23.346","11.144","0.425","8.237","4.161","6.405","160.695"
"90","P","Ryan Dalziel","13","1:12.468","17:38.027","Green","Track","2.785","18.117","22.144","10.710","0.403","7.934","4.219","6.156","169.468"
"67","GTLM","Richard Westbrook","12","1:16.983","17:45.849","Green","Track","3.031","20.068","23.641","11.643","0.437","7.582","4.154","6.427","156.283"
"16","GTD","Corey Lewis","12","1:19.261","17:53.574","Green","Track","3.102","21.101","24.174","11.553","0.431","7.849","4.455","6.596","158.458"
"62","GTLM","Toni Vilander","11","1:17.693","17:55.689","Green","Track","2.988","20.317","23.736","11.741","0.443","7.762","4.179","6.527","154.166"
"88","PC","Richard Bradley","12","1:13.967","17:56.222","Green","Track","2.793","19.099","23.366","11.072","0.421","6.983","4.002","6.231","162.222"
"48","GTD","Madison Snow","11","1:19.036","17:58.176","Green","Track","3.117","21.056","24.111","11.557","0.428","7.812","4.304","6.651","159.569"
"31","P","Dane Cameron","12","1:59.111","17:59.596","Green","Pit","33.255","24.122","23.325","10.811","0.411","7.288","6.318","13.581","166.169"
"73","GTD","Patrick Lindsey","12","1:19.917","17:59.607","Green","Track","3.116","21.034","24.565","11.697","0.437","7.768","4.293","7.007","156.283"
"54","PC","Jonathan Bennett","11","1:14.374","18:03.726","Green","Track","2.893","19.696","22.806","11.133","0.426","7.216","4.084","6.120","160.318"
"20","PC","Johnny Mowlem","9","1:15.420","18:06.084","Green","Track","2.884","19.585","23.884","11.196","0.427","7.108","4.057","6.279","159.943"
"85","PC","Stephen Simpson","12","1:15.442","18:07.025","Green","Track","2.975","20.118","23.043","11.111","0.425","7.432","4.058","6.280","160.695"
"44","GTD","Andy Lally","12","1:21.729","18:09.082","Green","Track","3.146","21.246","25.225","11.756","0.442","8.690","4.479","6.745","154.515"
"100","GTLM","Lucas Luhr","12","1:24.824","18:14.037","Green","Track","3.259","23.835","27.305","11.704","0.440","7.490","4.193","6.598","155.217"
"22","GTD","Leh Keen","11","2:20.514","18:17.291","Green","Track","62.259","22.876","24.441","11.821","0.445","7.697","4.378","6.597","153.473"
"6","GTD","Robin Liddell","11","1:28.288","18:20.682","Green","Track","9.582","23.442","24.313","11.827","0.443","7.634","4.428","6.619","154.166"
"0","P","Katherine Legge","11","1:13.130","18:24.519","Green","Track","2.775","19.475","22.480","10.546","0.401","7.187","4.127","6.139","170.313"
"23","GTD","Mario Farnbacher","12","1:19.133","18:29.134","Green","Track","3.094","20.879","24.145","11.720","0.442","7.903","4.288","6.662","154.515"
"3","GTLM","Jan Magnussen","12","1:16.788","18:30.614","Green","Track","2.964","19.856","23.757","11.638","0.439","7.558","4.053","6.523","155.571"
"25","GTLM","Bill Auberlen","12","1:16.178","18:31.413","Green","Track","2.981","20.012","23.292","11.486","0.433","7.385","4.092","6.497","157.726"
"912","GTLM","Frederic Makowiecki","13","1:16.463","18:32.030","Green","Track","2.979","20.124","23.393","11.561","0.432","7.473","3.956","6.545","158.091"
"10","P","Jordan Taylor","13","1:11.608","18:37.630","Green","Track","2.757","18.215","22.087","10.766","0.409","7.367","3.931","6.076","166.982"
"911","GTLM","Patrick Pilet","12","1:18.724","18:38.928","Green","Track","3.075","20.378","23.626","11.626","0.441","8.672","4.322","6.584","154.865"
"52","PC","Tom Kimber-Smith","13","1:12.861","18:39.803","Green","Track","2.812","18.850","22.434","11.064","0.421","6.919","4.117","6.244","162.222"
"27","GTD","Fabio Babini","7","1:22.303","18:41.123","Green","Track","3.115","21.549","24.757","11.853","0.440","8.781","5.000","6.808","155.217"
"4","GTLM","Tommy Milner","13","1:15.992","18:43.760","Green","Track","2.997","19.592","23.334","11.698","0.440","7.502","4.001","6.428","155.217"
"60","P","Oswaldo Negri","12","2:14.938","18:44.296","Green","Pit","2.931","20.018","23.318","10.785","0.415","7.018","6.789","63.664","164.567"
"5","P","Joao Barbosa","13","1:13.273","18:49.748","Green","Track","2.808","19.011","23.106","10.843","0.414","7.127","3.879","6.085","164.965"
"90","P","Ryan Dalziel","14","1:13.773","18:51.800","Green","Track","2.781","18.927","23.237","10.787","0.408","7.464","4.071","6.098","167.391"
"97","GTD","Markus Palttala","13","1:19.865","18:53.010","Green","Track","3.050","20.955","24.524","11.600","0.435","8.173","4.459","6.669","157.001"
"38","PC","James French","13","1:17.324","18:54.736","Green","Track","2.861","19.246","24.178","11.100","0.423","8.564","4.588","6.364","161.455"
"96","GTD","Bret Curtis","11","1:21.810","18:54.663","Green","Track","3.085","21.572","25.565","11.598","0.433","8.248","4.538","6.771","157.726"
"66","GTLM","Joey Hand","12","1:27.495","18:57.484","Green","Pit","3.013","20.195","23.925","11.712","0.440","8.154","6.838","13.218","155.217"
"9","GTD","Lawson Aschenbach","13","1:22.072","18:57.560","Green","Track","3.091","20.675","25.547","13.365","0.489","7.954","4.315","6.636","139.664"
"8","PC","Alex Popow","11","2:09.586","19:08.481","Green","Track","51.341","24.225","24.106","11.227","0.429","7.491","4.196","6.571","159.197"
"88","PC","Richard Bradley","13","1:15.064","19:11.286","Green","Track","2.847","20.252","22.749","11.015","0.420","7.231","4.095","6.455","162.608"
"16","GTD","Corey Lewis","13","1:18.913","19:12.487","Green","Track","3.120","20.759","23.999","11.585","0.431","8.004","4.364","6.651","158.458"
"67","GTLM","Richard Westbrook","13","1:27.589","19:13.438","Green","Pit","3.017","19.802","23.717","11.710","0.439","7.962","7.358","13.584","155.571"
"62","GTLM","Toni Vilander","12","1:19.180","19:14.869","Green","Track","3.041","20.844","23.728","11.730","0.443","8.253","4.496","6.645","154.166"
"48","GTD","Madison Snow","12","1:18.913","19:17.089","Green","Track","3.191","20.912","24.110","11.556","0.432","7.835","4.288","6.589","158.091"
"54","PC","Jonathan Bennett","12","1:14.945","19:18.671","Green","Track","2.808","19.066","23.189","11.105","0.422","7.517","4.337","6.501","161.838"
"73","GTD","Patrick Lindsey","13","1:19.092","19:18.699","Green","Track","3.141","20.918","24.043","11.722","0.439","7.702","4.338","6.789","155.571"
"20","PC","Johnny Mowlem","10","1:13.406","19:19.490","Green","Track","2.828","19.136","22.426","11.202","0.429","7.088","4.010","6.287","159.197"
"44","GTD","Andy Lally","13","1:19.685","19:28.767","Green","Track","3.121","20.976","24.354","11.739","0.441","8.086","4.330","6.638","154.865"
"100","GTLM","Lucas Luhr","13","1:16.752","19:30.789","Green","Track","2.982","20.050","23.437","11.672","0.440","7.467","4.142","6.562","155.217"
"22","GTD","Leh Keen","12","1:18.987","19:36.278","Green","Track","3.023","21.057","24.044","11.801","0.447","7.727","4.298","6.590","152.786"
"0","P","Katherine Legge","12","1:13.033","19:37.552","Green","Track","2.783","19.248","22.549","10.503","0.400","7.271","4.110","6.169","170.739"
