"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"100","GTLM","John Edwards","1","27:46.494","27:46.494","Green","Track","5.981","24.799","25.290","9.817","9.841","0.462","4.749","0.488","25.751","28.133","8.644","145.243","137.505"
"25","GTLM","Dirk Werner","1","27:51.748","27:51.748","Green","Track","5.988","24.713","25.914","9.692","9.850","0.462","4.698","0.421","23.732","25.072","8.541","145.243","159.388"
"66","GTLM","Dirk Mueller","1","28:00.823","28:00.823","Green","Track","5.979","25.706","25.938","10.125","10.234","0.468","4.753","0.447","24.485","26.010","8.606","143.381","150.117"
"911","GTLM","Patrick Pilet","1","28:23.098","28:23.098","Green","Track","6.143","24.535","25.266","9.811","9.835","0.463","4.701","0.425","23.566","25.328","8.515","144.929","157.888"
"67","GTLM","Ryan Briscoe","1","28:39.998","28:39.998","Green","Track","5.978","26.393","25.709","9.909","9.847","0.460","4.748","0.462","23.601","24.968","8.607","145.875","145.243"
"4","GTLM","Oliver Gavin","1","28:46.677","28:46.677","Green","Track","1620.790","27.315","27.065","9.700","9.870","0.466","4.704","0.446","23.631","25.177","8.644","143.996","150.454"
"912","GTLM","Frederic Makowiecki","1","29:22.452","29:22.452","Green","Track","6.163","25.973","25.482","9.682","9.887","0.468","4.740","0.434","23.514","25.021","8.600","143.381","154.614"
"3","GTLM","Jan Magnussen","2","2:06.524","29:37.321","Green","Track","1.479","20.315","24.268","9.339","9.747","0.457","4.619","0.419","22.737","24.505","8.639","146.832","160.149"
"62","GTLM","Toni Vilander","2","2:07.172","29:46.519","Green","Track","1.471","20.330","24.509","9.396","9.698","0.456","4.636","0.427","23.032","24.732","8.485","147.154","157.148"
"100","GTLM","John Edwards","2","2:06.198","29:52.692","Green","Track","1.469","19.944","24.055","9.337","9.740","0.461","4.676","0.420","22.859","24.632","8.605","145.558","159.767"
"25","GTLM","Dirk Werner","2","2:05.592","29:57.340","Green","Track","1.464","19.990","24.017","9.309","9.668","0.455","4.645","0.417","22.714","24.426","8.487","147.478","160.917"
"66","GTLM","Dirk Mueller","2","2:06.316","30:07.139","Green","Track","1.478","20.138","23.864","9.273","9.771","0.458","4.662","0.418","23.125","24.478","8.651","146.512","160.532"
"911","GTLM","Patrick Pilet","2","2:04.937","30:28.035","Green","Track","1.468","19.953","23.642","9.190","9.643","0.456","4.640","0.417","22.638","24.394","8.496","147.154","160.917"
"67","GTLM","Ryan Briscoe","2","2:06.280","30:46.278","Green","Track","1.475","20.361","24.266","9.288","9.683","0.456","4.645","0.422","22.833","24.340","8.511","147.154","159.010"
"4","GTLM","Oliver Gavin","2","2:06.344","30:53.021","Green","Track","1.477","20.045","24.092","9.290","9.700","0.459","4.629","0.416","23.071","24.485","8.680","146.192","161.304"
"912","GTLM","Frederic Makowiecki","2","2:06.444","31:28.896","Green","Track","1.478","20.040","24.142","9.469","9.757","0.460","4.666","0.417","22.872","24.583","8.560","145.875","160.917"
"3","GTLM","Jan Magnussen","3","2:05.474","31:42.795","Green","Track","1.461","19.964","23.998","9.202","9.689","0.455","4.596","0.411","22.745","24.329","8.624","147.478","163.266"
"62","GTLM","Toni Vilander","3","2:04.865","31:51.384","Green","Track","1.455","19.783","23.776","9.238","9.678","0.453","4.611","0.413","22.759","24.282","8.417","148.129","162.475"
"100","GTLM","John Edwards","3","2:05.926","31:58.618","Green","Track","1.468","19.940","24.164","9.330","9.681","0.456","4.635","0.415","22.840","24.392","8.605","147.154","161.692"
"25","GTLM","Dirk Werner","3","2:05.230","32:02.570","Green","Track","1.460","19.852","23.884","9.271","9.701","0.457","4.647","0.415","22.663","24.326","8.554","146.832","161.692"
"66","GTLM","Dirk Mueller","3","2:05.805","32:12.944","Green","Track","1.474","19.896","23.633","9.269","9.716","0.457","4.652","0.417","23.077","24.621","8.593","146.832","160.917"
"911","GTLM","Patrick Pilet","3","2:07.939","32:35.974","Green","Track","1.462","19.886","23.690","9.326","9.572","0.455","4.623","0.415","24.971","25.147","8.392","147.478","161.692"
"67","GTLM","Ryan Briscoe","3","2:04.188","32:50.466","Green","Track","1.467","19.805","23.313","9.155","9.719","0.457","4.643","0.416","22.514","24.133","8.566","146.832","161.304"
"4","GTLM","Oliver Gavin","3","2:05.303","32:58.324","Green","Track","1.472","19.975","23.822","9.280","9.702","0.457","4.617","0.413","22.800","24.244","8.521","146.832","162.475"
"912","GTLM","Frederic Makowiecki","3","2:04.987","33:33.883","Green","Track","1.473","19.883","23.777","9.154","9.697","0.460","4.659","0.415","22.584","24.334","8.551","145.875","161.692"
"3","GTLM","Jan Magnussen","4","2:05.461","33:48.256","Green","Track","1.465","19.893","24.120","9.166","9.683","0.453","4.576","0.408","22.821","24.286","8.590","148.129","164.466"
"62","GTLM","Toni Vilander","4","2:04.694","33:56.078","Green","Track","1.452","19.838","23.808","9.219","9.659","0.452","4.604","0.413","22.645","24.123","8.481","148.456","162.475"
"100","GTLM","John Edwards","4","2:05.737","34:04.355","Green","Track","1.468","19.814","24.006","9.326","9.639","0.456","4.632","0.415","22.767","24.609","8.605","147.154","161.692"
"25","GTLM","Dirk Werner","4","2:06.479","34:09.049","Green","Track","1.464","19.850","24.312","9.588","9.810","0.457","4.655","0.434","22.941","24.464","8.504","146.832","154.614"
"66","GTLM","Dirk Mueller","4","2:05.261","34:18.205","Green","Track","1.471","19.868","23.663","9.260","9.744","0.458","4.643","0.415","22.922","24.241","8.576","146.512","161.692"
"911","GTLM","Patrick Pilet","4","2:04.874","34:40.848","Green","Track","1.459","19.849","23.501","9.297","9.650","0.455","4.633","0.415","22.736","24.141","8.738","147.478","161.692"
"67","GTLM","Ryan Briscoe","4","2:04.208","34:54.674","Green","Track","1.471","19.831","23.378","9.127","9.703","0.455","4.638","0.414","22.621","24.046","8.524","147.478","162.083"
"4","GTLM","Oliver Gavin","4","2:05.190","35:03.514","Green","Track","1.459","19.904","23.808","9.215","9.641","0.455","4.593","0.412","22.823","24.304","8.576","147.478","162.870"
"912","GTLM","Frederic Makowiecki","4","2:06.778","35:40.661","Green","Track","1.477","19.777","23.794","9.137","9.732","0.459","4.668","0.418","24.003","24.761","8.552","146.192","160.532"
"3","GTLM","Jan Magnussen","5","2:08.202","35:56.458","Green","Track","1.455","19.835","23.950","9.201","9.629","0.451","4.565","0.408","25.437","24.768","8.503","148.786","164.466"
"62","GTLM","Toni Vilander","5","2:04.522","36:00.600","Green","Track","1.455","19.677","23.631","9.192","9.637","0.451","4.595","0.413","22.922","24.005","8.544","148.786","162.475"
"25","GTLM","Dirk Werner","5","2:07.504","36:16.553","Green","Track","1.460","19.803","23.856","9.304","9.699","0.456","4.636","0.416","24.154","25.175","8.545","147.154","161.304"
"100","GTLM","John Edwards","5","2:15.443","36:19.798","Green","Track","1.466","19.811","24.372","9.280","9.686","0.455","6.138","0.916","28.396","26.327","8.596","147.478","73.256"
"66","GTLM","Dirk Mueller","5","2:05.084","36:23.289","Green","Track","1.466","19.767","23.590","9.317","9.715","0.457","4.632","0.414","22.878","24.274","8.574","146.832","162.083"
"911","GTLM","Patrick Pilet","5","2:09.311","36:50.159","Green","Track","1.478","19.799","25.697","10.426","9.794","0.456","4.629","0.429","23.234","24.903","8.466","147.154","156.416"
"67","GTLM","Ryan Briscoe","5","2:07.999","37:02.673","Green","Track","1.468","19.772","23.392","9.227","9.647","0.455","4.621","0.414","23.467","27.017","8.519","147.478","162.083"
"4","GTLM","Oliver Gavin","5","2:09.452","37:12.966","Green","Track","1.461","19.902","23.911","9.204","9.642","0.454","4.587","0.411","25.322","26.019","8.539","147.802","163.266"
"912","GTLM","Frederic Makowiecki","5","2:05.002","37:45.663","Green","Track","1.478","19.772","23.748","9.193","9.679","0.458","4.653","0.417","22.612","24.435","8.557","146.512","160.917"
"62","GTLM","Toni Vilander","6","2:09.372","38:09.972","Green","Track","1.455","19.710","24.896","10.012","10.259","0.465","5.039","0.491","23.498","25.078","8.469","144.306","136.665"
"3","GTLM","Jan Magnussen","6","2:19.493","38:15.951","Green","Track","1.450","19.871","24.795","11.189","13.504","0.761","7.620","0.683","26.111","25.049","8.460","88.176","98.246"
