"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"16","GTD","Richard Antinucci","9","2:08.864","20:07.211","Finish","Pit","6.123","3.882","21.933","22.222","7.569","0.557","19.766","46.812","155.459"
"0","P","Andy Meyrick","6","2:32.180","20:08.563","Finish","Pit","53.406","6.595","26.301","23.687","8.194","0.668","23.816","9.513","129.627"
"20","PC","Johnny Mowlem","9","1:18.341","20:13.213","Finish","Track","5.719","3.636","20.839","20.850","7.216","0.537","18.693","0.851","161.249"
"4","GTLM","Marcel Fassler","8","1:21.290","20:14.770","Finish","Track","6.013","3.781","21.605","21.929","7.542","0.553","18.976","0.891","156.584"
"2","P","Luis Felipe Derani","10","1:27.233","20:17.774","Finish","Pit","5.625","3.407","19.406","21.694","7.050","0.525","20.242","9.284","164.935"
"96","GTD","Bret Curtis","8","2:28.775","20:23.104","Finish","Track","6.095","3.909","22.391","86.716","7.855","0.567","20.291","0.951","152.718"
"100","GTLM","Kuno Wittmer","9","1:19.736","20:25.395","Finish","Track","5.934","3.618","21.221","21.145","7.493","0.552","18.879","0.894","156.868"
"88","PC","Richard Bradley","9","1:19.601","20:31.167","Finish","Track","5.670","3.530","20.914","21.417","7.365","0.549","19.287","0.869","157.725"
"6","GTD","Andrew Davis","5","1:22.008","20:37.715","Finish","Track","6.012","3.797","21.756","21.901","7.620","0.559","19.440","0.923","154.903"
"10","P","Ricky Taylor","11","1:14.573","20:41.687","Finish","Track","5.408","3.367","19.417","20.189","6.980","0.518","17.872","0.822","167.164"
"62","GTLM","James Calado","10","1:21.821","20:45.868","Finish","Track","5.910","3.678","21.264","21.867","7.524","0.554","20.135","0.889","156.301"
"5","P","Joao Barbosa","10","1:16.294","20:53.882","Finish","Track","5.461","3.437","20.651","20.343","7.021","0.519","18.021","0.841","166.842"
"3","GTLM","Jan Magnussen","10","1:20.894","20:55.268","Finish","Track","6.023","3.704","21.717","21.477","7.563","0.555","18.950","0.905","156.020"
"73","GTD","Jorg Bergmeister","10","1:21.841","20:57.379","Finish","Track","6.039","3.828","21.731","22.013","7.565","0.555","19.188","0.922","156.020"
"27","GTD","Luca Persiani","8","1:21.646","21:00.666","Finish","Track","5.982","3.837","21.948","21.772","7.517","0.548","19.126","0.916","158.013"
"25","GTLM","Augusto Farfus","8","1:20.410","21:01.124","Finish","Track","5.889","3.666","21.299","21.495","7.473","0.548","19.147","0.893","158.013"
"38","PC","Kyle Marcelli","11","1:16.977","21:04.396","Finish","Track","5.621","3.410","20.113","20.752","7.242","0.538","18.452","0.849","160.950"
"67","GTLM","Ryan Briscoe","11","1:19.775","21:11.965","Finish","Track","5.910","3.642","21.200","21.342","7.554","0.554","18.681","0.892","156.301"
"90","P","Ryan Hunter-Reay","11","1:14.825","21:14.011","Finish","Track","5.516","3.375","19.596","20.078","7.051","0.520","17.855","0.834","166.521"
"9","GTD","Matt Bell","9","1:23.160","21:24.503","Finish","Track","6.129","3.901","22.583","21.920","7.567","0.552","19.576","0.932","156.868"
"97","GTD","Markus Palttala","11","1:32.382","21:34.081","Finish","Pit","6.105","3.899","22.684","22.126","7.520","0.548","19.950","9.550","158.013"
"48","GTD","Bryan Sellers","11","1:32.582","21:35.064","Finish","Pit","6.285","4.088","22.670","21.919","7.447","0.543","20.339","9.291","159.468"
