"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"68","GTLM","Alessandro Pier Guidi","71","1:26.282","1:49:51.200","Green","Track","1.742","0.491","4.015","26.069","19.903","14.565","8.518","10.979","135.160"
"55","P","Jonathan Bomarito","72","1:24.338","1:49:52.766","Green","Track","1.601","0.460","4.031","25.640","19.333","14.453","8.365","10.455","144.269"
"912","GTLM","Frederic Makowiecki","71","1:26.162","1:50:11.233","Green","Track","1.716","0.000","0.000","26.310","19.877","14.487","8.600","10.670","0.000"
"62","GTLM","Giancarlo Fisichella","71","1:27.499","1:50:12.390","Green","Track","1.741","0.498","3.953","26.986","19.962","14.645","8.673","11.041","133.260"
"0","P","Katherine Legge","72","1:23.138","1:50:16.834","Green","Track","1.579","0.000","0.000","24.999","19.125","14.449","8.308","10.309","0.000"
"100","GTLM","John Edwards","71","1:27.660","1:50:21.780","Green","Track","1.742","0.492","4.048","26.767","20.002","14.828","8.632","11.149","134.885"
"911","GTLM","Patrick Pilet","71","1:27.488","1:50:21.938","Green","Track","1.738","0.492","4.090","26.940","19.896","14.831","8.672","10.829","134.885"
"4","GTLM","Oliver Gavin","71","1:25.770","1:50:23.242","Green","Track","1.743","0.000","0.000","25.836","19.776","14.379","8.643","10.832","0.000"
"60","P","Oswaldo Negri","73","1:22.994","1:50:25.010","Green","Track","1.617","0.000","0.000","25.172","18.780","14.359","8.165","10.553","0.000"
"25","GTLM","Bill Auberlen","71","1:27.269","1:50:31.768","Green","Track","1.749","0.497","4.066","26.306","19.961","14.882","8.696","11.112","133.528"
"10","P","Jordan Taylor","71","1:21.285","1:50:39.610","Green","Track","1.627","0.467","4.185","24.401","18.500","13.771","7.970","10.364","142.106"
"90","P","Marc Goossens","73","1:23.453","1:50:55.549","Green","Track","1.623","0.463","3.800","25.764","19.100","14.068","8.155","10.480","143.334"
"31","P","Eric Curran","73","1:23.773","1:50:56.131","Green","Track","1.607","0.464","3.862","25.859","18.993","14.344","8.166","10.478","143.025"
"5","P","Joao Barbosa","69","1:22.792","1:50:58.280","Green","Track","1.608","0.000","0.000","24.789","19.354","14.278","8.018","10.470","0.000"
"67","GTLM","Richard Westbrook","72","1:27.608","1:51:00.777","Green","Track","1.745","0.000","0.000","26.079","20.658","14.863","8.733","10.823","0.000"
"66","GTLM","Joey Hand","72","1:28.672","1:51:08.002","Green","Track","1.727","0.000","0.000","26.748","20.485","15.182","8.787","10.998","0.000"
"3","GTLM","Antonio Garcia","72","1:27.313","1:51:15.957","Green","Track","1.742","0.000","0.000","26.347","20.092","14.711","8.778","10.940","0.000"
"68","GTLM","Alessandro Pier Guidi","72","1:26.582","1:51:17.782","Green","Track","1.737","0.000","0.000","26.191","19.869","14.795","8.601","10.884","0.000"
"55","P","Jonathan Bomarito","73","1:25.083","1:51:17.849","Green","Track","1.602","0.460","3.931","25.583","19.380","14.754","8.776","10.597","144.269"
"912","GTLM","Frederic Makowiecki","72","1:25.864","1:51:37.097","Green","Track","1.727","0.000","0.000","25.792","19.788","14.774","8.579","10.694","0.000"
"0","P","Katherine Legge","73","1:22.505","1:51:39.339","Green","Track","1.577","0.000","0.000","24.755","18.911","14.121","8.559","10.425","0.000"
"62","GTLM","Giancarlo Fisichella","72","1:27.337","1:51:39.727","Green","Track","1.741","0.497","4.036","26.337","20.019","14.771","8.787","11.149","133.528"
"60","P","Oswaldo Negri","74","1:25.366","1:51:50.376","Green","Track","1.606","0.000","0.000","25.855","19.480","14.810","8.464","10.809","0.000"
"4","GTLM","Oliver Gavin","72","1:27.839","1:51:51.081","Green","Track","1.731","0.000","0.000","26.451","20.383","15.074","8.706","10.912","0.000"
"911","GTLM","Patrick Pilet","72","1:28.942","1:51:50.880","Green","Track","1.720","0.000","0.000","27.563","20.258","14.710","8.617","11.446","0.000"
"100","GTLM","John Edwards","72","1:30.868","1:51:52.648","Green","Track","1.721","0.491","4.096","28.812","20.669","15.078","8.785","11.216","135.160"
"25","GTLM","Bill Auberlen","72","1:27.392","1:51:59.160","Green","Track","1.747","0.497","4.046","26.422","20.089","14.898","8.613","11.080","133.528"
"10","P","Jordan Taylor","72","1:21.172","1:52:00.782","Green","Track","1.630","0.466","4.112","24.392","18.585","13.719","7.962","10.306","142.411"
"90","P","Marc Goossens","74","1:23.508","1:52:19.057","Green","Track","1.614","0.459","3.766","25.233","19.163","14.613","8.145","10.515","144.583"
"31","P","Eric Curran","74","1:23.966","1:52:20.097","Green","Track","1.608","0.000","0.000","24.940","18.993","15.254","8.286","10.621","0.000"
"5","P","Joao Barbosa","70","1:23.208","1:52:21.488","Green","Track","1.606","0.465","3.928","24.946","18.885","14.668","8.181","10.529","142.717"
"67","GTLM","Richard Westbrook","73","1:27.280","1:52:28.057","Green","Track","1.738","0.000","0.000","26.096","20.195","14.942","8.767","10.840","0.000"
"66","GTLM","Joey Hand","73","1:28.450","1:52:36.452","Green","Track","1.726","0.000","0.000","26.684","20.388","15.174","8.818","10.974","0.000"
"3","GTLM","Antonio Garcia","73","1:27.590","1:52:43.547","Green","Track","1.738","0.000","0.000","26.376","20.199","14.826","8.755","10.997","0.000"
"55","P","Jonathan Bomarito","74","1:25.621","1:52:43.470","Green","Track","1.596","0.459","3.977","25.837","19.550","14.822","8.786","10.594","144.583"
"68","GTLM","Alessandro Pier Guidi","73","1:27.497","1:52:45.279","Green","Track","1.745","0.000","0.000","26.887","20.011","14.847","8.502","10.939","0.000"
"0","P","Katherine Legge","74","1:23.749","1:53:03.088","Green","Track","1.576","0.000","0.000","25.218","18.950","14.759","8.628","10.415","0.000"
"912","GTLM","Frederic Makowiecki","73","1:26.002","1:53:03.099","Green","Track","1.731","0.000","0.000","25.753","19.860","14.657","8.772","10.758","0.000"
"62","GTLM","Giancarlo Fisichella","73","1:27.346","1:53:07.073","Green","Track","1.731","0.496","3.974","26.271","20.338","14.975","8.596","10.965","133.798"
"60","P","Oswaldo Negri","75","1:23.422","1:53:13.798","Green","Track","1.611","0.000","0.000","25.327","18.788","14.645","8.191","10.517","0.000"
"911","GTLM","Patrick Pilet","73","1:26.523","1:53:17.403","Green","Track","1.736","0.495","4.054","26.171","19.853","14.665","8.616","10.933","134.068"
"4","GTLM","Oliver Gavin","73","1:26.745","1:53:17.826","Green","Track","1.729","0.000","0.000","26.301","19.968","14.588","8.594","10.922","0.000"
