"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"10","P","Ricky Taylor","3","1:28.727","49:51.078","Green","Track","3.147","11.659","0.524","12.861","9.846","9.030","0.527","12.793","11.350","10.693","2.203","4.094","150.937","153.959"
"60","P","Katherine Legge","3","1:26.743","49:56.757","Green","Track","3.088","11.795","0.534","12.862","9.920","8.965","0.526","12.993","10.165","9.625","2.184","4.086","148.110","154.252"
"70","P","Tom Long","3","1:27.859","50:15.568","Green","Track","3.240","11.764","0.534","13.265","10.204","8.941","0.531","13.271","10.149","9.696","2.180","4.084","148.110","152.799"
"55","P","Tristan Nunez","3","1:27.473","50:38.776","Green","Track","3.369","11.727","0.536","13.371","10.019","8.999","0.536","13.118","9.931","9.572","2.177","4.118","147.558","151.374"
"5","P","Christian Fittipaldi","4","1:24.396","50:59.145","Green","Track","3.027","11.311","0.521","12.707","9.681","8.825","0.523","12.874","9.634","9.142","2.133","4.018","151.806","155.136"
"31","P","Eric Curran","4","1:25.224","51:05.109","Green","Track","3.164","11.370","0.517","13.062","9.713","8.845","0.525","12.854","9.724","9.299","2.140","4.011","152.980","154.545"
"90","P","Marc Goossens","4","1:24.972","51:09.421","Green","Track","3.051","11.509","0.520","12.996","9.693","8.955","0.528","12.509","9.738","9.231","2.170","4.072","152.098","153.667"
"10","P","Ricky Taylor","4","1:24.917","51:15.995","Green","Track","3.046","11.530","0.523","12.673","9.740","8.978","0.525","12.671","9.637","9.322","2.199","4.073","151.225","154.545"
"60","P","Katherine Legge","4","1:31.281","51:28.038","Green","Track","3.017","11.698","0.534","12.707","10.000","9.057","0.525","16.090","10.829","10.462","2.241","4.121","148.110","154.545"
"70","P","Tom Long","4","1:27.249","51:42.817","Green","Track","3.247","11.647","0.531","12.999","10.101","8.934","0.531","13.253","10.096","9.670","2.165","4.075","148.947","152.799"
"55","P","Tristan Nunez","4","1:26.203","52:04.979","Green","Track","3.196","11.421","0.532","13.084","9.831","8.970","0.535","12.923","9.918","9.514","2.170","4.109","148.667","151.657"
"5","P","Christian Fittipaldi","5","1:24.053","52:23.198","Green","Track","3.042","11.286","0.519","12.583","9.597","8.866","0.528","12.702","9.606","9.132","2.157","4.035","152.391","153.667"
"31","P","Eric Curran","5","1:24.337","52:29.446","Green","Track","3.112","11.227","0.514","12.723","9.745","8.793","0.521","12.598","9.638","9.273","2.162","4.031","153.873","155.732"
"90","P","Marc Goossens","5","1:24.136","52:33.557","Green","Track","2.909","11.387","0.520","12.699","9.739","8.909","0.525","12.490","9.615","9.123","2.156","4.064","152.098","154.545"
"10","P","Ricky Taylor","5","1:25.684","52:41.679","Green","Track","3.034","11.317","0.522","12.584","9.726","8.953","0.525","12.823","10.231","9.712","2.183","4.074","151.515","154.545"
"60","P","Katherine Legge","5","1:26.970","52:55.008","Green","Track","3.148","11.743","0.532","12.676","9.981","8.943","0.527","13.192","10.314","9.667","2.165","4.082","148.667","153.959"
"70","P","Tom Long","5","1:25.827","53:08.644","Green","Track","3.188","11.514","0.528","12.739","9.896","8.879","0.528","12.909","9.893","9.515","2.169","4.069","149.793","153.667"
"55","P","Tristan Nunez","5","1:25.365","53:30.344","Green","Track","3.179","11.424","0.529","12.759","9.804","9.028","0.536","12.758","9.658","9.429","2.163","4.098","149.510","151.374"
"5","P","Christian Fittipaldi","6","1:23.815","53:47.013","Green","Track","3.037","11.116","0.517","12.520","9.597","8.867","0.525","12.723","9.670","9.098","2.135","4.010","152.980","154.545"
"31","P","Eric Curran","6","1:24.658","53:54.104","Green","Track","3.056","11.276","0.514","12.822","9.635","8.809","0.525","12.780","9.685","9.368","2.163","4.025","153.873","154.545"
"90","P","Marc Goossens","6","1:24.292","53:57.849","Green","Track","2.888","11.300","0.516","12.730","9.736","8.944","0.522","12.534","9.698","9.165","2.182","4.077","153.277","155.434"
"10","P","Ricky Taylor","6","1:24.253","54:05.932","Green","Track","3.021","11.189","0.520","12.663","9.768","8.947","0.526","12.569","9.656","9.183","2.165","4.046","152.098","154.252"
"60","P","Katherine Legge","6","1:26.488","54:21.496","Green","Track","3.145","11.523","0.527","12.717","9.850","9.047","0.533","13.249","10.045","9.547","2.202","4.103","150.078","152.226"
"70","P","Tom Long","6","1:25.749","54:34.393","Green","Track","3.060","11.406","0.528","12.615","9.906","9.033","0.532","13.014","9.954","9.467","2.163","4.071","149.793","152.512"
"55","P","Tristan Nunez","6","1:25.594","54:55.938","Green","Track","3.153","11.346","0.531","12.879","9.794","9.000","0.535","12.853","9.721","9.409","2.223","4.150","148.947","151.657"
"5","P","Christian Fittipaldi","7","1:26.635","55:13.648","Green","Track","2.971","11.120","0.515","12.910","10.604","9.133","0.566","13.423","9.867","9.337","2.152","4.037","153.575","143.350"
"31","P","Eric Curran","7","1:26.895","55:20.999","Green","Track","3.201","11.205","0.513","12.832","10.520","9.027","0.586","13.522","9.792","9.491","2.164","4.042","154.173","138.458"
