"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"63","GTD","Alessandro Balzan","84","2:15.682","6:02:27.435","Green","Track","6.088","6.892","27.503","16.828","29.956","30.726","0.562","12.693","1.575","2.859","150.841","109.668"
"68","GTLM","Andrea Bertolini","81","2:13.343","6:02:29.988","Green","Track","191.161","7.341","26.872","16.518","29.103","30.033","0.558","12.369","1.595","2.900","151.922","108.293"
"44","GTD","Andy Lally","83","2:15.402","6:02:32.507","Green","Track","6.060","7.020","27.586","16.637","29.762","30.741","0.565","12.518","1.598","2.915","150.040","108.090"
"25","GTLM","Bruno Spengler","86","3:16.457","6:02:36.730","Green","Track","57.651","14.915","31.179","17.314","29.267","28.600","0.596","12.548","1.553","2.834","142.236","111.222"
"6","GTD","Andrew Davis","84","2:17.566","6:02:41.266","Green","Track","6.190","6.963","27.912","17.859","30.179","30.833","0.565","12.519","1.612","2.934","150.040","107.151"
"98","GTD","Paul Dalla Lana","84","2:17.872","6:02:41.998","Green","Track","6.187","6.876","28.276","17.480","31.000","30.557","0.557","12.306","1.655","2.978","152.195","104.367"
"66","GTLM","Sebastien Bourdais","80","2:21.701","6:02:43.511","Green","Track","6.462","7.213","28.828","18.145","31.679","31.374","0.584","12.795","1.645","2.976","145.159","105.001"
"540","GTD","Andy Pilgrim","82","2:16.355","6:02:44.464","Green","Track","6.224","6.697","27.738","17.220","29.866","31.073","0.563","12.438","1.616","2.920","150.573","106.886"
"23","GTD","Ian James","84","2:17.529","6:02:44.952","Green","Track","6.195","7.142","27.731","16.763","30.134","31.431","0.592","12.988","1.626","2.927","143.197","106.228"
"5","P","Filipe Albuquerque","88","2:10.872","6:02:51.974","Green","Track","5.775","6.620","25.947","16.204","29.497","29.920","0.532","12.199","1.486","2.692","159.347","116.236"
"31","P","Scott Pruett","88","2:10.826","6:02:53.426","Green","Track","5.769","6.270","26.567","16.155","28.802","30.271","0.535","12.269","1.490","2.698","158.454","115.924"
"28","GTD","Terry Borcheller","84","2:18.766","6:02:54.505","Green","Track","6.089","7.076","28.061","17.674","30.275","31.709","0.561","12.774","1.617","2.930","151.110","106.820"
"97","GTD","Michael Marsal","84","2:18.690","6:02:54.695","Green","Track","6.086","7.183","28.040","17.789","30.573","31.286","0.584","12.638","1.604","2.907","145.159","107.685"
"24","P","Daniel Morad","88","2:08.279","6:02:57.247","Green","Track","5.592","6.335","25.797","16.506","28.682","28.475","0.560","12.108","1.506","2.718","151.380","114.693"
"45","GTD","Nic Jonsson","84","2:16.488","6:02:57.346","Green","Track","6.168","7.218","28.306","16.968","29.474","30.610","0.562","12.631","1.617","2.934","150.841","106.820"
"60","P","Oswaldo Negri","88","2:08.550","6:03:07.318","Green","Track","5.741","6.178","26.165","16.041","29.265","28.454","0.552","12.017","1.465","2.672","153.574","117.903"
"81","P","Nicolas Lapierre","87","2:07.478","6:03:09.693","Green","Track","5.746","5.971","25.359","15.762","28.375","29.825","0.553","11.694","1.486","2.707","153.296","116.236"
"90","P","Ryan Dalziel","88","2:09.936","6:03:09.815","Green","Track","5.678","6.177","26.175","16.263","29.041","29.617","0.552","12.090","1.567","2.776","153.574","110.228"
"10","P","Ricky Taylor","88","2:08.672","6:03:13.116","Green","Track","5.661","6.216","26.020","16.340","28.540","28.778","0.541","12.386","1.489","2.701","156.696","116.002"
"33","GTD","Ben Keating","80","2:22.411","6:03:14.082","Green","Track","6.090","7.013","28.731","17.986","31.498","32.617","0.598","13.354","1.614","2.910","141.760","107.018"
"0","P","Katherine Legge","88","2:06.643","6:03:22.118","Green","Track","5.711","6.587","25.718","15.728","28.128","28.213","0.517","11.977","1.445","2.619","163.970","119.534"
"96","GTD","Jens Klingmann","84","2:14.795","6:03:32.959","Green","Track","6.070","7.035","27.277","16.773","29.655","30.517","0.574","12.354","1.610","2.930","147.688","107.284"
"20","PC","Don Yount","82","2:14.323","6:03:33.072","Green","Track","6.176","6.931","26.910","17.227","29.864","29.674","0.592","12.680","1.522","2.747","143.197","113.487"
"911","GTLM","Nick Tandy","87","2:12.600","6:03:35.896","Green","Track","6.053","6.508","26.975","16.641","29.379","29.747","0.565","12.234","1.594","2.904","150.040","108.361"
"912","GTLM","Michael Christensen","87","2:12.778","6:03:40.969","Green","Track","6.068","6.797","26.882","16.567","29.337","29.990","0.559","12.093","1.591","2.894","151.651","108.565"
"54","PC","Colin Braun","87","2:09.878","6:03:41.745","Green","Track","5.829","6.913","26.217","16.424","28.611","28.966","0.546","12.155","1.489","2.728","155.261","116.002"
"8","PC","Renger van der Zande","81","2:07.208","6:03:45.335","Green","Track","5.752","6.200","26.223","16.219","28.133","28.475","0.537","11.393","1.516","2.760","157.864","113.936"
"70","P","Ben Devlin","87","2:06.961","6:03:47.076","Green","Track","5.796","5.986","25.888","16.039","28.322","28.217","0.536","11.938","1.517","2.722","158.158","113.861"
"3","GTLM","Jan Magnussen","87","2:15.034","6:03:59.650","Green","Track","6.107","6.710","27.521","16.822","29.799","30.281","0.570","12.683","1.618","2.923","148.724","106.754"
"55","P","Tristan Nunez","87","2:11.905","6:03:59.626","Green","Track","6.180","6.473","26.273","16.395","28.786","30.029","0.558","12.841","1.582","2.788","151.922","109.183"
"4","GTLM","Marcel Fassler","87","2:15.444","6:04:03.688","Green","Track","6.195","6.764","27.472","16.716","29.902","30.569","0.558","12.753","1.612","2.903","151.922","107.151"
"67","GTLM","Scott Dixon","87","2:14.507","6:04:04.161","Green","Track","6.185","6.794","27.264","17.005","29.671","30.026","0.568","12.442","1.615","2.937","149.248","106.952"
"62","GTLM","Davide Rigon","87","2:14.257","6:04:04.912","Green","Track","6.113","6.746","27.186","16.899","29.584","30.132","0.559","12.521","1.608","2.909","151.651","107.417"
"52","PC","Robert Alon","87","2:14.005","6:04:05.074","Green","Track","6.043","6.787","27.744","0.000","0.000","29.202","0.597","12.674","1.533","2.747","141.998","112.673"
"88","PC","Michael Lyons","87","2:13.546","6:04:07.846","Green","Track","6.042","6.691","27.485","17.018","29.720","29.389","0.544","12.319","1.538","2.800","155.832","112.306"
"50","P","Dorsey Schroeder","82","2:12.578","6:04:13.201","Green","Track","5.912","6.591","27.150","16.514","29.595","29.480","0.534","12.443","1.570","2.789","158.750","110.017"
"38","PC","Kyle Marcelli","87","2:08.252","6:04:13.320","Green","Track","5.836","6.316","26.247","15.900","28.283","28.513","0.536","12.298","1.521","2.802","158.158","113.562"
"100","GTLM","Kuno Wittmer","87","2:07.855","6:04:17.672","Green","Track","5.753","6.055","27.249","15.473","28.929","27.800","0.543","11.715","1.533","2.805","156.119","112.673"
"2","P","Luis Felipe Derani","88","2:00.461","6:04:23.220","Green","Track","5.549","6.044","24.348","14.979","25.851","27.548","0.518","11.538","1.450","2.636","163.654","119.122"
"16","GTD","Corey Lewis","85","2:17.406","6:04:23.977","Green","Track","6.123","6.996","27.595","16.907","31.509","30.593","0.558","12.557","1.630","2.938","151.922","105.968"
"51","GTD","Matteo Cressoni","85","2:17.442","6:04:25.776","Green","Track","6.140","7.003","27.634","16.973","30.605","31.252","0.561","12.714","1.621","2.939","151.110","106.556"
"22","GTD","Gunnar Jeannette","84","2:52.164","6:04:27.889","Green","Track","23.027","13.891","31.931","18.958","33.180","32.317","0.682","13.579","1.648","2.951","124.300","104.810"
"85","PC","Misha Goikhberg","83","2:16.050","6:04:31.200","Green","Track","6.076","6.901","27.519","16.821","30.509","30.579","0.545","12.704","1.580","2.816","155.546","109.321"
"9","GTD","Matt Bell","85","2:15.867","6:04:36.794","Green","Track","6.160","7.148","27.747","16.660","29.731","30.552","0.561","12.750","1.614","2.944","151.110","107.018"
"48","GTD","Madison Snow","85","2:16.541","6:04:39.071","Green","Track","6.141","7.156","27.689","16.672","29.954","30.814","0.558","12.955","1.636","2.966","151.922","105.579"
"73","GTD","Matthew McMurry","85","2:15.024","6:04:42.245","Green","Track","6.054","6.968","27.471","16.615","29.824","30.343","0.554","12.682","1.608","2.905","153.019","107.417"
