"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"4","GTLM","Oliver Gavin","10","1:18.862","18:37.892","Green","Track","0.640","7.145","7.138","10.845","8.117","10.117","11.834","15.869","1.701","5.456","128.906"
"20","PC","Johnny Mowlem","10","1:24.333","18:41.214","Green","Track","0.615","6.884","7.999","12.027","8.562","11.708","12.052","17.536","1.705","5.245","134.146"
"8","PC","Renger van der Zande","11","1:18.725","18:44.762","Green","Track","0.612","6.872","7.152","11.004","7.841","9.955","11.846","16.595","1.646","5.202","134.804"
"62","GTLM","Giancarlo Fisichella","10","1:20.107","18:47.622","Green","Track","0.642","7.181","7.393","11.353","7.952","10.171","12.016","16.198","1.717","5.484","128.505"
"100","GTLM","Lucas Luhr","11","1:20.977","18:55.669","Green","Track","0.640","7.119","7.548","11.363","8.280","10.352","12.134","16.334","1.736","5.471","128.906"
"38","PC","Kyle Marcelli","12","1:32.511","18:56.698","Green","Pit","0.601","6.773","7.384","11.511","8.042","9.988","11.737","16.924","4.157","15.394","137.271"
"5","P","Christian Fittipaldi","11","1:16.878","19:04.231","Green","Track","0.590","6.674","7.018","10.768","7.620","9.789","11.288","16.448","1.610","5.073","139.831"
"66","GTLM","Joey Hand","11","1:19.649","19:04.256","Green","Track","0.634","7.093","7.313","11.142","7.966","10.074","11.847","16.342","1.759","5.479","130.126"
"60","P","John Pew","11","1:18.294","19:08.206","Green","Track","0.596","6.719","7.063","11.306","7.873","9.923","11.639","16.337","1.678","5.160","138.423"
"31","P","Eric Curran","12","1:17.207","19:15.368","Green","Track","0.586","6.588","7.333","10.977","7.677","9.909","11.334","16.166","1.584","5.053","140.785"
"52","PC","Tom Kimber-Smith","11","1:19.567","19:17.464","Green","Track","0.610","6.820","7.846","11.263","7.929","10.096","11.678","16.458","1.658","5.209","135.246"
"0","P","Andy Meyrick","11","1:17.220","19:21.222","Green","Track","0.587","6.630","6.972","11.208","7.696","9.715","11.542","16.285","1.585","5.000","140.545"
"54","PC","Colin Braun","11","2:32.753","19:29.221","Green","Track","0.000","0.000","13.711","11.554","7.996","9.986","11.658","16.385","1.646","5.165","0.000"
"3","GTLM","Jan Magnussen","10","1:18.750","19:33.144","Green","Track","0.644","7.168","7.163","10.910","7.932","10.128","11.797","15.784","1.730","5.494","128.106"
"911","GTLM","Patrick Pilet","12","1:19.594","19:38.123","Green","Track","0.639","7.098","6.908","10.746","7.895","10.303","12.008","16.871","1.680","5.446","129.108"
"88","PC","Mark Kvamme","9","1:25.038","19:40.543","Green","Track","0.619","6.949","7.925","12.047","8.366","11.261","12.448","18.370","1.731","5.322","133.279"
"85","PC","Misha Goikhberg","12","1:19.619","19:50.554","Green","Track","0.611","6.912","7.326","11.196","7.825","10.100","11.750","16.934","1.710","5.255","135.025"
"68","GTLM","Daniel Serra","12","1:19.664","19:51.923","Green","Track","0.633","7.113","7.266","11.056","8.033","10.263","12.039","16.109","1.708","5.444","130.332"
"25","GTLM","Bill Auberlen","11","1:18.338","19:52.428","Green","Track","0.633","7.041","6.982","10.843","7.811","10.190","11.721","15.950","1.721","5.446","130.332"
"4","GTLM","Oliver Gavin","11","1:18.240","19:56.132","Green","Track","0.640","7.137","7.036","10.925","7.877","9.953","11.743","15.766","1.695","5.468","128.906"
"912","GTLM","Earl Bamber","11","2:49.822","19:59.294","Green","Track","0.000","0.000","13.386","11.588","8.209","10.008","11.890","16.027","1.724","5.482","0.000"
"20","PC","Johnny Mowlem","11","1:21.027","20:02.241","Green","Track","0.613","6.882","7.696","11.411","8.006","10.425","12.042","17.010","1.700","5.242","134.584"
"8","PC","Renger van der Zande","12","1:18.827","20:03.589","Green","Track","0.611","6.879","7.236","11.176","7.840","9.966","11.722","16.332","1.764","5.301","135.025"
"62","GTLM","Giancarlo Fisichella","11","1:18.762","20:06.384","Green","Track","0.641","7.168","7.049","10.951","7.953","10.158","11.868","15.775","1.717","5.482","128.705"
"100","GTLM","Lucas Luhr","12","1:19.244","20:14.913","Green","Track","0.638","7.073","7.217","11.002","7.993","10.083","11.992","16.037","1.737","5.472","129.310"
"5","P","Christian Fittipaldi","12","1:15.991","20:20.222","Green","Track","0.595","6.685","6.973","10.630","7.556","9.642","11.364","15.787","1.653","5.106","138.655"
"66","GTLM","Joey Hand","12","1:19.432","20:23.688","Green","Track","0.636","7.106","7.326","11.192","8.028","9.993","11.894","16.135","1.703","5.419","129.717"
"60","P","John Pew","12","1:18.347","20:26.553","Green","Track","0.598","6.729","7.087","11.355","7.988","9.829","11.661","16.325","1.630","5.145","137.960"
"10","P","Ricky Taylor","11","3:13.337","20:30.652","Green","Track","0.000","0.000","13.793","11.600","7.828","9.922","11.302","16.223","1.584","5.044","0.000"
"31","P","Eric Curran","13","1:16.362","20:31.730","Green","Track","0.592","6.651","7.076","10.813","7.660","9.754","11.278","15.876","1.616","5.046","139.358"
"52","PC","Tom Kimber-Smith","12","1:18.125","20:35.589","Green","Track","0.609","6.831","7.093","10.972","7.848","9.962","11.728","16.208","1.663","5.211","135.468"
"0","P","Andy Meyrick","12","1:17.164","20:38.386","Green","Track","0.585","6.645","7.040","11.028","7.655","9.840","11.505","16.283","1.579","5.004","141.026"
"90","P","Marc Goossens","10","2:28.285","20:46.128","Green","Track","0.000","0.000","15.765","12.969","8.563","11.067","11.946","17.101","1.712","5.169","0.000"
"54","PC","Colin Braun","12","1:17.233","20:46.454","Green","Track","0.603","6.771","6.971","10.861","7.770","9.953","11.466","16.057","1.624","5.157","136.816"
"3","GTLM","Jan Magnussen","11","1:18.803","20:51.947","Green","Track","0.645","7.151","7.139","10.865","7.876","10.097","11.892","15.932","1.725","5.481","127.907"
"911","GTLM","Patrick Pilet","13","1:20.755","20:58.878","Green","Track","0.639","7.110","7.935","11.189","8.153","10.215","12.067","16.342","1.673","5.432","129.108"
"88","PC","Mark Kvamme","10","1:24.153","21:04.696","Green","Track","0.619","6.931","8.198","12.167","8.340","10.649","12.265","17.921","1.755","5.308","133.279"
