"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"70","P","Tom Long","9","1:10.643","1:26:50.923","Green","Track","2.733","18.050","22.073","10.825","0.416","6.654","3.822","6.070","164.172"
"5","P","Christian Fittipaldi","10","1:13.289","1:27:15.490","Green","Track","2.753","17.977","22.336","10.906","0.414","7.895","4.465","6.543","164.965"
"31","P","Eric Curran","10","1:11.177","1:27:19.529","Green","Track","2.755","18.008","22.353","10.878","0.410","6.920","3.832","6.021","166.574"
"90","P","Marc Goossens","10","1:11.420","1:27:24.145","Green","Track","2.740","18.118","22.309","10.838","0.411","6.895","3.926","6.183","166.169"
"60","P","John Pew","10","1:11.760","1:27:40.518","Green","Track","2.779","18.180","22.370","10.839","0.417","7.050","3.995","6.130","163.778"
"70","P","Tom Long","10","1:10.572","1:28:01.495","Green","Track","2.723","18.073","22.000","10.812","0.416","6.636","3.855","6.057","164.172"
"5","P","Christian Fittipaldi","11","1:13.761","1:28:29.251","Green","Track","3.038","20.292","22.400","10.880","0.416","6.749","3.896","6.090","164.172"
"31","P","Eric Curran","11","1:11.320","1:28:30.849","Green","Track","2.741","17.985","22.407","10.849","0.413","6.939","3.892","6.094","165.364"
"90","P","Marc Goossens","11","1:11.296","1:28:35.441","Green","Track","2.726","18.102","22.314","10.875","0.411","6.835","3.813","6.220","166.169"
"60","P","John Pew","11","1:12.021","1:28:52.539","Green","Track","2.738","18.141","22.741","10.897","0.415","6.868","4.009","6.212","164.567"
"31","P","Eric Curran","12","1:11.777","1:29:42.626","Green","Track","2.777","18.212","22.328","10.866","0.412","7.010","4.039","6.133","165.766"
"5","P","Christian Fittipaldi","12","1:23.844","1:29:53.095","Green","Pit","2.766","17.847","22.265","10.917","0.417","7.858","8.321","13.453","163.778"
"90","P","Marc Goossens","12","1:21.820","1:29:57.261","Green","Pit","2.733","18.239","22.343","10.881","0.411","6.919","6.421","13.873","166.169"
"60","P","John Pew","12","1:12.528","1:30:05.067","Finish","Track","2.771","18.437","22.556","10.837","0.415","7.119","4.251","6.142","164.567"
"31","P","Eric Curran","13","1:11.202","1:30:53.828","Finish","Track","2.754","17.965","22.267","10.837","0.413","7.034","3.894","6.038","165.364"
"0","P","Katherine Legge","7","8:35.596","1:32:08.966","Finish","Pit","2.824","19.297","23.288","10.780","0.422","8.963","8.357","441.665","161.838"
