"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"67","GTLM","Ryan Briscoe","121","53.317","2:00:05.611","Green","Track","0.460","0.822","10.166","10.855","13.878","5.348","9.087","2.701","150.815"
"66","GTLM","Dirk Mueller","121","53.307","2:00:06.289","Green","Track","0.462","0.822","10.000","10.967","14.011","5.354","8.990","2.701","150.162"
"3","GTLM","Antonio Garcia","121","53.435","2:00:06.647","Green","Track","0.453","0.809","10.147","10.941","13.956","5.408","9.032","2.689","153.146"
"73","GTD","Jorg Bergmeister","117","56.013","2:00:07.962","Green","Track","0.471","0.839","10.288","11.468","14.640","5.954","9.566","2.787","147.293"
"97","GTD","Markus Palttala","117","56.046","2:00:08.278","Green","Track","0.467","0.836","10.526","11.511","14.824","5.631","9.483","2.768","148.555"
"85","PC","Misha Goikhberg","86","52.481","2:00:09.151","Green","Track","0.446","0.796","9.705","10.706","14.238","5.343","8.648","2.599","155.549"
"8","PC","Renger van der Zande","122","52.028","2:00:10.949","Green","Track","0.437","0.787","9.640","10.535","13.594","5.312","9.068","2.655","158.753"
"22","GTD","Leh Keen","117","55.557","2:00:10.950","Green","Track","0.472","0.842","10.354","10.988","14.849","5.671","9.581","2.800","146.981"
"911","GTLM","Nick Tandy","113","53.250","2:00:11.075","Green","Track","0.467","0.832","10.083","10.618","13.732","5.354","9.389","2.775","148.555"
"96","GTD","Jens Klingmann","117","54.634","2:00:12.207","Green","Track","0.468","0.833","10.107","11.120","14.524","5.484","9.334","2.764","148.237"
"52","PC","Tom Kimber-Smith","122","53.345","2:00:14.836","Green","Track","0.439","0.785","9.602","10.233","14.706","5.796","9.119","2.665","158.030"
"63","GTD","Alessandro Balzan","116","54.824","2:00:15.453","Green","Track","0.473","0.843","10.127","11.180","13.870","5.830","9.701","2.800","146.670"
"27","GTD","Cedric Sbirrazzuoli","115","55.429","2:00:26.488","Green","Track","0.472","0.839","10.422","10.988","14.429","5.781","9.702","2.796","146.981"
"88","PC","Remo Ruscitti","120","53.580","2:00:32.458","Green","Track","0.450","0.802","10.187","10.975","13.800","5.438","9.248","2.680","154.167"
"20","PC","Johnny Mowlem","122","50.658","2:00:50.523","Green","Track","0.452","0.805","9.641","10.230","13.224","5.080","8.603","2.623","153.485"
"38","PC","Kyle Marcelli","122","51.176","2:00:52.802","Green","Track","0.457","0.813","9.999","10.283","13.102","5.056","8.809","2.657","151.805"
"540","GTD","Andy Pilgrim","117","56.098","2:00:56.908","Green","Track","0.479","0.851","10.555","11.494","14.488","5.661","9.731","2.839","144.833"
