"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"912","GTLM","Earl Bamber","23","1:20.938","31:16.283","Green","Track","0.644","7.134","7.359","11.069","8.018","10.339","12.327","16.812","1.730","5.506","128.106"
"911","GTLM","Patrick Pilet","23","1:19.869","31:16.712","Green","Track","0.639","7.105","7.117","11.042","8.078","10.425","12.019","16.251","1.711","5.482","129.108"
"20","PC","Tomy Drissi","23","1:23.099","31:17.148","Green","Track","0.610","6.890","7.422","11.698","8.223","10.889","12.122","18.190","1.753","5.302","135.246"
"54","PC","Jonathan Bennett","23","1:22.334","31:17.938","Green","Track","0.605","7.077","7.745","11.373","8.208","10.956","12.152","17.227","1.731","5.260","136.364"
"25","GTLM","Bill Auberlen","23","1:19.073","31:19.099","Green","Track","0.641","7.104","7.037","10.955","7.963","10.185","11.888","15.951","1.800","5.549","128.705"
"90","P","Marc Goossens","24","1:19.224","31:23.984","Green","Track","0.601","6.691","7.145","11.133","7.768","10.635","11.629","16.771","1.706","5.145","137.271"
"60","P","John Pew","24","1:17.913","31:25.307","Green","Track","0.594","6.789","7.071","10.964","7.828","10.062","11.534","16.326","1.641","5.104","138.889"
"3","GTLM","Jan Magnussen","23","1:21.119","31:28.487","Green","Track","0.641","7.160","7.428","11.161","7.993","10.385","12.017","17.147","1.720","5.467","128.705"
"66","GTLM","Dirk Muller","20","1:19.310","31:30.519","Green","Track","0.635","7.049","7.256","10.895","7.971","10.155","11.911","16.260","1.728","5.450","129.921"
"62","GTLM","Giancarlo Fisichella","23","1:19.861","31:39.330","Green","Track","0.645","7.236","7.134","10.980","7.944","10.141","12.143","16.392","1.730","5.516","127.907"
"60","P","John Pew","25","1:18.435","22:19.047","Green","Track","0.592","6.685","7.093","0.000","0.000","0.000","0.000","0.000","0.000","0.000","139.358"
"68","GTLM","Daniel Serra","22","1:20.192","31:45.530","Green","Track","0.642","7.155","7.270","11.147","7.987","10.287","12.122","16.341","1.736","5.505","128.505"
"67","GTLM","Richard Westbrook","23","1:20.124","31:46.407","Green","Track","0.635","7.052","7.356","11.190","8.014","10.375","11.933","16.410","1.718","5.441","129.921"
"85","PC","Misha Goikhberg","24","1:18.514","31:49.274","Green","Track","0.609","6.884","7.384","11.203","7.717","10.031","11.513","16.319","1.657","5.197","135.468"
"100","GTLM","Lucas Luhr","22","1:19.769","31:51.484","Green","Track","0.640","7.123","7.128","11.079","8.130","10.287","12.054","15.966","1.767","5.595","128.906"
"8","PC","Alex Popow","24","1:18.513","31:52.693","Green","Track","0.612","6.889","7.029","10.994","7.846","10.208","11.752","16.200","1.724","5.259","134.804"
"38","PC","James French","24","1:18.647","31:54.333","Green","Track","0.606","6.827","7.198","11.063","7.799","10.307","11.623","16.410","1.636","5.178","136.139"
"88","PC","Mark Kvamme","23","1:21.245","32:05.821","Green","Track","0.628","7.022","7.509","11.310","8.102","10.438","12.109","17.023","1.742","5.362","131.369"
"52","PC","Robert Alon","24","1:18.905","32:07.776","Green","Track","0.610","6.826","7.290","11.046","7.985","10.093","11.768","16.300","1.698","5.289","135.246"
"10","P","Ricky Taylor","25","1:16.598","32:09.247","Green","Track","0.595","6.704","6.883","10.770","7.692","9.846","11.502","15.938","1.600","5.068","138.655"
"5","P","Christian Fittipaldi","25","1:16.769","32:13.621","Green","Track","0.595","6.685","6.952","10.846","7.668","9.956","11.491","15.843","1.637","5.096","138.655"
"31","P","Eric Curran","25","1:17.219","32:25.688","Green","Track","0.595","6.690","7.088","10.847","7.737","9.908","11.453","16.216","1.613","5.072","138.655"
"70","P","Tom Long","25","1:17.452","32:26.732","Green","Track","0.588","6.646","7.215","11.067","7.821","9.774","11.597","16.028","1.673","5.043","140.306"
"4","GTLM","Oliver Gavin","23","2:13.477","32:29.014","Green","Track","0.000","0.000","14.032","12.417","8.618","10.852","13.061","17.265","1.731","5.536","0.000"
"55","P","Tristan Nunez","25","1:16.308","32:29.043","Green","Track","0.589","6.681","7.131","10.847","7.584","9.706","11.176","15.915","1.651","5.028","140.068"
"912","GTLM","Earl Bamber","24","1:18.650","32:34.933","Green","Track","0.643","7.144","7.028","10.896","7.876","10.035","11.966","15.875","1.708","5.479","128.305"
"911","GTLM","Patrick Pilet","24","1:18.891","32:35.603","Green","Track","0.641","7.136","7.111","10.996","7.859","10.116","11.961","15.888","1.704","5.479","128.705"
"20","PC","Tomy Drissi","24","1:21.758","32:38.906","Green","Track","0.611","6.886","7.834","11.853","8.250","10.425","11.972","16.909","1.737","5.281","135.025"
