"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"55","P","Tristan Nunez","26","1:49.968","56:29.029","Green","Pit","3.053","8.114","11.227","3.580","0.464","12.529","19.556","29.568","6.105","15.772","177.067"
"62","GTLM","Giancarlo Fisichella","25","1:46.793","56:31.582","Green","Track","3.247","8.716","12.240","3.810","0.490","13.750","21.075","34.505","5.626","3.334","167.672"
"3","GTLM","Antonio Garcia","25","1:42.745","56:33.175","Green","Track","3.269","8.456","12.202","3.834","0.494","13.557","20.926","31.084","5.583","3.340","166.314"
"25","GTLM","Dirk Werner","23","1:43.366","56:36.140","Green","Track","3.205","8.587","11.944","3.789","0.489","14.047","21.364","30.973","5.658","3.310","168.015"
"8","PC","Alex Popow","25","1:41.676","56:37.108","Green","Track","3.141","8.191","11.725","3.714","0.486","14.116","20.759","30.959","5.386","3.199","169.052"
"52","PC","Robert Alon","27","1:40.457","56:37.677","Green","Track","3.124","8.264","11.708","3.741","0.483","13.194","20.633","30.903","5.254","3.153","170.102"
"10","P","Jordan Taylor","24","1:37.573","56:41.399","Green","Track","3.051","8.474","11.756","3.672","0.471","12.546","19.894","29.391","5.199","3.119","174.435"
"54","PC","Mark Wilkins","23","1:39.866","56:43.508","Green","Track","3.109","8.463","11.929","3.805","0.493","13.078","20.562","29.913","5.326","3.188","166.651"
"2","P","Luis Felipe Derani","24","1:39.932","56:45.122","Green","Track","3.058","8.111","11.306","3.603","0.504","15.283","19.783","29.648","5.467","3.169","163.014"
"66","GTLM","Joey Hand","21","5:03.135","56:46.357","Green","Track","186.692","10.298","15.613","4.600","0.695","17.028","23.125","35.405","6.254","3.425","118.215"
"22","GTD","Cooper MacNeil","24","1:49.080","56:48.504","Green","Track","3.329","9.060","12.475","3.881","0.499","14.707","22.856","32.830","6.002","3.441","164.647"
"67","GTLM","Richard Westbrook","19","1:46.186","56:49.359","Green","Track","3.236","8.561","12.049","3.823","0.552","16.425","21.266","31.178","5.721","3.375","148.839"
"911","GTLM","Nick Tandy","24","1:42.917","56:50.181","Green","Track","3.237","8.463","12.092","3.797","0.490","13.474","21.017","31.257","5.705","3.385","167.672"
"88","PC","Mark Kvamme","26","1:46.807","56:55.523","Green","Track","3.213","8.686","12.700","3.855","0.494","14.695","22.049","31.830","5.949","3.336","166.314"
"38","PC","James French","26","3:32.372","57:00.246","Green","Pit","3.218","8.515","11.796","3.749","0.486","12.933","22.016","31.680","7.403","110.576","169.052"
