"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"912","GTLM","Earl Bamber","1","25:30.292","25:30.292","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.919","0.000"
"25","GTLM","Bill Auberlen","1","25:47.655","25:47.655","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.909","0.000"
"100","GTLM","John Edwards","1","25:50.073","25:50.073","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.911","0.000"
"911","GTLM","Patrick Pilet","1","26:09.451","26:09.451","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.830","0.000"
"67","GTLM","Richard Westbrook","1","26:37.643","26:37.643","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","998.242","0.884","0.000"
"4","GTLM","Tommy Milner","2","1:56.507","27:02.929","Green","Track","28.213","17.430","13.715","16.006","11.308","0.518","23.639","5.455","0.223","157.950"
"3","GTLM","Jan Magnussen","2","1:57.547","27:05.174","Green","Track","29.466","17.324","13.722","15.990","11.225","0.512","23.652","5.432","0.224","159.801"
"62","GTLM","Giancarlo Fisichella","2","1:56.062","27:11.992","Green","Track","27.649","16.911","13.455","15.767","12.110","0.674","23.791","5.481","0.224","121.392"
"66","GTLM","Joey Hand","2","1:54.192","27:22.141","Green","Track","26.685","16.895","14.041","16.005","11.228","0.514","23.176","5.425","0.223","159.179"
"912","GTLM","Frederic Makowiecki","2","1:58.866","27:29.158","Green","Track","28.776","18.019","14.085","16.319","11.299","0.514","24.114","5.515","0.225","159.179"
"100","GTLM","John Edwards","2","1:52.151","27:42.224","Green","Track","26.403","17.025","13.185","15.499","11.220","0.515","22.633","5.447","0.224","158.870"
"25","GTLM","Dirk Werner","2","2:02.678","27:50.333","Green","Track","29.265","22.189","14.407","15.939","11.246","0.514","23.362","5.531","0.225","159.179"
"911","GTLM","Nick Tandy","2","1:57.028","28:06.479","Green","Track","27.057","17.540","13.637","16.196","11.329","0.517","24.927","5.597","0.228","158.256"
"67","GTLM","Richard Westbrook","2","1:54.074","28:31.717","Green","Track","27.600","16.915","13.359","15.529","11.214","0.513","23.195","5.524","0.225","159.490"
"4","GTLM","Tommy Milner","3","1:45.856","28:48.785","Green","Track","21.988","16.033","12.658","15.511","11.272","0.514","22.268","5.391","0.221","159.179"
"3","GTLM","Jan Magnussen","3","1:45.750","28:50.924","Green","Track","21.880","16.053","12.760","15.293","11.062","0.506","22.598","5.376","0.222","161.696"
"62","GTLM","Giancarlo Fisichella","3","1:43.979","28:55.971","Green","Track","21.690","15.506","12.438","14.960","11.188","0.513","22.069","5.394","0.221","159.490"
"66","GTLM","Joey Hand","3","1:45.429","29:07.570","Green","Track","21.563","15.847","13.021","15.501","11.191","0.512","22.171","5.401","0.222","159.801"
"912","GTLM","Frederic Makowiecki","3","1:46.021","29:15.179","Green","Track","22.276","16.461","12.900","15.137","11.158","0.511","21.969","5.388","0.221","160.114"
"100","GTLM","John Edwards","3","1:43.469","29:25.693","Green","Track","21.222","15.598","12.474","14.927","11.113","0.511","22.006","5.396","0.222","160.114"
"25","GTLM","Dirk Werner","3","1:45.349","29:35.682","Green","Track","21.900","16.157","12.725","15.152","11.149","0.511","22.173","5.361","0.221","160.114"
"911","GTLM","Nick Tandy","3","1:47.225","29:53.704","Green","Track","22.483","16.652","12.722","15.299","11.265","0.514","22.665","5.403","0.222","159.179"
"67","GTLM","Richard Westbrook","3","1:44.203","30:15.920","Green","Track","21.229","15.649","12.592","15.230","11.185","0.511","22.147","5.438","0.222","160.114"
"4","GTLM","Tommy Milner","4","1:42.670","30:31.455","Green","Track","21.214","15.353","12.268","14.870","11.093","0.507","21.796","5.350","0.219","161.377"
"3","GTLM","Jan Magnussen","4","1:43.069","30:33.993","Green","Track","21.411","15.454","12.292","14.885","11.006","0.502","21.957","5.344","0.218","162.984"
"62","GTLM","Giancarlo Fisichella","4","1:42.708","30:38.679","Green","Track","20.958","15.255","12.294","14.923","11.125","0.510","22.060","5.364","0.219","160.428"
"66","GTLM","Joey Hand","4","1:43.034","30:50.604","Green","Track","21.070","15.413","12.390","14.851","11.157","0.511","22.016","5.406","0.220","160.114"
"912","GTLM","Frederic Makowiecki","4","1:44.566","30:59.745","Green","Track","21.103","15.422","12.419","16.383","11.156","0.510","21.973","5.379","0.221","160.428"
"100","GTLM","John Edwards","4","1:42.553","31:08.246","Green","Track","20.935","15.328","12.368","14.891","11.129","0.511","21.821","5.350","0.220","160.114"
"25","GTLM","Dirk Werner","4","1:42.869","31:18.551","Green","Track","21.053","15.462","12.419","15.012","11.066","0.508","21.802","5.328","0.219","161.059"
"911","GTLM","Nick Tandy","4","1:43.706","31:37.410","Green","Track","21.015","15.533","12.440","15.123","11.135","0.509","22.318","5.411","0.222","160.743"
"67","GTLM","Richard Westbrook","4","1:43.256","31:59.176","Green","Track","20.916","15.324","12.349","15.015","11.129","0.510","22.399","5.392","0.222","160.428"
"4","GTLM","Tommy Milner","5","1:42.055","32:13.510","Green","Track","21.083","15.263","12.163","14.746","11.003","0.503","21.744","5.331","0.219","162.660"
"3","GTLM","Jan Magnussen","5","1:42.308","32:16.301","Green","Track","21.043","15.276","12.162","14.873","10.930","0.499","21.976","5.331","0.218","163.964"
"62","GTLM","Giancarlo Fisichella","5","1:43.321","32:22.000","Green","Track","21.392","15.217","12.228","15.196","11.108","0.509","22.075","5.376","0.220","160.743"
"66","GTLM","Joey Hand","5","1:42.268","32:32.872","Green","Track","20.908","15.207","12.299","14.926","11.102","0.508","21.728","5.369","0.221","161.059"
"912","GTLM","Frederic Makowiecki","5","1:44.864","32:44.609","Green","Track","21.477","16.258","12.944","15.154","11.070","0.508","21.852","5.380","0.221","161.059"
"100","GTLM","John Edwards","5","1:42.227","32:50.473","Green","Track","20.905","15.316","12.273","14.826","11.051","0.507","21.763","5.365","0.221","161.377"
"25","GTLM","Dirk Werner","5","1:42.386","33:00.937","Green","Track","21.066","15.353","12.250","14.851","10.963","0.504","21.799","5.379","0.221","162.338"
"911","GTLM","Nick Tandy","5","1:43.737","33:21.147","Green","Track","21.616","15.559","12.349","15.036","11.052","0.506","22.016","5.381","0.222","161.696"
"67","GTLM","Richard Westbrook","5","1:42.314","33:41.490","Green","Track","20.819","15.225","12.319","14.939","11.063","0.508","21.840","5.381","0.220","161.059"
"4","GTLM","Tommy Milner","6","1:41.568","33:55.078","Green","Track","20.869","15.174","12.111","14.734","10.959","0.502","21.682","5.319","0.218","162.984"
"3","GTLM","Jan Magnussen","6","1:41.971","33:58.272","Green","Track","21.040","15.223","12.112","14.897","10.914","0.498","21.759","5.310","0.218","164.294"
"62","GTLM","Giancarlo Fisichella","6","1:42.447","34:04.447","Green","Track","21.003","15.135","12.229","14.834","11.027","0.505","22.115","5.379","0.220","162.016"
"66","GTLM","Joey Hand","6","1:42.122","34:14.994","Green","Track","20.982","15.132","12.236","14.769","11.066","0.507","21.851","5.359","0.220","161.377"
