"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"5","P","Joao Barbosa","2","2:15.707","1:22:19.799","Green","Track","15.960","32.078","27.356","8.813","6.675","6.868","14.870","0.000","0.000","5.247","0.481","3.098","170.100"
"10","P","Ricky Taylor","2","2:12.285","1:22:20.264","Green","Track","15.158","30.525","27.187","8.499","6.395","6.867","14.847","7.818","6.316","5.181","0.469","3.023","174.452"
"90","P","Ryan Dalziel","2","2:18.926","1:22:32.010","Green","Track","16.409","34.180","28.501","8.390","6.394","7.041","15.187","7.679","6.313","5.266","0.480","3.086","170.455"
"31","P","Dane Cameron","2","2:17.898","1:22:32.323","Green","Track","15.899","33.985","28.506","8.238","6.244","7.109","15.493","7.542","6.177","5.128","0.468","3.109","174.825"
"50","P","Dorsey Schroeder","2","2:19.747","1:22:39.900","Green","Track","15.608","33.086","27.696","8.340","6.333","6.577","18.796","7.804","6.520","5.363","0.478","3.146","171.168"
"01","P","Alex Wurz","2","2:33.167","1:22:49.331","Green","Track","16.259","39.689","32.318","8.443","8.226","9.694","15.556","7.959","6.255","5.154","0.483","3.131","169.396"
"70","P","Tom Long","2","2:22.043","1:23:00.309","Green","Track","16.092","36.269","30.263","8.625","6.213","6.685","15.626","7.746","6.111","5.042","0.457","2.914","179.033"
"55","P","Tristan Nunez","2","2:22.493","1:23:16.807","Green","Track","15.954","36.381","31.016","8.621","6.120","6.911","15.407","7.675","6.069","4.997","0.452","2.890","181.014"
"37","P","Mikhail Aleshin","3","2:08.839","1:23:57.835","Green","Track","15.053","30.317","26.799","8.071","6.144","6.202","14.096","7.392","6.142","5.144","0.471","3.008","173.712"
"60","P","Oswaldo Negri","3","2:07.600","1:24:05.431","Green","Track","14.235","30.279","26.268","7.909","6.050","6.012","14.874","7.549","6.063","5.005","0.456","2.900","179.426"
"2","P","Luis Felipe Derani","3","2:21.601","1:24:15.153","Green","Track","13.899","39.016","29.731","8.456","6.235","7.317","15.018","7.402","6.089","5.058","0.456","2.924","179.426"
"02","P","Scott Dixon","3","2:13.863","1:24:26.308","Green","Track","14.450","32.110","27.908","8.220","6.282","6.069","16.412","7.630","6.271","5.098","0.462","2.951","177.096"
"10","P","Ricky Taylor","3","2:11.788","1:24:32.052","Green","Track","15.873","30.122","26.842","8.732","6.540","6.282","14.801","7.715","6.280","5.156","0.466","2.979","175.575"
"5","P","Joao Barbosa","3","2:21.119","1:24:40.918","Green","Track","23.532","31.982","27.042","8.225","6.317","6.585","14.692","7.756","6.277","5.181","0.474","3.056","172.612"
"31","P","Dane Cameron","3","2:10.016","1:24:42.339","Green","Track","14.577","30.631","27.108","7.880","6.156","6.982","14.554","7.440","6.154","5.111","0.461","2.962","177.480"
"90","P","Ryan Dalziel","3","2:13.646","1:24:45.656","Green","Track","15.759","31.901","27.336","8.255","6.285","6.983","14.384","7.688","0.000","0.000","0.483","3.069","169.396"
"50","P","Dorsey Schroeder","3","2:13.924","1:24:53.824","Green","Track","15.157","31.919","27.156","8.714","6.478","6.811","14.441","7.941","6.461","5.268","0.474","3.104","172.612"
"01","P","Alex Wurz","3","2:12.909","1:25:02.240","Green","Track","15.665","31.412","27.504","8.592","6.257","6.506","14.570","7.686","6.188","5.115","0.464","2.950","176.332"
"70","P","Tom Long","3","2:15.415","1:25:15.724","Green","Track","15.350","33.539","28.693","8.198","6.074","6.507","15.109","7.538","6.060","5.005","0.454","2.888","180.216"
"55","P","Tristan Nunez","3","2:16.429","1:25:33.236","Green","Track","15.289","33.738","29.372","8.605","6.107","6.552","14.728","7.577","6.088","5.021","0.454","2.898","180.216"
"37","P","Mikhail Aleshin","4","2:06.517","1:26:04.352","Green","Track","14.655","29.267","26.535","7.971","6.130","6.334","13.681","7.315","6.083","5.109","0.466","2.971","175.575"
"60","P","Oswaldo Negri","4","2:07.432","1:26:12.863","Green","Track","14.267","30.102","26.350","7.987","6.081","5.920","14.778","7.519","6.055","5.014","0.457","2.902","179.033"
"2","P","Luis Felipe Derani","4","2:06.304","1:26:21.457","Green","Track","13.962","29.911","26.415","7.972","6.148","6.146","13.905","7.321","6.077","5.063","0.460","2.924","177.866"
"02","P","Scott Dixon","4","2:10.244","1:26:36.552","Green","Track","13.977","30.787","27.749","8.193","6.277","6.265","14.560","7.649","6.272","5.096","0.463","2.956","176.713"
