"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"66","GTLM","Joey Hand","11","1:18.135","15:28.770","Green","Track","0.634","7.098","7.142","10.840","7.832","9.931","11.734","15.816","1.696","5.412","130.126"
"911","GTLM","Patrick Pilet","11","1:29.656","15:29.707","Green","Pit","0.642","7.150","6.829","10.648","7.806","9.978","11.759","15.626","3.986","15.232","128.505"
"912","GTLM","Earl Bamber","11","1:17.390","16:15.525","Green","Track","0.640","7.119","6.733","10.646","7.743","9.814","11.794","15.710","1.716","5.475","128.906"
"66","GTLM","Joey Hand","12","1:36.141","17:04.911","Green","Pit","0.634","7.202","9.046","12.078","8.219","10.561","12.344","17.400","3.492","15.165","130.126"
"912","GTLM","Earl Bamber","12","2:10.452","18:25.977","Green","Pit","0.640","7.880","8.848","17.926","12.145","14.828","18.259","28.982","5.680","15.264","128.906"
"85","PC","Misha Goikhberg","1","21:44.687","21:44.687","Green","Track","0.000","0.000","15.877","14.591","8.949","12.133","12.759","19.587","1.739","5.289","0.000"
"52","PC","Robert Alon","1","21:53.894","21:53.894","Green","Track","0.000","0.000","19.116","14.647","9.592","12.801","14.102","20.775","1.984","5.520","0.000"
"20","PC","Tomy Drissi","1","22:11.447","22:11.447","Green","Track","0.000","0.000","15.325","14.547","9.782","11.716","13.166","19.238","1.795","5.305","0.000"
"8","PC","Alex Popow","1","22:14.652","22:14.652","Green","Track","0.000","0.000","15.668","14.948","10.755","12.805","13.504","20.307","1.795","5.379","0.000"
"38","PC","James French","1","22:52.136","22:52.136","Green","Track","0.000","0.000","15.717","14.007","8.894","11.592","12.823","18.836","1.695","5.232","0.000"
"54","PC","Jonathan Bennett","1","22:52.715","22:52.715","Green","Track","0.000","0.000","14.496","13.390","8.644","11.458","12.520","18.990","1.745","5.324","0.000"
"88","PC","Mark Kvamme","1","23:03.777","23:03.777","Green","Track","0.000","0.000","16.085","14.742","9.336","13.084","13.667","19.734","2.041","5.884","0.000"
"85","PC","Misha Goikhberg","2","1:25.349","23:10.036","Green","Track","0.615","6.970","8.173","12.792","8.283","11.176","12.253","18.028","1.719","5.340","134.146"
"52","PC","Robert Alon","2","1:28.143","23:22.037","Green","Track","0.623","6.987","8.092","13.003","8.838","11.452","12.831","19.203","1.794","5.320","132.424"
"20","PC","Tomy Drissi","2","1:25.356","23:36.803","Green","Track","0.613","7.065","8.654","12.539","8.424","11.055","12.345","17.754","1.688","5.219","134.584"
"8","PC","Alex Popow","2","1:26.043","23:40.695","Green","Track","0.623","7.013","8.330","12.577","8.558","11.428","12.627","17.908","1.704","5.275","132.424"
"38","PC","James French","2","1:21.972","24:14.108","Green","Track","0.607","6.866","7.769","12.007","8.073","10.789","11.932","17.171","1.607","5.151","135.914"
"54","PC","Jonathan Bennett","2","1:22.384","24:15.099","Green","Track","0.610","6.851","7.987","11.650","8.080","10.848","12.041","17.239","1.746","5.332","135.246"
"85","PC","Misha Goikhberg","3","1:21.730","24:31.766","Green","Track","0.622","6.936","7.837","11.917","7.959","10.615","11.996","16.859","1.698","5.291","132.637"
"88","PC","Mark Kvamme","2","1:28.287","24:32.064","Green","Track","0.689","7.791","8.254","13.028","8.763","10.913","12.683","18.249","1.931","5.986","119.739"
"52","PC","Robert Alon","3","1:21.397","24:43.434","Green","Track","0.614","6.876","7.466","11.768","8.185","10.646","11.881","17.009","1.696","5.256","134.365"
"20","PC","Tomy Drissi","3","1:22.809","24:59.612","Green","Track","0.609","6.858","8.172","12.040","8.219","10.536","12.108","17.313","1.705","5.249","135.468"
"8","PC","Alex Popow","3","1:21.187","25:01.882","Green","Track","0.616","6.951","7.496","11.564","8.077","10.324","12.133","17.121","1.672","5.233","133.929"
"38","PC","James French","3","1:19.018","25:33.126","Green","Track","0.606","6.839","7.110","11.227","7.730","10.314","11.554","16.833","1.641","5.164","136.139"
"54","PC","Jonathan Bennett","3","1:20.805","25:35.904","Green","Track","0.618","6.886","7.419","11.597","7.901","10.302","11.851","17.196","1.735","5.300","133.495"
"85","PC","Misha Goikhberg","4","1:19.787","25:51.553","Green","Track","0.617","6.949","7.395","11.350","7.846","10.384","11.687","16.674","1.667","5.218","133.712"
"88","PC","Mark Kvamme","3","1:26.327","25:58.391","Green","Track","0.685","7.307","7.939","12.241","8.270","12.290","12.674","17.836","1.772","5.313","120.438"
"52","PC","Robert Alon","4","1:19.012","26:02.446","Green","Track","0.612","6.858","7.225","11.184","8.011","10.140","11.727","16.428","1.641","5.186","134.804"
