"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"62","GTLM","Toni Vilander","16","54.104","15:41.984","Green","Track","0.478","0.852","9.764","10.441","15.557","5.347","8.956","2.709","145.136"
"6","GTD","Robin Liddell","15","54.418","15:43.505","Green","Track","0.504","0.892","10.187","10.752","14.058","5.565","9.620","2.840","137.649"
"4","GTLM","Oliver Gavin","16","52.657","15:44.052","Green","Track","0.459","0.819","10.450","10.436","13.482","5.296","9.006","2.709","151.144"
"3","GTLM","Antonio Garcia","15","52.979","15:48.905","Green","Track","0.462","0.822","9.883","10.706","14.013","5.329","9.036","2.728","150.162"
"7","PC","Jose Gutierrez","11","1:00.577","15:49.045","Green","Track","0.000","0.000","12.996","10.334","14.030","5.160","8.884","2.621","0.000"
"52","PC","Tom Kimber-Smith","16","49.823","15:51.276","Green","Track","0.440","0.787","9.253","9.842","12.972","5.076","8.809","2.644","157.670"
"16","GTD","Corey Lewis","14","55.514","15:52.369","Green","Track","0.467","0.832","10.721","11.012","14.109","5.699","9.877","2.797","148.555"
"27","GTD","Lawrence DeGeorge","13","1:07.619","15:57.029","Green","Track","0.570","1.030","12.222","12.021","20.558","7.019","11.211","2.988","121.711"
"22","GTD","Leh Keen","16","53.473","15:57.903","Green","Track","0.475","0.845","9.994","10.640","13.752","5.428","9.518","2.821","146.053"
"912","GTLM","Earl Bamber","16","52.504","15:58.972","Green","Track","0.461","0.823","9.581","10.351","13.932","5.537","9.087","2.732","150.488"
"97","GTD","Markus Palttala","17","54.441","15:59.746","Green","Track","0.466","0.832","10.041","10.810","13.946","6.144","9.441","2.761","148.873"
"100","GTLM","Lucas Luhr","14","52.056","16:01.763","Green","Track","0.469","0.838","9.616","10.319","13.563","5.310","9.173","2.768","147.921"
"911","GTLM","Nick Tandy","14","52.055","16:02.810","Green","Track","0.467","0.834","9.720","10.360","13.461","5.318","9.135","2.760","148.555"
"25","GTLM","Bill Auberlen","13","51.435","16:03.510","Green","Track","0.458","0.818","9.505","10.167","13.608","5.269","8.909","2.701","151.474"
"85","PC","Stephen Simpson","13","52.043","16:12.163","Green","Track","0.450","0.805","9.857","10.466","13.337","5.493","8.972","2.663","154.167"
"38","PC","Kyle Marcelli","16","50.118","16:13.489","Green","Track","0.448","0.800","9.425","10.082","13.183","5.059","8.512","2.609","154.855"
"48","GTD","Bryan Sellers","12","1:04.186","16:15.183","Green","Track","0.000","0.000","12.226","10.676","14.278","7.683","10.099","2.793","0.000"
"66","GTLM","Dirk Mueller","15","51.674","16:18.480","Green","Track","0.463","0.826","9.764","10.342","13.449","5.295","8.849","2.686","149.838"
"44","GTD","John Potter","15","54.957","16:18.435","Green","Track","0.471","0.839","10.251","11.271","14.237","5.678","9.419","2.791","147.293"
"20","PC","Matthew McMurry","10","51.611","16:18.728","Green","Track","0.445","0.796","9.979","10.270","13.430","5.270","8.800","2.621","155.899"
"33","GTD","Jeroen Bleekemolen","13","53.946","16:23.128","Green","Track","0.472","0.840","10.089","10.754","14.111","5.510","9.386","2.784","146.981"
"540","GTD","Andy Pilgrim","17","54.648","16:27.303","Green","Track","0.474","0.846","10.339","10.945","13.988","5.624","9.605","2.827","146.361"
"8","PC","Renger van der Zande","13","1:35.517","16:30.606","Green","Pit","0.466","0.904","10.153","10.968","15.363","5.509","13.205","38.949","148.873"
"96","GTD","Bret Curtis","15","54.799","16:32.866","Green","Track","0.470","0.837","10.181","11.228","14.186","5.602","9.513","2.782","147.606"
