"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"5","P","Christian Fittipaldi","4","2:40.681","9:18.530","Green","Track","30.361","25.320","24.705","9.693","9.109","0.434","4.441","0.456","23.767","24.468","7.927","154.614","147.154"
"85","PC","Stephen Simpson","4","2:04.752","9:19.387","Green","Track","1.388","19.873","23.682","9.413","9.265","0.445","4.555","0.413","23.199","24.338","8.181","150.792","162.475"
"3","GTLM","Antonio Garcia","4","2:10.121","9:19.529","Green","Track","1.452","19.991","24.330","9.249","9.693","0.457","4.619","0.421","23.026","28.322","8.561","146.832","159.388"
"62","GTLM","Toni Vilander","4","2:08.351","9:26.145","Green","Track","1.458","20.109","26.039","9.411","9.907","0.462","4.709","0.422","22.831","24.545","8.458","145.243","159.010"
"007","GTD","David Calvert-Jones","4","2:14.828","9:30.522","Green","Track","1.488","21.482","26.618","10.071","10.006","0.466","4.768","0.427","24.507","26.263","8.732","143.996","157.148"
"31","P","Dane Cameron","3","2:34.053","9:34.570","Green","Track","27.509","24.098","24.226","9.488","9.194","0.435","4.448","0.404","22.759","23.381","8.111","154.258","166.095"
"33","GTD","Jeroen Bleekemolen","4","2:12.341","9:35.859","Green","Track","1.429","20.504","25.250","9.601","9.652","0.450","4.583","0.414","24.007","28.017","8.434","149.116","162.083"
"16","GTD","Spencer Pumpelly","4","2:10.494","9:45.089","Green","Track","1.477","20.726","25.141","9.760","10.003","0.469","4.696","0.425","23.418","25.507","8.872","143.075","157.888"
"44","GTD","Andy Lally","3","2:32.841","9:47.742","Green","Track","5.957","28.385","30.812","11.098","10.313","0.482","5.224","0.488","24.161","27.178","8.743","139.216","137.505"
"97","GTD","Michael Marsal","4","2:11.795","9:55.634","Green","Track","1.465","21.035","25.418","9.633","9.951","0.466","4.713","0.425","24.330","25.621","8.738","143.996","157.888"
"20","PC","Matthew McMurry","3","2:15.519","9:56.084","Green","Track","6.085","24.648","24.869","9.437","9.361","0.445","4.573","0.436","23.370","24.186","8.109","150.792","153.904"
"27","GTD","Paolo Ruberti","4","2:10.611","9:59.145","Green","Track","1.478","20.761","25.287","9.772","9.863","0.462","4.656","0.421","23.570","25.515","8.826","145.243","159.388"
"911","GTLM","Patrick Pilet","3","5:01.756","10:00.445","Green","Pit","1.465","20.359","24.512","9.346","9.928","0.465","4.719","0.431","23.285","23.128","184.118","144.306","155.690"
"912","GTLM","Earl Bamber","4","2:05.407","10:02.443","Green","Track","1.474","19.900","23.911","9.234","9.807","0.468","4.734","0.424","22.668","24.158","8.629","143.381","158.260"
"9","GTD","Lawson Aschenbach","4","3:07.760","10:03.200","Green","Pit","1.485","20.376","25.087","9.717","9.915","0.465","4.723","0.426","23.359","24.926","67.281","144.306","157.517"
"73","GTD","Jorg Bergmeister","4","3:20.217","10:10.596","Green","Pit","1.474","21.095","26.064","9.773","9.929","0.465","4.729","0.443","24.900","25.208","76.137","144.306","151.472"
"66","GTLM","Dirk Mueller","4","2:05.330","10:17.663","Green","Track","1.461","19.751","24.152","9.260","9.739","0.463","4.705","0.422","22.599","24.248","8.530","144.929","159.010"
"70","P","Tom Long","4","3:09.633","10:20.078","Green","Pit","6.065","27.102","25.909","9.974","9.092","0.430","4.404","0.435","24.032","23.629","58.561","156.052","154.258"
"52","PC","Robert Alon","4","3:13.489","10:21.154","Green","Pit","1.394","19.896","24.910","9.511","9.311","0.442","4.543","0.411","23.253","23.675","76.143","151.815","163.266"
