"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"3","GTLM","Jan Magnussen","3","2:07.221","6:59.053","Green","Track","5.410","10.307","20.939","0.508","22.858","28.945","21.223","12.125","4.906","161.842"
"88","PC","Mark Kvamme","2","3:48.946","7:00.589","Green","Pit","75.236","15.236","22.145","0.575","26.727","31.420","22.728","16.065","18.814","142.984"
"25","GTLM","Bill Auberlen","3","2:06.202","7:04.379","Green","Track","5.482","10.119","20.831","0.516","22.533","28.868","20.950","11.982","4.921","159.333"
"67","GTLM","Ryan Briscoe","3","2:21.577","7:12.400","Green","Pit","5.401","10.106","20.560","0.503","23.326","28.368","20.755","14.288","18.270","163.451"
"33","GTD","Jeroen Bleekemolen","3","2:09.992","7:14.010","Green","Track","5.335","10.499","20.973","0.501","23.358","29.962","22.142","12.359","4.863","164.104"
"911","GTLM","Patrick Pilet","3","2:21.078","7:16.648","Green","Pit","5.406","10.010","20.582","0.506","22.598","28.936","20.906","13.616","18.518","162.482"
"9","GTD","Lawson Aschenbach","3","2:08.436","7:18.416","Green","Track","5.467","10.494","21.001","0.516","23.055","29.419","21.257","12.272","4.955","159.333"
"16","GTD","Corey Lewis","3","2:09.985","7:21.734","Green","Track","5.403","10.611","21.059","0.507","23.335","30.080","21.594","12.455","4.941","162.162"
"73","GTD","Patrick Lindsey","3","2:08.282","7:27.642","Green","Track","5.444","10.285","21.024","0.511","23.047","29.284","21.403","12.338","4.946","160.892"
"26","PC","Johnny Mowlem","3","2:23.394","7:29.003","Green","Pit","5.234","9.909","20.285","0.534","23.386","29.780","21.074","14.410","18.782","153.962"
"22","GTD","Cooper MacNeil","3","2:08.974","7:29.662","Green","Track","5.471","10.534","20.985","0.511","23.045","29.547","21.595","12.328","4.958","160.892"
"70","P","Joel Miller","2","3:23.406","7:30.788","Green","Pit","52.464","12.720","31.894","0.561","23.860","28.206","20.807","14.072","18.822","146.552"
"10","P","Jordan Taylor","3","1:59.712","7:31.474","Green","Track","5.050","9.613","19.451","0.479","22.059","27.256","19.980","11.298","4.526","171.641"
"62","GTLM","Giancarlo Fisichella","3","2:05.467","7:33.196","Green","Track","5.482","10.252","20.511","0.518","22.434","28.303","21.119","11.956","4.892","158.718"
"80","GTD","Mike Skeen","3","2:25.674","7:38.013","Green","Pit","5.384","10.499","20.911","0.503","23.555","29.765","21.831","14.568","18.658","163.451"
"6","GTD","Andrew Davis","3","2:10.330","7:38.111","Green","Track","5.451","10.906","21.001","0.513","23.720","30.022","21.484","12.271","4.962","160.265"
"48","GTD","Madison Snow","3","2:24.383","7:38.965","Green","Pit","5.391","10.490","20.882","0.506","23.066","29.518","21.618","14.592","18.320","162.482"
"27","GTD","Cedric Sbirrazzuoli","3","2:12.847","7:39.392","Green","Track","5.423","10.636","21.368","0.514","23.859","31.525","21.998","12.600","4.924","159.953"
"66","GTLM","Dirk Mueller","3","2:04.082","7:42.283","Green","Track","5.423","9.862","20.514","0.506","22.139","28.161","20.582","12.001","4.894","162.482"
"54","PC","Colin Braun","3","2:00.286","7:45.177","Green","Track","5.297","9.703","19.783","0.500","21.581","27.368","19.831","11.532","4.691","164.432"
"52","PC","Robert Alon","3","2:01.239","7:52.479","Green","Track","5.278","9.694","19.943","0.500","22.155","27.450","19.991","11.530","4.698","164.432"
"100","GTLM","Lucas Luhr","3","2:08.908","8:00.405","Green","Track","5.495","10.465","20.806","0.515","22.914","30.303","21.441","12.041","4.928","159.643"
"97","GTD","Markus Palttala","3","2:08.794","8:01.754","Green","Track","5.443","10.497","21.148","0.511","23.128","29.402","21.342","12.414","4.909","160.892"
"60","P","Oswaldo Negri Jr.","4","1:57.326","8:05.431","Green","Track","5.041","9.469","19.207","0.480","21.442","26.507","19.510","11.191","4.479","171.283"
"912","GTLM","Frederic Makowiecki","3","2:06.815","8:08.088","Green","Track","5.453","10.050","20.750","0.512","23.152","28.781","21.223","12.008","4.886","160.578"
"90","P","Marc Goossens","4","1:58.758","8:24.073","Green","Track","5.001","9.500","19.358","0.469","21.705","26.805","19.979","11.399","4.542","175.300"
"55","P","Tristan Nunez","4","2:12.480","8:25.626","Green","Pit","5.059","9.681","19.170","0.478","21.490","26.057","19.251","12.739","18.555","172.000"
"38","PC","Kyle Marcelli","3","3:06.945","8:29.519","Green","Track","63.057","14.661","21.560","0.506","22.845","27.512","20.328","11.766","4.710","162.482"
"23","GTD","Mario Farnbacher","3","2:08.115","8:36.674","Green","Track","5.515","10.307","20.941","0.517","23.140","29.170","21.267","12.288","4.970","159.025"
