"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"27","GTD","Paolo Ruberti","5","5:46.579","15:44.606","Green","Pit","1.482","20.726","25.424","9.510","9.897","0.460","4.656","0.429","24.145","27.176","222.674","145.875","156.416"
"85","PC","Misha Goikhberg","7","2:06.353","15:45.192","Green","Track","1.425","19.901","24.251","9.922","9.507","0.448","4.557","0.410","23.145","24.497","8.290","149.782","163.664"
"9","GTD","Matt Bell","6","2:10.963","15:49.780","Green","Track","1.508","21.055","25.086","9.640","9.912","0.460","4.669","0.416","23.763","25.603","8.851","145.875","161.304"
"38","PC","Nicholas Boulle","7","2:05.735","15:55.853","Green","Track","1.414","20.249","23.810","9.423","9.394","0.446","4.520","0.409","23.391","24.388","8.291","150.454","164.064"
"007","GTD","David Calvert-Jones","6","4:08.712","16:09.681","Green","Pit","1.528","22.081","26.148","9.752","10.020","0.466","4.759","0.434","24.467","27.525","121.532","143.996","154.614"
"23","GTD","Alex Riberas","5","6:32.724","16:22.375","Green","Pit","1.506","20.420","24.985","9.536","9.999","0.469","4.737","0.424","23.709","24.910","272.029","143.075","158.260"
"48","GTD","Madison Snow","5","6:07.524","16:23.920","Green","Pit","1.488","21.059","26.393","9.713","10.242","0.491","4.856","0.452","23.878","25.718","243.234","136.665","148.456"
"88","PC","Mark Kvamme","7","2:33.479","16:39.304","Green","Pit","1.424","22.280","25.659","9.747","9.439","0.445","4.539","0.447","23.991","27.870","27.638","150.792","150.117"
"5","P","Joao Barbosa","6","2:01.145","17:03.167","Green","Track","1.362","19.112","22.907","8.888","9.012","0.425","4.323","0.388","23.293","23.503","7.932","157.888","172.944"
"31","P","Dane Cameron","8","2:15.772","17:03.002","Green","Pit","1.366","18.890","22.284","9.115","9.090","0.427","4.354","0.390","22.226","22.302","25.328","157.148","172.057"
"44","GTD","John Potter","7","2:11.333","17:03.579","Green","Track","1.510","20.942","24.932","9.591","10.040","0.468","4.720","0.425","23.981","25.859","8.865","143.381","157.888"
"55","P","Jonathan Bomarito","6","6:31.726","17:04.712","Green","Pit","1.376","18.830","22.557","9.025","9.104","0.426","4.403","0.397","23.676","22.707","279.225","157.517","169.023"
"10","P","Jordan Taylor","6","2:08.830","17:08.253","Green","Track","6.102","23.079","22.617","9.103","9.023","0.429","4.371","0.394","22.452","23.322","7.938","156.416","170.310"
"100","GTLM","John Edwards","6","2:05.409","17:14.983","Green","Track","1.491","20.036","23.710","9.192","9.829","0.465","4.710","0.422","22.606","24.322","8.626","144.306","159.010"
