"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"31","P","Dane Cameron","56","1:11.175","1:08:43.138","Green","Track","2.779","18.026","22.423","10.819","0.410","6.738","3.869","6.111","166.574"
"22","GTD","Leh Keen","50","1:20.353","1:08:47.015","Green","Track","3.216","20.956","25.166","11.828","0.444","7.820","4.231","6.692","153.819"
"911","GTLM","Nick Tandy","52","1:51.678","1:08:52.080","Green","Pit","3.016","20.415","23.674","11.548","0.434","7.527","5.879","39.185","157.363"
"23","GTD","Mario Farnbacher","51","1:19.090","1:08:53.197","Green","Track","3.170","20.681","24.206","11.836","0.445","7.892","4.202","6.658","153.473"
"85","PC","Stephen Simpson","55","1:13.236","1:08:54.721","Green","Track","2.812","18.739","22.974","11.197","0.428","6.919","3.929","6.238","159.569"
"5","P","Joao Barbosa","56","1:11.764","1:08:55.318","Green","Track","2.742","18.101","22.542","10.734","0.411","7.102","3.891","6.241","166.169"
"48","GTD","Madison Snow","51","1:19.297","1:08:57.095","Green","Track","3.140","21.009","24.156","11.549","0.430","7.906","4.296","6.811","158.827"
"90","P","Ryan Dalziel","56","1:12.057","1:08:58.611","Green","Track","2.972","18.850","22.332","10.794","0.407","6.700","3.863","6.139","167.802"
"10","P","Jordan Taylor","56","1:12.520","1:08:59.742","Green","Track","2.912","19.064","22.501","10.790","0.406","6.846","3.846","6.155","168.215"
"55","P","Jonathan Bomarito","56","1:13.559","1:09:04.669","Green","Track","2.788","19.262","23.010","10.716","0.411","7.311","3.922","6.139","166.169"
"6","GTD","Robin Liddell","51","1:20.075","1:09:06.275","Green","Track","3.118","21.242","24.345","11.822","0.439","8.037","4.324","6.748","155.571"
"44","GTD","Andy Lally","50","1:20.105","1:09:06.699","Green","Track","3.176","21.030","24.602","11.718","0.440","7.911","4.328","6.900","155.217"
"3","GTLM","Jan Magnussen","53","1:17.265","1:09:06.804","Green","Track","3.009","20.004","23.610","11.584","0.433","7.618","4.156","6.851","157.726"
"25","GTLM","Dirk Werner","53","1:17.046","1:09:07.097","Green","Track","2.924","20.441","23.569","11.413","0.428","7.492","4.167","6.612","159.569"
"88","PC","Richard Bradley","51","1:13.855","1:09:07.177","Green","Track","2.855","19.506","22.584","10.985","0.416","7.021","4.046","6.442","164.172"
"70","P","Joel Miller","56","1:12.673","1:09:08.925","Green","Track","2.784","19.017","22.628","10.729","0.409","6.930","3.972","6.204","166.982"
"73","GTD","Jorg Bergmeister","51","1:18.952","1:09:14.006","Green","Track","3.143","21.058","24.032","11.747","0.439","7.625","4.180","6.728","155.571"
"66","GTLM","Joey Hand","53","1:16.686","1:09:14.813","Green","Track","2.979","19.991","23.608","11.601","0.436","7.540","4.066","6.465","156.641"
"54","PC","Colin Braun","54","1:12.778","1:09:18.537","Green","Track","2.767","18.860","22.771","11.209","0.425","6.755","3.915","6.076","160.695"
"16","GTD","Corey Lewis","51","1:19.149","1:09:21.837","Green","Track","3.083","20.834","24.463","11.634","0.431","7.710","4.320","6.674","158.458"
"60","P","Oswaldo Negri Jr.","55","1:11.750","1:09:23.547","Green","Track","2.762","18.356","22.320","10.735","0.407","6.891","3.938","6.341","167.802"
"4","GTLM","Tommy Milner","53","1:16.967","1:09:24.501","Green","Track","3.032","20.072","23.597","11.631","0.435","7.595","4.039","6.566","157.001"
"33","GTD","Jeroen Bleekemolen","51","1:19.164","1:09:32.698","Green","Track","3.091","20.893","24.289","11.643","0.435","7.776","4.325","6.712","157.001"
"67","GTLM","Ryan Briscoe","53","1:18.837","1:09:32.762","Green","Track","3.196","20.930","24.092","11.691","0.436","7.640","4.260","6.592","156.641"
"0","P","Katherine Legge","55","1:14.818","1:09:33.390","Green","Track","3.017","19.851","22.876","10.440","0.392","7.598","4.281","6.363","174.223"
"96","GTD","Jens Klingmann","51","1:19.646","1:09:33.420","Green","Track","3.199","20.903","24.733","11.654","0.435","7.623","4.312","6.787","157.001"
"912","GTLM","Frederic Makowiecki","53","1:17.932","1:09:36.343","Green","Track","3.149","20.943","23.758","11.551","0.433","7.456","4.025","6.617","157.726"
"100","GTLM","John Edwards","42","1:16.004","1:09:39.323","Green","Track","2.940","19.673","23.474","11.613","0.437","7.216","4.184","6.467","156.283"
"20","PC","Matthew McMurry","54","1:13.622","1:09:39.597","Green","Track","2.861","18.836","22.885","11.147","0.422","7.063","4.002","6.406","161.838"
"9","GTD","Lawson Aschenbach","51","1:19.176","1:09:47.088","Green","Track","3.111","20.844","24.293","11.772","0.439","7.667","4.309","6.741","155.571"
"38","PC","James French","55","1:15.739","1:09:47.539","Green","Track","2.903","19.154","23.408","11.166","0.421","7.936","4.328","6.423","162.222"
"63","GTD","Alessandro Balzan","51","1:19.213","1:09:47.574","Green","Track","3.042","20.886","24.181","11.741","0.441","7.872","4.291","6.759","154.865"
"62","GTLM","Toni Vilander","53","1:17.645","1:09:47.996","Green","Track","3.028","19.979","23.747","11.739","0.438","7.799","4.301","6.614","155.926"
"8","PC","Alex Popow","55","1:13.293","1:09:49.596","Green","Track","2.826","18.806","22.745","11.115","0.423","6.979","4.144","6.255","161.455"
"31","P","Dane Cameron","57","1:12.180","1:09:55.318","Green","Track","2.767","18.310","22.824","10.729","0.409","7.085","3.948","6.108","166.982"
"52","PC","Robert Alon","55","1:15.947","1:09:56.217","Green","Track","2.787","20.533","22.946","11.078","0.421","7.691","4.195","6.296","162.222"
"27","GTD","Fabio Babini","51","1:20.287","1:09:59.225","Green","Track","3.098","21.360","24.959","11.616","0.432","7.767","4.240","6.815","158.091"
"22","GTD","Leh Keen","51","1:18.823","1:10:05.838","Green","Track","3.058","20.761","24.057","11.897","0.446","7.678","4.268","6.658","153.129"
"5","P","Joao Barbosa","57","1:13.111","1:10:08.429","Green","Track","2.807","18.878","22.793","10.784","0.405","7.211","3.907","6.326","168.631"
