"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"68","GTLM","Alessandro Pier Guidi","4","2:17.395","15:31.267","Red","Track","29.801","0.000","23.142","8.033","0.000","0.000","0.000","0.000","6.334","0.000","0.000","0.000","0.000"
"45","GTD","Tracy Krohn","2","10:42.654","7:06.853","Red","Track","351.934","38.211","29.190","9.626","0.000","0.000","14.448","0.000","6.926","0.000","0.000","0.000","0.000"
"38","PC","James French","4","2:27.654","15:32.592","Red","Pit","32.268","0.000","25.849","8.964","6.693","6.535","13.073","0.000","0.000","0.000","0.525","0.000","155.844"
"30","GTD","Sven Mueller","2","10:47.397","7:31.002","Red","Pit","366.547","0.000","26.372","8.557","6.830","6.655","13.303","0.000","7.134","10.090","0.000","0.000","0.000"
"67","GTLM","Ryan Briscoe","4","2:12.964","16:07.126","Red","Pit","12.856","26.001","22.696","7.983","6.502","6.118","11.649","0.000","6.778","11.280","0.000","0.000","0.000"
"88","PC","Sean Johnston","1","10:35.127","7:50.420","Red","Pit","348.571","0.000","27.148","8.301","6.491","6.708","13.936","0.000","7.310","10.075","0.000","0.000","0.000"
"60","P","Oswaldo Negri","2","9:55.536","8:36.163","Red","Pit","318.263","0.000","26.513","7.960","0.000","0.000","12.837","0.000","7.372","12.852","0.000","0.000","0.000"
"50","P","Dorsey Schroeder","1","11:14.528","7:23.846","Red","Track","536.102","554.556","26.850","8.295","6.260","531.677","13.457","7.806","7.058","12.970","0.000","0.000","0.000"
"0","P","Katherine Legge","1","11:23.128","7:18.077","Red","Pit","400.952","0.000","26.668","7.807","0.000","0.000","14.522","7.571","6.814","12.970","0.000","0.000","0.000"
"62","GTLM","Giancarlo Fisichella","4","2:13.848","16:27.907","Red","Pit","12.457","25.564","22.390","8.035","0.000","0.000","11.594","7.338","6.407","13.419","0.000","0.000","0.000"
"6","GTD","Lawson Aschenbach","2","2:24.967","16:21.806","Red","Pit","14.199","29.663","26.225","8.354","0.000","0.000","13.792","7.738","6.586","11.309","0.000","0.000","0.000"
