"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"22","GTD","Cooper MacNeil","13","54.363","12:28.617","Green","Track","0.480","0.858","10.263","10.792","14.020","5.593","9.535","2.822","144.531"
"44","GTD","John Potter","13","1:16.613","12:29.571","Green","Pit","0.477","0.849","10.455","11.956","16.628","6.225","15.912","14.111","145.440"
"96","GTD","Bret Curtis","13","57.562","12:33.986","Green","Track","0.489","0.886","10.761","11.566","15.674","5.781","9.615","2.790","141.871"
"33","GTD","Ben Keating","13","54.271","12:42.845","Green","Track","0.469","0.000","0.000","0.000","0.000","0.000","0.000","0.000","147.921"
"97","GTD","Michael Marsal","13","53.970","12:44.118","Green","Track","0.469","0.837","10.055","10.815","14.090","5.503","9.409","2.792","147.921"
"48","GTD","Madison Snow","13","57.305","12:50.120","Green","Track","0.466","0.832","10.109","10.789","14.088","6.836","11.213","2.972","148.873"
"540","GTD","Timothy Pappas","13","55.595","12:57.154","Green","Track","0.476","0.848","10.592","11.094","14.124","5.828","9.813","2.820","145.746"
"27","GTD","Cedric Sbirrazzuoli","12","54.174","13:06.781","Green","Track","0.471","0.839","10.182","10.736","13.878","5.680","9.593","2.795","147.293"
"9","GTD","Matt Bell","9","53.715","13:12.164","Green","Track","0.473","0.846","10.006","10.716","13.943","5.459","9.455","2.817","146.670"
"6","GTD","Andrew Davis","14","53.501","13:14.931","Green","Track","0.474","0.846","10.028","10.711","13.917","5.440","9.303","2.782","146.361"
"73","GTD","Patrick Lindsey","11","56.671","13:19.564","Green","Track","0.469","0.869","10.609","11.564","15.431","5.703","9.269","2.757","147.921"
"22","GTD","Cooper MacNeil","14","54.059","13:22.676","Green","Track","0.476","0.851","10.277","10.717","13.983","5.584","9.374","2.797","145.746"
"63","GTD","Christina Nielsen","14","1:08.520","13:23.263","Green","Pit","0.475","0.874","10.725","11.398","14.864","5.844","12.596","11.744","146.053"
"96","GTD","Bret Curtis","14","55.538","13:29.524","Green","Track","0.470","0.838","10.269","10.869","14.480","6.033","9.788","2.791","147.606"
"97","GTD","Michael Marsal","14","54.181","13:38.299","Green","Track","0.471","0.839","10.082","10.864","14.016","5.673","9.452","2.784","147.293"
"33","GTD","Ben Keating","14","57.929","13:40.774","Green","Track","0.469","0.838","10.145","11.241","17.114","5.729","9.597","2.796","147.921"
"48","GTD","Madison Snow","14","55.529","13:45.649","Green","Track","0.506","0.926","11.138","10.975","14.150","5.582","9.485","2.767","137.105"
"540","GTD","Timothy Pappas","14","55.624","13:52.778","Green","Track","0.476","0.847","10.482","11.051","14.107","5.842","9.975","2.844","145.746"
"27","GTD","Cedric Sbirrazzuoli","13","54.098","14:00.879","Green","Track","0.471","0.839","10.098","10.746","14.003","5.588","9.553","2.800","147.293"
"9","GTD","Matt Bell","10","54.371","14:06.535","Green","Track","0.476","0.850","9.992","10.653","14.173","5.477","9.820","2.930","145.746"
"6","GTD","Andrew Davis","15","53.720","14:08.651","Green","Track","0.471","0.842","10.030","10.627","14.100","5.491","9.371","2.788","147.293"
"22","GTD","Cooper MacNeil","15","53.855","14:16.531","Green","Track","0.472","0.845","10.097","10.741","13.904","5.566","9.430","2.800","146.981"
"96","GTD","Bret Curtis","15","53.988","14:23.512","Green","Track","0.470","0.839","10.205","10.775","14.176","5.411","9.344","2.768","147.606"
"97","GTD","Michael Marsal","15","54.112","14:32.411","Green","Track","0.470","0.839","10.159","10.767","14.176","5.568","9.346","2.787","147.606"
"33","GTD","Ben Keating","15","54.526","14:35.300","Green","Track","0.472","0.841","10.341","10.987","13.931","5.574","9.569","2.811","146.981"
"27","GTD","Cedric Sbirrazzuoli","14","53.995","14:54.874","Green","Track","0.470","0.837","10.118","10.769","13.781","5.593","9.629","2.798","147.606"
"6","GTD","Andrew Davis","16","53.714","15:02.365","Finish","Track","0.470","0.839","9.964","10.614","14.177","5.488","9.378","2.784","147.606"
"9","GTD","Matt Bell","11","58.109","15:04.644","Finish","Track","0.510","0.955","11.338","12.678","14.902","5.539","9.390","2.797","136.029"
"22","GTD","Cooper MacNeil","16","1:11.058","15:27.589","Finish","Pit","0.473","0.843","10.116","12.095","15.906","6.375","13.284","11.966","146.670"
"33","GTD","Ben Keating","16","1:12.838","15:48.138","Finish","Pit","0.473","0.840","10.257","10.979","14.119","5.725","14.915","15.530","146.670"
"3","GTLM","Jan Magnussen","1","26:06.237","26:06.237","Green","Track","0.000","0.000","13.058","11.502","15.203","5.877","9.937","2.844","0.000"
"66","GTLM","Joey Hand","1","26:08.265","26:08.265","Green","Track","0.000","0.000","12.686","11.161","14.962","5.823","9.721","2.846","0.000"
"67","GTLM","Richard Westbrook","1","26:16.693","26:16.693","Green","Track","0.000","0.000","13.794","11.311","14.769","5.753","9.736","2.805","0.000"
"912","GTLM","Frederic Makowiecki","1","26:45.758","26:45.758","Green","Track","0.000","0.000","13.402","11.317","14.740","5.578","9.511","2.805","0.000"
"3","GTLM","Jan Magnussen","2","53.856","27:00.093","Green","Track","0.479","0.868","10.301","10.654","13.932","5.510","9.344","2.768","144.833"
"66","GTLM","Joey Hand","2","54.920","27:03.185","Green","Track","0.480","0.910","10.498","10.871","14.611","5.594","9.207","2.749","144.531"
"67","GTLM","Richard Westbrook","2","53.325","27:10.018","Green","Track","0.474","0.870","10.311","10.603","13.791","5.406","9.139","2.731","146.361"
"62","GTLM","Toni Vilander","1","27:38.644","27:38.644","Green","Track","0.000","0.000","13.371","11.510","14.258","5.696","10.014","2.871","0.000"
"912","GTLM","Frederic Makowiecki","2","55.552","27:41.310","Green","Track","0.475","0.848","9.733","10.275","16.738","5.525","9.207","2.751","146.053"
"3","GTLM","Jan Magnussen","3","52.434","27:52.527","Green","Track","0.468","0.835","9.878","10.340","13.744","5.339","9.091","2.739","148.237"
"66","GTLM","Joey Hand","3","51.821","27:55.006","Green","Track","0.464","0.829","9.674","10.359","13.526","5.310","8.945","2.714","149.515"
"67","GTLM","Richard Westbrook","3","51.735","28:01.753","Green","Track","0.462","0.824","9.740","10.275","13.533","5.220","8.962","2.719","150.162"
"911","GTLM","Patrick Pilet","1","28:25.581","28:25.581","Green","Track","0.000","0.000","12.695","11.061","14.082","5.800","9.257","2.771","0.000"
"62","GTLM","Toni Vilander","2","53.316","28:31.960","Green","Track","0.486","0.888","10.338","10.747","13.611","5.321","9.169","2.756","142.747"
"912","GTLM","Frederic Makowiecki","3","51.649","28:32.959","Green","Track","0.467","0.832","9.607","10.311","13.424","5.278","9.010","2.720","148.555"
"3","GTLM","Jan Magnussen","4","51.895","28:44.422","Green","Track","0.464","0.831","9.714","10.299","13.608","5.301","8.966","2.712","149.515"
"66","GTLM","Joey Hand","4","51.323","28:46.329","Green","Track","0.462","0.823","9.574","10.206","13.425","5.266","8.867","2.700","150.162"
"67","GTLM","Richard Westbrook","4","51.177","28:52.930","Green","Track","0.461","0.824","9.548","10.209","13.342","5.174","8.911","2.708","150.488"
"911","GTLM","Patrick Pilet","2","52.685","29:18.266","Green","Track","0.471","0.839","9.819","10.431","14.033","5.367","8.990","2.735","147.293"
"62","GTLM","Toni Vilander","3","51.791","29:23.751","Green","Track","0.467","0.835","9.687","10.333","13.421","5.321","9.005","2.722","148.555"
