"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"52","PC","Robert Alon","16","50.538","14:24.276","Green","Track","0.445","0.794","9.490","10.072","13.185","5.127","8.770","2.655","155.899"
"33","GTD","Ben Keating","12","55.878","14:24.498","Green","Track","0.580","1.057","11.021","11.207","14.028","5.538","9.637","2.810","119.612"
"27","GTD","Cedric Sbirrazzuoli","11","54.743","14:28.508","Green","Track","0.471","0.839","10.347","10.938","14.040","5.602","9.693","2.813","147.293"
"16","GTD","Spencer Pumpelly","8","1:02.992","14:33.057","Green","Track","0.000","0.000","12.536","11.057","14.170","6.024","9.705","2.831","0.000"
"85","PC","Stephen Simpson","14","2:47.747","14:33.135","Green","Pit","0.438","0.802","9.909","10.533","13.807","5.542","10.918","115.798","158.390"
"6","GTD","Robin Liddell","12","53.336","14:41.555","Green","Track","0.477","0.850","9.992","10.647","13.714","5.400","9.428","2.828","145.440"
"100","GTLM","Lucas Luhr","13","52.946","14:41.852","Green","Track","0.467","0.834","9.820","10.489","13.817","5.277","9.409","2.833","148.555"
"54","PC","Jonathan Bennett","16","52.019","14:46.221","Green","Track","0.448","0.799","9.689","10.494","13.407","5.306","9.173","2.703","154.855"
"9","GTD","Lawson Aschenbach","3","54.663","14:46.328","Green","Track","0.482","0.860","10.316","10.882","14.099","5.582","9.585","2.857","143.932"
"48","GTD","Bryan Sellers","10","54.123","14:50.249","Green","Track","0.471","0.841","10.080","10.813","14.002","5.578","9.544","2.794","147.293"
"20","PC","Johnny Mowlem","17","51.957","14:53.138","Green","Track","0.445","0.796","9.605","10.106","13.454","5.289","9.526","2.736","155.899"
"912","GTLM","Frederic Makowiecki","16","53.154","14:59.890","Green","Track","0.471","0.841","9.984","10.469","13.763","5.471","9.364","2.791","147.293"
"4","GTLM","Tommy Milner","11","52.371","15:00.257","Green","Track","0.469","0.836","9.904","10.394","13.606","5.307","9.101","2.754","147.921"
"44","GTD","John Potter","16","54.875","15:02.335","Green","Track","0.475","0.846","10.192","11.417","14.170","5.558","9.414","2.803","146.053"
"22","GTD","Leh Keen","14","53.747","15:06.153","Green","Track","0.475","0.846","10.115","10.693","13.867","5.496","9.443","2.812","146.053"
"3","GTLM","Antonio Garcia","10","51.454","15:09.336","Green","Track","0.464","0.831","9.501","10.221","13.585","5.192","8.927","2.733","149.515"
"66","GTLM","Dirk Mueller","11","5:37.219","15:16.703","Green","Track","0.000","0.000","12.420","10.608","13.771","5.365","8.981","2.731","0.000"
"62","GTLM","Toni Vilander","12","4:47.136","15:18.204","Green","Pit","0.463","0.828","9.790","10.485","13.607","5.622","12.821","233.520","149.838"
"27","GTD","Cedric Sbirrazzuoli","12","55.501","15:24.009","Green","Track","0.472","0.840","10.472","11.161","14.131","5.716","9.863","2.846","146.981"
"52","PC","Robert Alon","17","1:03.622","15:27.898","Green","Pit","0.450","0.802","10.111","10.743","13.631","5.373","10.630","11.882","154.167"
"16","GTD","Spencer Pumpelly","9","54.992","15:28.049","Green","Track","0.477","0.848","10.496","10.927","14.117","5.692","9.615","2.820","145.440"
"33","GTD","Ben Keating","13","1:06.699","15:31.197","Green","Pit","0.472","0.838","10.453","11.106","14.170","5.591","11.155","12.914","146.981"
"6","GTD","Robin Liddell","13","53.501","15:35.056","Green","Track","0.477","0.851","9.998","10.654","13.910","5.449","9.349","2.813","145.440"
"100","GTLM","Lucas Luhr","14","54.239","15:36.091","Green","Track","0.480","0.878","10.847","10.930","13.858","5.359","9.121","2.766","144.531"
"85","PC","Misha Goikhberg","15","1:03.840","15:36.975","Green","Track","0.000","0.000","14.300","11.372","13.700","5.310","8.940","2.662","0.000"
"54","PC","Jonathan Bennett","17","52.126","15:38.347","Green","Track","0.456","0.814","9.978","10.641","13.400","5.275","8.926","2.636","152.138"
"9","GTD","Lawson Aschenbach","4","55.317","15:41.645","Green","Track","0.482","0.863","10.588","11.005","14.184","5.713","9.639","2.843","143.932"
"23","GTD","Alex Riberas","13","1:32.530","15:42.677","Green","Track","0.477","0.848","40.955","14.930","15.920","6.750","9.803","2.847","145.440"
"48","GTD","Bryan Sellers","11","54.056","15:44.305","Green","Track","0.470","0.836","10.120","10.817","13.982","5.561","9.493","2.777","147.606"
"20","PC","Johnny Mowlem","18","51.267","15:44.405","Green","Track","0.461","0.823","9.642","10.300","13.281","5.251","8.874","2.635","150.488"
"97","GTD","Markus Palttala","15","2:49.454","15:46.864","Green","Pit","0.473","0.840","10.112","10.872","14.014","6.002","13.784","113.357","146.670"
"38","PC","Kyle Marcelli","13","5:14.889","15:50.306","Green","Pit","0.450","0.802","9.513","10.061","13.715","5.142","12.251","262.955","154.167"
"912","GTLM","Frederic Makowiecki","17","53.712","15:53.602","Green","Track","0.473","0.842","10.075","10.706","14.083","5.430","9.315","2.788","146.670"
"4","GTLM","Tommy Milner","12","53.468","15:53.725","Green","Track","0.467","0.835","9.919","10.750","14.038","5.505","9.193","2.761","148.555"
"44","GTD","John Potter","17","54.261","15:56.596","Green","Track","0.479","0.000","0.000","0.000","0.000","0.000","0.000","0.000","144.833"
"22","GTD","Leh Keen","15","53.588","15:59.741","Green","Track","0.475","0.848","9.964","10.602","13.937","5.510","9.440","2.812","146.053"
"88","PC","Remo Ruscitti","15","3:00.401","15:59.789","Green","Pit","0.445","0.793","9.849","10.433","13.703","5.501","12.489","127.188","155.899"
"3","GTLM","Antonio Garcia","11","51.580","16:00.916","Green","Track","0.465","0.831","9.577","10.196","13.594","5.207","8.979","2.731","149.194"
"7","PC","Sean Rayhall","9","2:23.352","16:04.084","Green","Pit","0.444","0.793","9.408","10.050","13.188","5.279","11.875","92.315","156.250"
"66","GTLM","Dirk Mueller","12","51.853","16:08.556","Green","Track","0.464","0.829","9.840","10.368","13.503","5.189","8.934","2.726","149.515"
"27","GTD","Cedric Sbirrazzuoli","13","54.674","16:18.683","Green","Track","0.478","0.850","10.256","11.089","13.921","5.660","9.621","2.799","145.136"
"8","PC","Renger van der Zande","11","6:30.074","16:18.756","Green","Pit","0.444","0.794","9.340","10.079","14.793","5.312","12.145","337.167","156.250"
"62","GTLM","Toni Vilander","13","1:00.704","16:18.908","Green","Track","0.000","0.000","12.240","10.657","13.638","5.456","9.470","2.804","0.000"
"16","GTD","Spencer Pumpelly","10","55.018","16:23.067","Green","Track","0.476","0.846","10.325","10.890","14.278","5.743","9.640","2.820","145.746"
"6","GTD","Robin Liddell","13","53.368","16:28.424","Green","Track","0.475","0.848","9.896","10.680","13.826","5.452","9.390","2.801","146.053"
"100","GTLM","Lucas Luhr","14","52.616","16:28.707","Green","Track","0.467","0.834","9.793","10.478","13.772","5.292","9.212","2.768","148.555"
"85","PC","Misha Goikhberg","15","52.036","16:29.011","Green","Track","0.451","0.804","9.962","10.751","13.349","5.118","8.960","2.641","153.825"
"54","PC","Jonathan Bennett","17","51.583","16:29.930","Green","Track","0.447","0.797","9.723","10.475","13.465","5.138","8.913","2.625","155.201"
"9","GTD","Lawson Aschenbach","4","54.824","16:36.469","Green","Track","0.480","0.855","10.378","10.916","14.117","5.648","9.595","2.835","144.531"
"20","PC","Johnny Mowlem","18","52.061","16:36.466","Green","Track","0.448","0.800","9.828","10.411","13.418","5.322","9.201","2.633","154.855"
"23","GTD","Alex Riberas","13","56.082","16:38.759","Green","Track","0.480","0.856","10.330","10.874","14.095","6.549","10.087","2.811","144.531"
"48","GTD","Bryan Sellers","12","55.394","16:39.699","Green","Track","0.467","0.831","10.609","11.379","14.198","5.592","9.543","2.775","148.555"
"4","GTLM","Tommy Milner","12","52.980","16:46.705","Green","Track","0.470","0.836","9.823","10.360","14.264","5.371","9.119","2.737","147.606"
"912","GTLM","Frederic Makowiecki","17","54.347","16:47.949","Green","Track","0.471","0.846","10.548","10.633","13.726","5.803","9.530","2.790","147.293"
"97","GTD","Markus Palttala","15","1:02.754","16:49.618","Green","Track","0.000","0.000","12.914","11.017","13.913","5.786","9.786","2.809","0.000"
"38","PC","Kyle Marcelli","13","59.854","16:50.160","Green","Track","0.000","0.000","12.145","10.477","13.492","5.143","9.362","2.696","0.000"
"63","GTD","Christina Nielsen","14","3:29.007","16:50.439","Green","Track","0.000","0.000","17.531","13.957","16.510","7.276","10.833","2.884","0.000"
"44","GTD","John Potter","18","55.132","16:51.728","Green","Track","0.479","0.851","10.282","11.018","14.496","5.597","9.594","2.815","144.833"
"22","GTD","Leh Keen","16","53.792","16:53.533","Green","Track","0.475","0.847","10.054","10.781","13.905","5.435","9.487","2.808","146.053"
"3","GTLM","Antonio Garcia","11","58.022","16:58.938","Green","Track","0.464","0.830","9.712","10.318","19.641","5.372","8.972","2.713","149.515"
"96","GTD","Jens Klingmann","9","3:00.829","16:58.811","Green","Pit","0.468","0.834","10.103","11.031","14.710","5.539","12.470","125.674","148.237"
"88","PC","Remo Ruscitti","15","59.818","16:59.607","Green","Track","0.000","0.000","12.335","10.478","13.586","5.305","8.956","2.630","0.000"
"66","GTLM","Dirk Mueller","13","51.821","17:00.377","Green","Track","0.463","0.826","9.590","10.285","13.647","5.238","9.037","2.735","149.838"
"25","GTLM","Dirk Werner","14","2:45.054","17:06.556","Green","Pit","0.462","0.823","10.384","10.572","13.997","5.379","11.123","112.314","150.162"
"7","PC","Sean Rayhall","10","1:06.207","17:10.291","Green","Track","0.000","0.000","13.314","13.187","16.833","5.128","8.608","2.607","0.000"
"62","GTLM","Toni Vilander","14","53.338","17:12.246","Green","Track","0.474","0.850","10.338","10.543","13.681","5.415","9.268","2.769","146.361"
"73","GTD","Patrick Lindsey","9","5:12.186","17:14.054","Green","Pit","0.467","0.833","10.143","11.022","14.702","5.602","11.843","257.574","148.555"
"27","GTD","Cedric Sbirrazzuoli","14","56.431","17:15.114","Green","Track","0.470","0.836","10.492","11.693","14.472","5.872","9.781","2.815","147.606"
"16","GTD","Spencer Pumpelly","11","55.220","17:18.287","Green","Track","0.474","0.842","10.435","11.042","14.187","5.753","9.670","2.817","146.361"
"8","PC","Renger van der Zande","12","1:00.871","17:19.627","Green","Track","0.000","0.000","12.106","10.871","14.275","5.952","8.564","2.575","0.000"
"85","PC","Misha Goikhberg","17","54.018","17:23.029","Green","Track","0.447","0.798","10.158","10.890","13.478","5.385","10.068","2.794","155.201"
"54","PC","Jonathan Bennett","19","53.131","17:23.061","Green","Track","0.444","0.791","9.904","10.719","13.501","5.265","9.777","2.730","156.250"
"20","PC","Johnny Mowlem","20","50.715","17:27.181","Green","Track","0.447","0.798","9.631","10.145","13.203","5.158","8.707","2.626","155.201"
"23","GTD","Alex Riberas","15","54.187","17:32.946","Green","Track","0.474","0.844","10.164","10.860","13.959","5.502","9.539","2.845","146.361"
"48","GTD","Bryan Sellers","13","54.221","17:33.920","Green","Track","0.466","0.829","10.191","10.932","13.925","5.521","9.564","2.793","148.873"
"4","GTLM","Tommy Milner","14","51.943","17:38.648","Green","Track","0.464","0.829","9.726","10.260","13.643","5.252","9.037","2.732","149.515"
"912","GTLM","Frederic Makowiecki","19","53.376","17:41.325","Green","Track","0.469","0.836","10.002","10.576","13.706","5.522","9.473","2.792","147.921"
"38","PC","Kyle Marcelli","15","51.117","17:41.277","Green","Track","0.455","0.809","9.791","10.793","13.187","5.003","8.499","2.580","152.473"
"97","GTD","Markus Palttala","17","54.327","17:43.945","Green","Track","0.471","0.838","10.062","10.858","14.209","5.502","9.550","2.837","147.293"
"63","GTD","Christina Nielsen","15","57.389","17:47.828","Green","Track","0.483","0.860","10.892","11.599","14.790","5.915","10.011","2.839","143.634"
"44","GTD","John Potter","19","56.196","17:47.924","Green","Track","0.473","0.843","10.264","11.316","14.604","5.960","9.923","2.813","146.670"
"3","GTLM","Antonio Garcia","13","51.615","17:50.553","Green","Track","0.462","0.824","9.623","10.222","13.604","5.227","8.945","2.708","150.162"
"88","PC","Remo Ruscitti","17","51.283","17:50.890","Green","Track","0.445","0.793","9.761","10.293","13.424","5.173","8.795","2.599","155.899"
"22","GTD","Leh Keen","17","57.360","17:50.893","Green","Track","0.473","0.846","10.013","10.628","15.219","6.697","10.317","3.167","146.670"
"66","GTLM","Dirk Mueller","14","55.592","17:55.969","Green","Track","0.463","0.824","9.876","11.398","16.023","5.324","8.970","2.714","149.838"
"7","PC","Sean Rayhall","11","49.934","18:00.225","Green","Track","0.445","0.800","9.548","10.004","13.022","4.999","8.518","2.598","155.899"
"33","GTD","Ben Keating","14","2:29.981","18:01.178","Green","Pit","0.472","0.838","10.453","11.106","14.170","5.591","11.155","162.895","146.981"
"96","GTD","Jens Klingmann","10","1:04.077","18:02.888","Green","Track","0.000","0.000","12.354","11.017","14.806","7.014","9.578","2.785","0.000"
"62","GTLM","Toni Vilander","15","52.528","18:04.774","Green","Track","0.469","0.837","9.898","10.554","13.455","5.339","9.209","2.767","147.921"
"25","GTLM","Dirk Werner","15","1:01.158","18:07.714","Green","Track","0.000","0.000","12.550","10.772","13.980","5.454","9.205","2.750","0.000"
"27","GTD","Cedric Sbirrazzuoli","15","54.947","18:10.061","Green","Track","0.473","0.840","10.289","11.045","14.185","5.632","9.688","2.795","146.670"
"8","PC","Renger van der Zande","13","50.480","18:10.107","Green","Track","0.439","0.783","9.544","10.283","13.252","5.104","8.503","2.572","158.030"
"52","PC","Tom Kimber-Smith","18","2:47.276","18:15.174","Green","Track","0.000","0.000","12.099","10.942","13.744","5.194","8.710","2.626","0.000"
"54","PC","Jonathan Bennett","20","52.832","18:15.893","Green","Track","0.458","0.823","10.079","10.828","13.638","5.402","8.969","2.635","151.474"
"85","PC","Misha Goikhberg","18","53.256","18:16.285","Green","Track","0.469","0.835","10.404","10.804","13.804","5.344","8.954","2.642","147.921"
"20","PC","Johnny Mowlem","21","51.275","18:18.456","Green","Track","0.445","0.794","9.645","10.237","13.187","5.231","9.078","2.658","155.899"
"73","GTD","Jorg Bergmeister","10","1:04.484","18:18.538","Green","Track","0.000","0.000","12.819","10.937","15.502","6.071","9.549","2.791","0.000"
"100","GTLM","Lucas Luhr","16","1:52.970","18:21.677","Green","Pit","0.467","0.831","10.172","12.295","14.004","5.353","11.823","58.025","148.555"
"23","GTD","Alex Riberas","16","54.712","18:27.658","Green","Track","0.480","0.854","10.409","11.100","14.019","5.547","9.490","2.813","144.531"
"4","GTLM","Tommy Milner","15","51.707","18:30.355","Green","Track","0.463","0.828","9.652","10.232","13.600","5.217","8.993","2.722","149.838"
"38","PC","Kyle Marcelli","15","49.402","18:30.679","Green","Track","0.440","0.787","9.349","9.928","12.957","4.914","8.455","2.572","157.670"
"97","GTD","Markus Palttala","17","53.927","18:37.872","Green","Track","0.474","0.842","10.023","10.804","14.023","5.490","9.469","2.802","146.361"
"44","GTD","John Potter","19","54.892","18:42.816","Green","Track","0.474","0.843","10.513","10.991","14.138","5.623","9.494","2.816","146.361"
"63","GTD","Christina Nielsen","15","57.131","18:44.959","Green","Track","0.477","0.849","11.310","11.452","14.559","5.808","9.836","2.840","145.440"
"88","PC","Remo Ruscitti","17","57.462","18:48.352","Green","Track","0.441","0.790","9.810","10.710","16.534","6.600","9.937","2.640","157.313"
