"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"88","PC","Ashley Freiberg","65","1:25.759","1:39:59.288","Green","Track","1.645","0.469","4.090","25.784","19.699","14.668","8.668","10.736","141.500"
"54","PC","Colin Braun","67","1:22.821","1:40:07.215","Green","Track","1.632","0.468","3.921","24.630","18.748","14.440","8.495","10.487","141.803"
"97","GTD","Markus Palttala","64","1:28.547","1:40:09.404","Green","Track","1.764","0.506","4.024","26.507","20.336","15.280","8.950","11.180","131.153"
"80","GTD","Mike Skeen","64","1:28.462","1:40:13.338","Green","Track","1.715","0.489","3.960","26.859","20.394","15.000","8.969","11.076","135.713"
"23","GTD","Mario Farnbacher","65","1:27.239","1:40:14.219","Green","Track","1.739","0.496","3.989","26.310","20.225","14.770","8.763","10.947","133.798"
"44","GTD","Andy Lally","64","1:28.707","1:40:15.507","Green","Track","1.782","0.507","4.102","26.982","20.248","14.883","8.913","11.290","130.895"
"63","GTD","Alessandro Balzan","65","1:27.974","1:40:15.687","Green","Track","1.718","0.490","3.981","26.636","20.302","15.019","8.861","10.967","135.436"
"96","GTD","Jens Klingmann","65","1:27.643","1:40:18.890","Green","Track","1.768","0.507","4.019","26.487","20.145","14.737","8.759","11.221","130.895"
"007","GTD","James Davison","65","1:27.897","1:40:26.744","Green","Track","1.736","0.491","4.025","26.613","20.240","14.921","8.857","11.014","135.160"
"20","PC","Johnny Mowlem","67","1:24.220","1:40:26.814","Green","Track","1.638","0.470","3.916","25.316","19.199","14.521","8.505","10.655","141.199"
"6","GTD","Robin Liddell","65","1:28.150","1:40:31.786","Green","Track","1.763","0.504","4.054","26.525","20.338","15.084","8.797","11.085","131.674"
"33","GTD","Jeroen Bleekemolen","65","1:28.231","1:40:34.355","Green","Track","1.711","0.488","4.000","26.627","20.279","15.159","8.963","11.004","135.991"
"48","GTD","Bryan Sellers","65","1:27.945","1:40:36.188","Green","Track","1.754","0.500","4.041","26.432","20.388","14.920","8.869","11.041","132.727"
"22","GTD","Leh Keen","65","1:28.384","1:40:37.543","Green","Track","1.732","0.498","4.122","26.600","20.320","15.088","8.840","11.184","133.260"
"9","GTD","Lawson Aschenbach","65","1:28.431","1:40:38.282","Green","Track","1.772","0.500","4.087","26.693","20.427","15.039","8.795","11.118","132.727"
"11","GTD","Townsend Bell","65","1:28.440","1:40:43.552","Green","Track","1.760","0.503","4.044","26.735","20.226","15.200","8.836","11.136","131.936"
"16","GTD","Spencer Pumpelly","65","1:27.746","1:40:45.012","Green","Track","1.760","0.501","4.031","26.540","20.213","14.777","8.842","11.082","132.462"
"73","GTD","Jorg Bergmeister","65","1:27.941","1:40:50.043","Green","Track","1.739","0.498","4.038","26.501","20.190","15.064","8.833","11.078","133.260"
"540","GTD","Nicky Catsburg","41","1:27.056","1:40:55.001","Green","Track","1.751","0.500","4.080","26.217","20.091","14.692","8.844","10.881","132.727"
"52","PC","Tom Kimber-Smith","68","1:21.841","1:41:03.273","Green","Track","1.649","0.470","3.820","24.470","18.758","14.067","8.212","10.395","141.199"
"8","PC","Renger Van DerZande","68","1:22.717","1:41:07.233","Green","Track","1.639","0.466","3.879","24.807","18.857","14.218","8.280","10.571","142.411"
"85","PC","Stephen Simpson","68","1:22.615","1:41:16.351","Green","Track","1.646","0.473","3.886","24.824","18.960","13.979","8.390","10.457","140.304"
"38","PC","Kyle Marcelli","68","1:22.114","1:41:17.391","Green","Track","1.634","0.469","3.869","24.585","18.822","13.923","8.399","10.413","141.500"
"88","PC","Ashley Freiberg","66","1:25.611","1:41:24.899","Green","Track","1.647","0.471","3.955","25.565","19.841","14.751","8.747","10.634","140.899"
"54","PC","Colin Braun","68","1:21.651","1:41:28.866","Green","Track","1.630","0.468","3.872","24.431","18.457","14.158","8.169","10.466","141.803"
"97","GTD","Markus Palttala","65","1:28.242","1:41:37.646","Green","Track","1.760","0.505","4.047","26.519","20.298","14.940","8.958","11.215","131.413"
"80","GTD","Mike Skeen","65","1:28.353","1:41:41.691","Green","Track","1.723","0.491","3.969","26.667","20.304","15.086","8.925","11.188","135.160"
"23","GTD","Mario Farnbacher","66","1:27.655","1:41:41.874","Green","Track","1.745","0.500","4.065","26.352","20.174","14.982","8.854","10.983","132.727"
"63","GTD","Alessandro Balzan","66","1:27.465","1:41:43.152","Green","Track","1.717","0.489","4.045","26.330","20.097","15.012","8.813","10.962","135.713"
"44","GTD","Andy Lally","65","1:28.924","1:41:44.431","Green","Track","1.784","0.506","4.236","27.006","20.499","14.881","8.870","11.142","131.153"
"27","GTD","Cedric Sbirrazzuoli","54","3:07.657","1:41:44.754","Green","Pit","1.775","0.508","4.078","27.551","21.163","15.501","10.462","106.619","130.637"
"96","GTD","Jens Klingmann","66","1:27.665","1:41:46.555","Green","Track","1.762","0.506","3.975","26.558","20.110","14.794","8.825","11.135","131.153"
"20","PC","Johnny Mowlem","68","1:24.511","1:41:51.325","Green","Track","1.630","0.474","3.977","25.441","19.409","14.543","8.450","10.587","140.008"
