"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"3","GTLM","Antonio Garcia","32","1:44.542","56:43.654","Green","Track","21.817","15.704","12.459","15.195","11.010","0.503","22.315","5.320","0.219","162.660"
"66","GTLM","Dirk Mueller","32","1:47.062","56:46.204","Green","Track","22.566","15.966","12.729","15.441","11.195","0.512","23.016","5.416","0.221","159.801"
"912","GTLM","Earl Bamber","32","1:49.461","56:47.883","Green","Track","25.121","15.963","12.797","15.374","11.176","0.512","22.914","5.383","0.221","159.801"
"62","GTLM","Toni Vilander","32","1:50.882","56:52.572","Green","Track","25.635","16.162","13.104","15.445","11.239","0.516","23.125","5.434","0.222","158.562"
"80","GTD","Mike Skeen","31","1:46.576","56:58.066","Green","Track","22.218","16.328","12.573","15.396","11.086","0.510","22.826","5.417","0.222","160.428"
"911","GTLM","Patrick Pilet","32","1:54.527","57:01.916","Green","Track","28.612","17.190","13.103","15.670","11.183","0.511","22.622","5.415","0.221","160.114"
"67","GTLM","Ryan Briscoe","32","1:56.020","57:05.180","Green","Track","26.302","16.982","14.192","16.953","11.256","0.512","24.136","5.464","0.223","159.801"
"25","GTLM","Bill Auberlen","32","1:50.138","57:11.066","Green","Track","22.574","17.059","13.117","16.075","11.297","0.520","23.752","5.517","0.227","157.343"
"97","GTD","Markus Palttala","31","1:48.105","57:19.806","Green","Track","22.166","16.559","12.993","15.752","11.240","0.515","23.177","5.479","0.224","158.870"
"44","GTD","Andy Lally","31","1:47.408","57:20.192","Green","Track","22.099","16.316","12.817","15.569","11.235","0.513","23.169","5.466","0.224","159.490"
"4","GTLM","Tommy Milner","32","1:44.657","57:21.424","Green","Track","21.723","15.640","12.456","15.254","11.056","0.508","22.440","5.360","0.220","161.059"
"33","GTD","Jeroen Bleekemolen","31","1:47.895","57:26.470","Green","Track","22.090","16.495","13.128","15.706","11.042","0.507","23.280","5.425","0.222","161.377"
"96","GTD","Bret Curtis","20","1:51.279","57:28.249","Green","Track","23.022","17.112","14.071","16.089","11.067","0.507","23.746","5.443","0.222","161.377"
"63","GTD","Alessandro Balzan","31","1:47.143","57:29.637","Green","Track","22.081","16.152","12.873","15.467","11.270","0.517","23.049","5.508","0.226","158.256"
"27","GTD","Cedric Sbirrazzuoli","31","1:46.505","57:34.498","Green","Track","21.875","16.056","13.004","15.561","11.070","0.504","22.796","5.420","0.219","162.338"
"100","GTLM","John Edwards","32","1:44.028","57:49.937","Green","Track","21.440","15.610","12.422","15.108","11.096","0.512","22.227","5.391","0.222","159.801"
"48","GTD","Madison Snow","32","1:46.475","58:08.774","Green","Track","21.644","15.905","13.010","15.605","11.130","0.506","23.011","5.442","0.222","161.696"
"9","GTD","Lawson Aschenbach","32","1:46.439","58:12.189","Green","Track","21.840","16.124","12.754","15.490","11.249","0.514","22.785","5.460","0.223","159.179"
"23","GTD","Mario Farnbacher","32","1:46.269","58:24.110","Green","Track","22.071","15.924","12.615","15.446","11.236","0.517","22.741","5.494","0.225","158.256"
"3","GTLM","Antonio Garcia","33","1:45.956","58:29.610","Green","Track","21.738","15.979","12.661","15.607","11.016","0.506","22.860","5.370","0.219","161.696"
"6","GTD","Robin Liddell","32","1:47.857","58:30.510","Green","Track","22.113","16.015","12.999","15.675","11.291","0.514","23.542","5.485","0.223","159.179"
"16","GTD","Spencer Pumpelly","32","1:47.923","58:30.733","Green","Track","22.367","16.147","13.213","15.640","11.066","0.500","23.368","5.402","0.220","163.636"
"66","GTLM","Dirk Mueller","33","1:45.385","58:31.589","Green","Track","21.791","15.648","12.639","15.345","11.164","0.510","22.661","5.407","0.220","160.428"
"912","GTLM","Earl Bamber","33","1:44.464","58:32.347","Green","Track","21.543","15.463","12.579","15.172","11.103","0.508","22.503","5.373","0.220","161.059"
"62","GTLM","Toni Vilander","33","1:46.176","58:38.748","Green","Track","21.657","15.692","12.631","16.116","11.198","0.513","22.724","5.422","0.223","159.490"
"80","GTD","Mike Skeen","32","1:46.306","58:44.372","Green","Track","22.029","16.140","12.609","15.472","11.064","0.509","22.828","5.432","0.223","160.743"
"911","GTLM","Patrick Pilet","33","1:44.496","58:46.412","Green","Track","21.349","15.542","12.601","15.222","11.110","0.508","22.531","5.411","0.222","161.059"
"67","GTLM","Ryan Briscoe","33","1:48.523","58:53.703","Green","Track","22.262","16.399","13.297","15.880","11.191","0.512","23.316","5.442","0.224","159.801"
"25","GTLM","Bill Auberlen","33","1:48.210","58:59.276","Green","Track","22.284","16.291","12.999","15.846","11.237","0.517","23.331","5.479","0.226","158.256"
