"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"3","GTLM","Jan Magnussen","5","1:25.561","7:47.973","Green","Track","1.749","0.498","3.968","25.784","19.753","14.549","8.450","10.810","133.260"
"100","GTLM","John Edwards","5","1:25.929","7:50.894","Green","Track","1.734","0.492","4.020","25.745","19.561","14.572","8.355","11.450","134.885"
"62","GTLM","Giancarlo Fisichella","5","1:24.644","7:50.925","Green","Track","1.742","0.497","3.991","25.439","19.531","14.387","8.359","10.698","133.528"
"90","P","Marc Goossens","5","1:23.349","7:52.172","Green","Track","1.612","0.458","3.882","25.742","19.114","14.064","8.132","10.345","144.899"
"911","GTLM","Patrick Pilet","5","1:26.263","7:55.009","Green","Track","1.765","0.500","4.108","26.059","20.233","14.426","8.572","10.600","132.727"
"912","GTLM","Frederic Makowiecki","5","1:26.303","7:57.688","Green","Track","1.744","0.496","3.982","25.366","20.823","14.666","8.576","10.650","133.798"
"55","P","Tristan Nunez","3","2:05.794","7:59.450","Green","Pit","1.596","0.458","3.945","24.173","18.364","13.914","9.008","54.336","144.899"
"66","GTLM","Dirk Muller","5","1:28.849","8:00.687","Green","Track","1.726","0.492","3.979","27.175","21.596","14.615","8.514","10.752","134.885"
"67","GTLM","Ryan Briscoe","5","1:25.163","8:02.119","Green","Track","1.751","0.498","4.018","25.584","19.756","14.467","8.364","10.725","133.260"
"68","GTLM","Daniel Serra","4","1:39.841","8:14.379","Green","Track","2.447","0.000","0.000","29.459","21.534","15.645","8.924","10.887","0.000"
"0","P","Katherine Legge","2","6:00.083","8:14.488","Green","Pit","1.744","0.545","5.010","28.676","21.438","16.969","12.445","273.256","121.768"
"5","P","Christian Fittipaldi","5","1:19.705","8:34.705","Green","Track","1.625","0.468","3.760","24.029","18.231","13.518","7.823","10.251","141.803"
"31","P","Eric Curran","5","1:20.863","8:40.957","Green","Track","1.607","0.461","3.777","24.422","18.364","14.029","8.027","10.176","143.956"
"70","P","Tom Long","6","1:19.112","8:44.049","Green","Track","1.593","0.457","3.747","23.916","18.131","13.450","7.759","10.059","145.216"
"10","P","Jordan Taylor","5","1:28.223","8:49.905","Green","Track","1.619","0.463","3.819","24.102","18.279","14.649","14.777","10.515","143.334"
"4","GTLM","Oliver Gavin","6","1:24.548","9:06.324","Green","Track","1.746","0.503","4.006","25.494","19.494","14.127","8.217","10.961","131.936"
"3","GTLM","Jan Magnussen","6","1:25.241","9:13.214","Green","Track","1.739","0.496","3.972","25.682","19.663","14.421","8.483","10.785","133.798"
"90","P","Marc Goossens","6","1:23.123","9:15.295","Green","Track","1.609","0.454","3.853","25.194","18.909","14.401","8.348","10.355","146.175"
"62","GTLM","Giancarlo Fisichella","6","1:24.394","9:15.319","Green","Track","1.734","0.497","3.943","25.401","19.419","14.365","8.323","10.712","133.528"
"911","GTLM","Patrick Pilet","6","1:25.328","9:20.337","Green","Track","1.745","0.497","3.985","25.619","19.550","14.501","8.578","10.853","133.528"
"912","GTLM","Frederic Makowiecki","6","1:24.830","9:22.518","Green","Track","1.746","0.496","4.012","25.291","19.575","14.436","8.492","10.782","133.798"
"66","GTLM","Dirk Muller","6","1:24.053","9:24.740","Green","Track","1.734","0.494","4.025","25.357","19.355","14.250","8.332","10.506","134.339"
"55","P","Tristan Nunez","4","1:38.919","9:38.369","Green","Track","2.495","0.000","0.000","28.809","20.342","15.529","8.765","10.530","0.000"
"68","GTLM","Daniel Serra","5","1:25.946","9:40.325","Green","Track","1.753","0.495","4.161","25.951","19.827","14.601","8.474","10.684","134.068"
"0","P","Katherine Legge","3","1:36.352","9:50.840","Green","Track","2.490","0.000","0.000","27.395","20.343","15.829","8.863","10.447","0.000"
"25","GTLM","Bill Auberlen","5","3:28.840","9:56.877","Green","Pit","1.740","0.493","4.010","26.516","21.017","15.165","10.319","129.580","134.612"
"5","P","Christian Fittipaldi","6","1:23.366","9:58.071","Green","Track","1.626","0.468","3.761","24.833","19.811","14.685","7.946","10.236","141.803"
