"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"48","GTD","Bryan Sellers","6","5:36.376","15:39.895","Green","Pit","21.640","16.238","13.695","16.121","11.079","0.503","25.228","231.014","0.858","162.660"
"67","GTLM","Ryan Briscoe","9","1:42.007","15:52.420","Green","Track","20.739","15.290","12.282","14.922","11.093","0.510","21.615","5.339","0.217","160.428"
"16","GTD","Spencer Pumpelly","9","1:44.721","16:06.667","Green","Track","21.514","15.750","12.602","15.299","11.044","0.503","22.412","5.378","0.219","162.660"
"4","GTLM","Tommy Milner","8","1:43.561","16:10.630","Green","Track","21.361","15.531","12.268","15.091","11.079","0.509","22.169","5.334","0.219","160.743"
"911","GTLM","Nick Tandy","7","4:58.736","16:12.615","Green","Pit","20.975","15.269","12.275","14.934","11.092","0.510","24.472","198.356","0.853","160.428"
"9","GTD","Lawson Aschenbach","8","1:44.980","16:19.436","Green","Track","21.666","15.844","12.537","15.175","11.153","0.509","22.465","5.412","0.219","160.743"
"100","GTLM","John Edwards","9","1:43.351","16:25.419","Green","Track","20.795","15.372","12.304","15.237","10.958","0.504","22.647","5.314","0.220","162.338"
"80","GTD","Dan Knox","8","1:48.478","16:25.538","Green","Track","22.268","16.564","13.196","15.690","11.092","0.510","23.445","5.485","0.228","160.428"
"63","GTD","Alessandro Balzan","7","3:59.947","16:27.560","Green","Pit","24.334","17.549","13.819","17.461","11.898","0.615","27.002","126.330","0.939","133.038"
"23","GTD","Mario Farnbacher","8","1:47.209","16:35.482","Green","Track","22.849","16.115","12.640","15.385","11.286","0.519","22.738","5.454","0.223","157.646"
"62","GTLM","Toni Vilander","9","1:43.908","16:38.066","Green","Track","21.149","15.575","12.508","15.141","11.108","0.510","22.316","5.381","0.220","160.428"
"25","GTLM","Bill Auberlen","8","3:47.725","16:45.881","Green","Pit","20.787","15.230","12.419","15.206","10.969","0.506","25.596","126.144","0.868","161.696"
"6","GTD","Robin Liddell","7","1:57.256","16:53.883","Green","Track","28.355","17.905","14.274","15.950","11.319","0.519","23.246","5.466","0.222","157.646"
"96","GTD","Jens Klingmann","8","3:08.242","16:58.694","Green","Pit","21.323","15.548","12.444","15.124","11.084","0.508","24.920","86.424","0.867","161.059"
"33","GTD","Ben Keating","8","1:46.254","17:01.367","Green","Track","21.768","16.274","12.700","15.712","11.017","0.505","22.714","5.344","0.220","162.016"
"3","GTLM","Jan Magnussen","8","4:37.280","17:26.128","Green","Pit","20.936","16.255","12.401","15.093","10.988","0.505","24.701","175.441","0.960","162.016"
"48","GTD","Bryan Sellers","7","1:51.053","17:30.948","Green","Track","25.513","17.071","13.120","15.540","11.116","0.508","22.542","5.422","0.221","161.059"
"44","GTD","Andy Lally","9","2:59.162","17:50.421","Green","Pit","21.496","16.238","12.551","15.349","11.186","0.512","24.505","76.389","0.936","159.801"
"16","GTD","Spencer Pumpelly","10","1:44.695","17:51.362","Green","Track","21.596","15.625","12.581","15.401","11.066","0.503","22.316","5.388","0.219","162.660"
"4","GTLM","Tommy Milner","9","1:42.680","17:53.310","Green","Track","21.116","15.313","12.266","14.968","11.064","0.507","21.898","5.329","0.219","161.377"
"9","GTD","Lawson Aschenbach","9","1:44.567","18:04.003","Green","Track","21.539","15.694","12.453","15.185","11.174","0.511","22.409","5.382","0.220","160.114"
"911","GTLM","Nick Tandy","8","1:54.445","18:07.060","Green","Track","26.742","17.315","13.639","15.847","11.362","0.520","23.337","5.458","0.225","157.343"
"80","GTD","Dan Knox","9","1:49.404","18:14.942","Green","Track","22.906","16.551","13.187","15.870","11.076","0.509","23.677","5.407","0.221","160.743"
"62","GTLM","Toni Vilander","10","1:47.241","18:25.307","Green","Track","22.356","15.982","13.418","15.667","11.164","0.512","22.537","5.384","0.221","159.801"
