"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"2","P","Johannes van Overbeek","2","7:29.484","29:34.877","Green","Track","195.980","31.883","23.904","7.601","6.025","5.961","11.920","6.786","5.932","4.941","0.447","2.862","183.038"
"66","GTLM","Dirk Mueller","1","8:06.817","29:39.108","Green","Pit","31.926","36.881","26.399","9.043","7.714","7.421","14.222","8.646","7.905","12.220","0.000","0.000","0.000"
"90","P","Marc Goossens","5","6:52.575","29:47.742","Green","Pit","29.485","33.457","25.508","8.131","6.166","6.699","12.443","7.036","6.031","9.756","0.000","0.000","0.000"
"007","GTD","Santiago Creel","5","6:34.058","30:02.269","Green","Pit","12.864","33.747","25.137","10.398","7.098","7.806","13.480","7.861","7.160","12.607","0.000","0.000","0.000"
"51","GTD","Marco Cioci","6","6:41.016","30:02.424","Green","Track","153.650","29.562","22.826","8.228","6.535","6.043","10.915","7.324","6.366","5.276","0.475","3.042","172.249"
"540","GTD","Timothy Pappas","1","11:07.802","30:08.455","Green","Track","0.000","30.401","23.387","8.076","6.482","6.939","12.299","7.377","6.380","5.327","0.480","3.074","170.455"
"60","P","John Pew","1","22:23.060","30:08.941","Green","Track","1228.661","33.391","26.386","7.843","5.989","6.609","12.739","7.027","5.981","4.944","0.450","3.040","181.818"
"6","GTD","Davis/Liddell/Aschenbach/ M.Bell","2","10:36.339","30:09.922","Green","Track","0.000","34.313","26.231","9.056","6.975","7.170","14.182","8.089","6.735","5.491","0.490","3.122","166.976"
"26","PC","Ryan Eversley","11","7:29.727","30:15.118","Green","Track","990.061","27.293","22.102","7.822","6.471","6.036","10.828","7.066","6.345","5.355","0.485","3.132","168.697"
"5","P","Filipe Albuquerque","10","2:09.629","30:32.281","Green","Track","29.034","28.206","21.840","7.338","5.910","5.734","10.921","6.627","5.823","4.911","0.446","2.839","183.449"
