"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"96","GTD","Jens Klingmann","32","1:43.843","1:02:14.333","Yellow","Track","3.924","13.357","0.586","14.991","11.202","11.149","1.096","17.925","11.251","10.821","2.507","5.034","134.967","74.030"
"97","GTD","Markus Palttala","32","1:42.488","1:02:15.143","Yellow","Track","4.303","13.445","0.588","14.308","10.931","10.611","1.017","17.791","10.974","10.824","2.475","5.221","134.508","79.780"
"44","GTD","Andy Lally","32","1:44.479","1:02:20.284","Yellow","Track","4.711","14.327","0.588","14.920","11.190","11.623","1.128","16.833","10.993","11.096","2.498","4.572","134.508","71.929"
"27","GTD","Cedric Sbirrazzuoli","32","1:41.472","1:02:20.787","Yellow","Track","5.137","14.672","0.587","14.350","10.873","10.454","0.803","15.579","10.825","11.087","2.475","4.630","134.737","101.042"
"10","P","Jordan Taylor","33","2:45.258","1:03:15.548","Yellow","Track","7.926","28.189","1.580","22.967","16.002","20.107","1.552","21.639","14.438","16.602","4.182","10.074","50.058","52.279"
"5","P","Joao Barbosa","33","2:45.260","1:03:16.728","Yellow","Track","7.514","28.406","1.438","22.812","16.195","20.287","1.647","21.286","14.818","16.132","4.494","10.231","55.001","49.263"
"54","PC","Colin Braun","33","2:44.925","1:03:17.226","Yellow","Track","7.857","27.824","1.388","23.162","15.833","20.561","1.915","20.802","15.174","16.022","4.311","10.076","56.982","42.369"
"55","P","Jonathan Bomarito","33","2:45.099","1:03:18.803","Yellow","Track","7.783","27.436","1.590","23.297","15.708","20.662","2.101","20.852","14.394","17.237","4.263","9.776","49.743","38.618"
"60","P","Oswaldo Negri Jr.","33","2:46.124","1:03:20.642","Yellow","Track","7.582","28.040","1.477","23.256","16.312","20.094","1.976","21.646","14.299","16.428","5.083","9.931","53.548","41.061"
"8","PC","Renger Van Der Zande","33","2:46.361","1:03:21.751","Yellow","Track","7.585","28.275","1.568","23.461","15.665","20.078","2.005","21.810","14.452","15.851","5.122","10.489","50.441","40.467"
"52","PC","Tom Kimber-Smith","33","2:46.083","1:03:22.611","Yellow","Track","7.706","28.345","1.536","22.942","15.558","20.751","1.870","21.293","14.390","16.142","5.148","10.402","51.491","43.388"
"70","P","Joel Miller","33","2:46.932","1:03:24.209","Yellow","Track","7.948","28.021","1.590","23.437","15.291","20.791","1.784","21.170","14.345","16.354","5.721","10.480","49.743","45.480"
"38","PC","Kyle Marcelli","33","2:46.564","1:03:25.159","Yellow","Track","7.447","28.441","1.400","23.433","15.271","21.418","1.492","20.719","14.539","16.544","5.539","10.321","56.494","54.381"
"20","PC","Johnny Mowlem","33","2:47.769","1:03:26.983","Yellow","Track","7.485","29.047","1.591","23.392","14.455","24.905","2.136","17.373","14.307","16.120","5.879","11.079","49.711","37.985"
"31","P","Dane Cameron","16","2:47.193","1:03:28.018","Yellow","Track","7.469","29.370","1.648","23.474","14.032","25.282","2.343","20.599","11.755","14.744","5.882","10.595","47.992","34.629"
"85","PC","Misha Goikhberg","10","2:20.162","1:03:29.076","Yellow","Track","4.245","14.129","0.783","16.938","13.348","24.558","2.320","21.333","12.118","13.890","5.803","10.697","101.010","34.973"
"33","GTD","Jeroen Bleekemolen","33","2:20.904","1:03:30.956","Yellow","Track","4.086","14.109","0.840","16.966","13.522","26.253","2.398","19.836","13.016","13.963","5.999","9.916","94.156","33.835"
"73","GTD","Jorg Bergmeister","33","1:39.459","1:03:44.609","Yellow","Track","3.523","12.838","0.571","13.911","10.643","11.783","1.206","16.022","10.577","10.426","2.421","5.538","138.513","67.277"
"63","GTD","Alessandro Balzan","33","1:38.188","1:03:45.164","Yellow","Track","3.565","12.835","0.566","13.861","10.768","11.040","1.112","15.682","10.533","10.428","2.376","5.422","139.737","72.964"
"23","GTD","Alex Riberas","33","1:38.236","1:03:46.861","Yellow","Track","3.739","13.012","0.573","14.479","10.976","10.413","0.856","15.513","10.812","10.874","2.463","4.526","138.030","94.785"
"6","GTD","Andrew Davis","33","1:38.441","1:03:47.593","Yellow","Track","3.798","13.062","0.577","14.493","11.019","10.870","1.048","15.196","10.727","10.575","2.461","4.615","137.073","77.420"
"16","GTD","Corey Lewis","33","1:40.962","1:03:52.197","Yellow","Track","3.861","13.820","0.663","14.620","11.057","10.780","0.824","15.447","11.038","11.191","2.660","5.001","119.292","98.466"
"22","GTD","Leh Keen","33","1:41.140","1:03:54.164","Yellow","Track","3.934","13.615","0.651","15.129","11.134","10.352","0.807","15.947","11.109","10.975","2.547","4.940","121.491","100.541"
"48","GTD","Madison Snow","33","1:41.053","1:03:54.680","Yellow","Track","3.918","13.768","0.644","14.958","11.044","10.417","0.903","15.933","10.970","11.020","2.552","4.926","122.812","89.852"
"96","GTD","Jens Klingmann","33","1:40.927","1:03:55.260","Yellow","Track","3.925","13.839","0.647","15.079","10.891","10.722","0.948","15.695","11.452","10.585","2.492","4.652","122.243","85.587"
"97","GTD","Markus Palttala","33","1:40.854","1:03:55.997","Yellow","Track","3.920","13.739","0.730","15.219","10.958","10.819","1.042","15.464","11.183","10.698","2.471","4.611","108.344","77.866"
"44","GTD","Andy Lally","33","1:38.380","1:03:58.664","Yellow","Track","3.514","12.954","0.585","13.991","11.079","10.583","1.029","15.970","10.774","10.929","2.454","4.518","135.198","78.850"
"27","GTD","Cedric Sbirrazzuoli","33","1:38.466","1:03:59.253","Yellow","Track","3.801","13.004","0.571","14.209","10.752","10.393","0.988","16.132","10.860","10.809","2.450","4.497","138.513","82.122"
"10","P","Jordan Taylor","34","2:31.224","1:05:46.772","Green","Track","6.598","22.979","1.610","25.912","16.276","19.984","1.322","19.989","13.974","15.958","2.384","4.238","49.125","61.374"
"5","P","Joao Barbosa","34","2:30.253","1:05:46.981","Green","Track","6.275","23.094","1.706","25.800","16.291","20.207","1.326","20.692","12.734","15.598","2.353","4.177","46.360","61.189"
"54","PC","Colin Braun","34","2:30.392","1:05:47.618","Green","Track","6.545","23.155","1.499","25.625","16.757","20.148","1.388","20.362","13.016","15.146","2.432","4.319","52.762","58.456"
"55","P","Jonathan Bomarito","34","2:28.984","1:05:47.787","Green","Track","6.612","23.642","2.185","24.184","16.738","19.915","1.482","20.357","13.040","14.223","2.303","4.303","36.197","54.748"
"8","PC","Renger Van Der Zande","34","2:26.862","1:05:48.613","Green","Track","6.004","24.130","1.722","23.693","15.763","21.503","1.395","19.797","12.548","13.656","2.380","4.271","45.930","58.162"
"52","PC","Tom Kimber-Smith","34","2:26.237","1:05:48.848","Green","Track","5.782","24.301","1.721","23.864","15.633","21.509","1.269","19.763","12.656","13.108","2.354","4.277","45.956","63.937"
"70","P","Joel Miller","34","2:24.811","1:05:49.020","Green","Track","5.523","23.988","1.735","23.796","15.457","21.734","1.535","19.125","12.385","13.147","2.270","4.116","45.586","52.858"
"38","PC","Kyle Marcelli","34","2:24.704","1:05:49.863","Green","Track","5.693","23.905","1.769","23.826","16.163","20.952","1.528","19.066","12.259","12.912","2.361","4.270","44.709","53.100"
"20","PC","Johnny Mowlem","34","2:23.362","1:05:50.345","Green","Track","6.577","23.424","1.987","22.368","16.051","21.218","1.468","18.462","12.466","12.783","2.331","4.227","39.804","55.270"
"31","P","Dane Cameron","17","2:22.528","1:05:50.546","Green","Track","7.674","22.828","1.734","22.104","15.950","21.784","1.526","17.919","12.263","12.315","2.276","4.155","45.612","53.169"
"33","GTD","Jeroen Bleekemolen","34","2:22.468","1:05:53.424","Green","Track","6.784","23.913","1.597","20.867","16.245","22.509","1.698","18.663","12.580","10.823","2.398","4.391","49.525","47.783"
"73","GTD","Jorg Bergmeister","34","2:09.438","1:05:54.047","Green","Track","4.661","15.227","0.966","19.552","16.931","22.469","1.576","17.999","12.332","10.858","2.431","4.436","81.875","51.482"
