"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"67","GTLM","Ryan Briscoe","2","2:05.962","16:23.086","Green","Track","5.444","10.232","20.712","0.515","22.457","28.739","21.020","11.965","4.878","159.643"
"97","GTD","Markus Palttala","7","2:32.510","16:26.077","Green","Pit","5.427","10.524","21.064","0.513","26.782","32.130","22.021","15.391","18.658","160.265"
"0","P","Sean Rayhall","7","2:01.358","16:47.481","Green","Track","4.977","9.526","19.301","0.476","21.645","28.506","20.565","11.881","4.481","172.722"
"31","P","Dane Cameron","7","1:57.308","16:51.433","Green","Track","4.986","9.281","19.121","0.472","21.891","26.771","19.261","11.051","4.474","174.186"
"16","GTD","Spencer Pumpelly","7","2:25.720","16:55.982","Green","Pit","5.370","10.508","21.080","0.505","23.361","29.821","21.570","14.437","19.068","162.804"
"63","GTD","Alessandro Balzan","7","2:23.664","17:02.924","Green","Pit","5.498","10.266","20.821","0.518","23.053","29.399","21.638","14.042","18.429","158.718"
"23","GTD","Alex Riberas","6","2:37.995","17:11.271","Green","Track","24.379","14.237","22.237","0.540","25.196","31.389","22.288","12.735","4.994","152.252"
"3","GTLM","Antonio Garcia","7","2:22.229","17:13.203","Green","Pit","5.375","9.893","20.499","0.508","22.435","29.457","21.224","14.265","18.573","161.842"
"85","PC","Misha Goikhberg","8","2:00.354","17:20.512","Green","Track","5.273","9.727","19.813","0.501","21.814","26.896","19.946","11.678","4.706","164.104"
"52","PC","Tom Kimber-Smith","7","2:00.678","17:26.659","Green","Track","5.267","9.675","19.905","0.503","21.813","27.311","20.084","11.440","4.680","163.451"
"54","PC","Colin Braun","6","2:01.545","17:28.726","Green","Track","5.247","9.760","19.829","0.500","22.176","27.592","20.036","11.709","4.696","164.432"
"8","PC","Renger van der Zande","6","2:17.394","17:31.447","Green","Pit","5.208","9.706","19.855","0.497","21.780","26.951","20.019","14.619","18.759","165.424"
"5","P","Christian Fittipaldi","7","1:57.112","17:32.628","Green","Track","5.009","9.317","19.075","0.469","21.482","26.916","19.330","11.023","4.491","175.300"
"20","PC","Bruno Junqueira","7","2:02.248","17:41.041","Green","Track","5.249","9.705","19.849","0.500","22.161","27.379","20.421","12.293","4.691","164.432"
"48","GTD","Madison Snow","7","2:09.186","17:41.439","Green","Track","5.373","10.434","20.931","0.506","23.252","29.506","21.693","12.561","4.930","162.482"
"25","GTLM","Bill Auberlen","7","4:05.375","17:44.132","Green","Track","115.504","15.479","22.040","0.523","23.868","29.756","21.191","12.107","4.907","157.201"
"912","GTLM","Frederic Makowiecki","7","2:04.948","17:47.288","Green","Track","5.406","10.090","20.634","0.511","22.449","28.190","20.814","11.962","4.892","160.892"
"911","GTLM","Nick Tandy","8","2:22.463","17:53.870","Green","Pit","5.424","9.975","20.637","0.510","22.694","29.545","21.063","14.059","18.556","161.208"
"73","GTD","Patrick Lindsey","7","2:29.396","17:56.461","Green","Pit","5.510","11.446","22.443","0.516","23.466","31.225","21.936","14.138","18.716","159.333"
"80","GTD","Dan Knox","6","2:43.474","18:00.634","Green","Track","28.644","14.691","21.774","0.511","25.068","31.831","22.831","13.219","4.905","160.892"
"22","GTD","Sven Muller","7","2:08.689","18:00.898","Green","Track","5.470","10.431","21.064","0.516","23.014","29.371","21.395","12.473","4.955","159.333"
"96","GTD","Jens Klingmann","6","2:09.381","18:09.303","Green","Track","5.461","10.529","21.105","0.518","23.181","29.636","21.728","12.272","4.951","158.718"
"88","PC","Mark Kvamme","7","2:09.678","18:14.386","Green","Track","5.263","10.337","21.021","0.505","23.687","30.160","21.784","12.200","4.721","162.804"
"9","GTD","Matt Bell","6","2:25.156","18:26.590","Green","Pit","5.403","10.595","21.011","0.508","23.319","29.745","21.522","14.518","18.535","161.842"
"67","GTLM","Ryan Briscoe","3","2:04.460","18:27.546","Green","Track","5.412","9.986","20.426","0.507","22.197","28.357","20.783","11.912","4.880","162.162"
"44","GTD","John Potter","8","2:10.737","18:30.786","Green","Track","5.494","10.548","21.140","0.516","23.720","30.107","21.718","12.491","5.003","159.333"
"6","GTD","Andrew Davis","6","2:24.499","18:34.796","Green","Pit","5.427","10.506","20.946","0.509","23.268","29.545","21.452","14.192","18.654","161.524"
