POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
44;15;3GT Racing;Jack Hawksworth;Robert Alon;Austin Cindric;Dominik Farnbacher;Lexus RCF GT3;C;GTD;;;Classified;31;1:00'50.196;3 Laps;0.849;14;1'48.814;189.5;
45;991;TRG;Santiago Creel;Mike Hedlund;Wolf Henzler;Jan Heylen;Porsche 911 GT3 R;C;GTD;;;Classified;31;1:01'07.359;3 Laps;17.163;31;1'48.001;191.0;
46;46;EBIMOTORS;Emanuele Busnelli;Fabio Babini;Emmanuel Collard;Francois Perrodo;Lamborghini Huracan GT3;C;GTD;;;Classified;31;1:01'24.203;3 Laps;16.844;31;1'48.129;190.7;
47;54;CORE autosport;Jonathan Bennett;Colin Braun;Patrick Long;Nic Jonsson;Porsche 911 GT3 R;C;GTD;;;Classified;31;1:01'26.191;3 Laps;1.988;16;1'50.101;187.3;
48;28;Alegra Motorsports;Carlos de Quesada;Daniel Morad;Jesse Lazare;Michael de Quesada;Porsche 911 GT3 R;C;GTD;;;Classified;31;1:01'26.802;3 Laps;0.611;12;1'48.098;190.8;
49;18;DAC Motorsports;Emmanuel Anassis;Brandon Gdovic;Zach Claman;Anthony Massari;Lamborghini Huracan GT3;C;GTD;;;Classified;31;1:01'38.903;3 Laps;12.101;17;1'49.664;188.1;
50;48;Paul Miller Racing;Bryan Sellers;Madison Snow;Bryce Miller;Andrea Caldarelli;Lamborghini Huracan GT3;C;GTD;;;Classified;31;1:01'42.253;3 Laps;3.350;13;1'48.889;189.4;
51;27;Dream Racing Motorsport;Lawrence DeGeorge;Cedric Sbirrazzuoli;Paolo Ruberti;Luca Persiani;Lamborghini Huracan GT3;C;GTD;;;Classified;28;56'55.977;6 Laps;3 Laps;25;1'51.598;184.8;
52;21;Konrad Motorsport;Marco Mapelli;Marc Basseng;Luca Stolz;Lance Willsey;Lamborghini Huracan GT3;C;GTD;;;Classified;16;1:00'53.474;18 Laps;12 Laps;9;1'51.252;185.4;
53;24;BMW Team RLL;John Edwards;Martin Tomczyk;Nicky Catsburg;Kuno Wittmer;BMW M6 GTLM;M;GTLM;;;Classified;14;27'46.371;20 Laps;2 Laps;13;1'44.694;197.0;
54;16;Change Racing;Corey Lewis;Jeroen Mul;Kaz Grala;Brett Sandberg;Lamborghini Huracan GT3;C;GTD;;;Classified;3;5'41.855;31 Laps;11 Laps;3;1'49.765;187.9;
55;52;PR1/Mathiasen Motorsports;Michael Guasch;Jose Gutierrez;RC Enerson;Tom Kimber-Smith;Ligier;C;P;;;Classified;3;15'31.572;31 Laps;9'49.717;3;3'25.966;100.1;
