POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
25;29;Montaplast by Land-Motorsport;Connor De Phillippi;Christopher Mies;Jules Gounon;Jeffrey Schmidt;Audi R8 LMS GT3;C;GTD;;;Classified;92;3:01'57.434;7 Laps;1 Laps;76;1'47.313;192.2;
26;73;Park Place Motorsports;Patrick Lindsey;Jorg Bergmeister;Matthew McMurry;Norbert Siedler;Porsche 911 GT3 R;C;GTD;;;Classified;92;3:02'19.527;7 Laps;22.093;78;1'47.347;192.1;
27;50;Riley Motorsports - WeatherTech Racing;Cooper MacNeil;Gunnar Jeannette;Shane Van Gisbergen;Thomas Jaeger;Mercedes  - AMG GT3;C;GTD;;;Classified;92;3:02'22.028;7 Laps;2.501;74;1'47.883;191.2;
28;63;Scuderia Corsa;Christina Nielsen;Alessandro Balzan;Matteo Cressoni;Sam Bird;Ferrari 488 GT3;C;GTD;;;Classified;92;3:02'22.571;7 Laps;0.543;10;1'47.079;192.6;
29;11;GRT Grasser Racing Team;Christian Engelhart;Rolf Ineichen;Ezequiel Perez Companc;Mirko Bortolotti;Lamborghini Huracan GT3;C;GTD;;;Classified;92;3:02'24.086;7 Laps;1.515;22;1'47.095;192.6;
30;57;Stevenson Motorsports;Lawson Aschenbach;Andrew Davis;Matt Bell;Robin Liddell;Audi R8 LMS GT3;C;GTD;;;Classified;92;3:02'28.250;7 Laps;4.164;81;1'47.932;191.1;
31;96;Turner Motorsport;Justin Marks;Jens Klingmann;Maxime Martin;Jesse Krohn;BMW M6 GT3;C;GTD;;;Classified;92;3:02'33.138;7 Laps;4.888;69;1'47.742;191.4;
32;93;Michael Shank Racing w/ Curb-Agajanian;Andy Lally;Katherine Legge;Mark Wilkins;Graham Rahal;Acura NSX GT3;C;GTD;;;Classified;92;3:02'35.796;7 Laps;2.658;15;1'47.760;191.4;
33;26;BAR1 Motorsports;Tom Papadopoulos;Johnny Mowlem;Adam Merzon;Trent Hindman;ORECA FLM09;C;PC;;;Classified;92;3:02'35.884;7 Laps;0.088;22;1'43.588;199.1;
34;54;CORE autosport;Jonathan Bennett;Colin Braun;Patrick Long;Nic Jonsson;Porsche 911 GT3 R;C;GTD;;;Classified;91;3:00'59.759;8 Laps;1 Laps;78;1'47.835;191.3;
35;33;Riley Motorsports - Team AMG;Ben Keating;Jeroen Bleekemolen;Mario Farnbacher;Adam Christodoulou;Mercedes  - AMG GT3;C;GTD;;;Classified;91;3:01'05.093;8 Laps;5.334;39;1'48.497;190.1;
36;86;Michael Shank Racing w/ Curb-Agajanian;Jeff Segal;Oswaldo Negri Jr.;Tom Dyer;Ryan Hunter-Reay;Acura NSX GT3;C;GTD;;;Classified;91;3:01'06.784;8 Laps;1.691;52;1'47.796;191.3;
37;15;3GT Racing;Jack Hawksworth;Robert Alon;Austin Cindric;Dominik Farnbacher;Lexus RCF GT3;C;GTD;;;Classified;91;3:01'11.830;8 Laps;5.046;41;1'48.554;190.0;
38;75;SunEnergy1 Racing;Kenny Habul;Boris Said;Tristan Vautier;Maro Engel;Mercedes  - AMG GT3;C;GTD;;;Classified;91;3:01'20.492;8 Laps;8.662;36;1'48.036;190.9;
39;991;TRG;Santiago Creel;Mike Hedlund;Wolf Henzler;Jan Heylen;Porsche 911 GT3 R;C;GTD;;;Classified;91;3:01'33.647;8 Laps;13.155;34;1'47.753;191.4;
40;23;Alex Job Racing;Bill Sweedler;Townsend Bell;Frank Montecalvo;Pierre Kaffer;Audi R8 LMS GT3;C;GTD;;;Classified;91;3:01'44.661;8 Laps;11.014;19;1'47.550;191.8;
41;46;EBIMOTORS;Emanuele Busnelli;Fabio Babini;Emmanuel Collard;Francois Perrodo;Lamborghini Huracan GT3;C;GTD;;;Classified;91;3:01'50.893;8 Laps;6.232;33;1'47.577;191.7;
42;51;Spirit of Race;Peter Mann;Maurizio Mediani;Alessandro Pier Guidi;Davide Rigon;Ferrari 488 GT3;C;GTD;;;Classified;91;3:02'26.579;8 Laps;35.686;10;1'46.972;192.8;
43;28;Alegra Motorsports;Carlos de Quesada;Daniel Morad;Jesse Lazare;Michael de Quesada;Porsche 911 GT3 R;C;GTD;;;Classified;90;3:01'07.733;9 Laps;1 Laps;12;1'48.098;190.8;
44;18;DAC Motorsports;Emmanuel Anassis;Brandon Gdovic;Zach Claman;Anthony Massari;Lamborghini Huracan GT3;C;GTD;;;Classified;89;3:00'22.186;10 Laps;1 Laps;64;1'49.096;189.0;
45;48;Paul Miller Racing;Bryan Sellers;Madison Snow;Bryce Miller;Andrea Caldarelli;Lamborghini Huracan GT3;C;GTD;;;Classified;88;3:00'51.279;11 Laps;1 Laps;74;1'48.802;189.6;
46;13;Rebellion Racing;Sebastien Buemi;Nick Heidfeld;Neel Jani;Stephane Sarrazin;ORECA;C;P;;;Classified;88;3:01'15.455;11 Laps;24.176;20;1'37.440;211.7;
47;27;Dream Racing Motorsport;Lawrence DeGeorge;Cedric Sbirrazzuoli;Paolo Ruberti;Luca Persiani;Lamborghini Huracan GT3;C;GTD;;;Classified;88;3:02'23.663;11 Laps;1'08.208;42;1'47.863;191.2;
48;61;GRT Grasser Racing Team;Christian Engelhart;Rolf Ineichen;Roberto Pampanini;Michele Beretta;Lamborghini Huracan GT3;C;GTD;;;Classified;85;3:00'35.164;14 Laps;3 Laps;10;1'47.912;191.1;
49;21;Konrad Motorsport;Marco Mapelli;Marc Basseng;Luca Stolz;Lance Willsey;Lamborghini Huracan GT3;C;GTD;;;Classified;76;3:02'37.366;23 Laps;9 Laps;52;1'48.667;189.8;
50;59;Manthey Racing;Steve Smith;Matteo Cairoli;Reinhold Renger;Harald Proczyk;Porsche 911 GT3 R;C;GTD;;;Classified;61;2:05'13.349;38 Laps;15 Laps;26;1'47.037;192.7;
51;52;PR1/Mathiasen Motorsports;Michael Guasch;Jose Gutierrez;RC Enerson;Tom Kimber-Smith;Ligier;C;P;;;Classified;61;3:02'20.477;38 Laps;57'07.128;16;1'39.391;207.5;
52;98;Aston Martin Racing;Paul Dalla Lana;Pedro Lamy;Mathias Lauda;Marco Sorensen;Aston Martin Vantage;C;GTD;;;Classified;60;2:03'21.286;39 Laps;1 Laps;12;1'47.245;192.3;
53;14;3GT Racing;Scott Pruett;Sage Karam;Ian James;Gustavo Menezes;Lexus RCF GT3;C;GTD;;;Classified;52;1:38'45.983;47 Laps;8 Laps;37;1'48.298;190.4;
54;24;BMW Team RLL;John Edwards;Martin Tomczyk;Nicky Catsburg;Kuno Wittmer;BMW M6 GTLM;M;GTLM;;;Classified;15;1:14'14.208;84 Laps;37 Laps;13;1'44.694;197.0;
55;16;Change Racing;Corey Lewis;Jeroen Mul;Kaz Grala;Brett Sandberg;Lamborghini Huracan GT3;C;GTD;;;Classified;3;5'41.855;96 Laps;12 Laps;3;1'49.765;187.9;
